XPath,210013003.5.xml,210308003.1.xml,210308004.2.xml,210308005.2.xml
/eml:eml/@packageId,1.0,1.0,1.0,1.0
/eml:eml/@system,1.0,1.0,1.0,1.0
/eml:eml/@xsi:schemaLocation,1.0,1.0,1.0,1.0
/eml:eml/access,5.0,5.0,5.0,5.0
/eml:eml/access/@authSystem,1.0,1.0,1.0,1.0
/eml:eml/access/@order,1.0,1.0,1.0,1.0
/eml:eml/access/@scope,1.0,1.0,1.0,1.0
/eml:eml/access/@system,1.0,1.0,1.0,1.0
/eml:eml/access/allow/permission,2.0,2.0,2.0,2.0
/eml:eml/access/allow/principal,2.0,2.0,2.0,2.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/@xsi:schemaLocation,0.0,1.0,0.0,0.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@abbreviation,0.0,1.0,0.0,0.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@constantToSI,0.0,1.0,0.0,0.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@id,0.0,1.0,0.0,0.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@multiplierToSI,0.0,1.0,0.0,0.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@name,0.0,1.0,0.0,0.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@parentSI,0.0,1.0,0.0,0.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@unitType,0.0,1.0,0.0,0.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/stmml:description,0.0,1.0,0.0,0.0
/eml:eml/dataset/abstract,1.0,1.0,1.0,1.0
/eml:eml/dataset/abstract/section/para/literalLayout,1.0,1.0,1.0,1.0
/eml:eml/dataset/additionalInfo,1.0,1.0,1.0,1.0
/eml:eml/dataset/additionalInfo/para/literalLayout,1.0,1.0,1.0,1.0
/eml:eml/dataset/alternateIdentifier,1.0,1.0,1.0,1.0
/eml:eml/dataset/alternateIdentifier/@system,1.0,1.0,1.0,1.0
/eml:eml/dataset/associatedParty,1.0,1.0,1.0,1.0
/eml:eml/dataset/associatedParty/individualName/givenName,1.0,1.0,1.0,1.0
/eml:eml/dataset/associatedParty/individualName/surName,1.0,1.0,1.0,1.0
/eml:eml/dataset/associatedParty/onlineUrl,0.0,0.0,0.0,1.0
/eml:eml/dataset/associatedParty/phone,0.0,0.0,1.0,0.0
/eml:eml/dataset/associatedParty/phone/@phonetype,0.0,0.0,1.0,0.0
/eml:eml/dataset/associatedParty/role,1.0,1.0,1.0,1.0
/eml:eml/dataset/contact,1.0,1.0,1.0,1.0
/eml:eml/dataset/contact/address/administrativeArea,1.0,1.0,1.0,1.0
/eml:eml/dataset/contact/address/city,1.0,1.0,1.0,1.0
/eml:eml/dataset/contact/address/deliveryPoint,2.0,2.0,2.0,2.0
/eml:eml/dataset/contact/address/postalCode,1.0,1.0,1.0,1.0
/eml:eml/dataset/contact/electronicMailAddress,1.0,1.0,1.0,1.0
/eml:eml/dataset/contact/onlineUrl,1.0,1.0,1.0,1.0
/eml:eml/dataset/contact/organizationName,1.0,1.0,1.0,1.0
/eml:eml/dataset/contact/positionName,1.0,1.0,1.0,1.0
/eml:eml/dataset/coverage/geographicCoverage,1.0,0.0,0.0,0.0
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates,1.0,0.0,0.0,0.0
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/boundingAltitudes/altitudeMaximum,1.0,0.0,0.0,0.0
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/boundingAltitudes/altitudeMinimum,1.0,0.0,0.0,0.0
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/boundingAltitudes/altitudeUnits,1.0,0.0,0.0,0.0
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/eastBoundingCoordinate,1.0,0.0,0.0,0.0
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/northBoundingCoordinate,1.0,0.0,0.0,0.0
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/southBoundingCoordinate,1.0,0.0,0.0,0.0
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/westBoundingCoordinate,1.0,0.0,0.0,0.0
/eml:eml/dataset/coverage/geographicCoverage/geographicDescription,1.0,0.0,0.0,0.0
/eml:eml/dataset/coverage/temporalCoverage,1.0,1.0,1.0,1.0
/eml:eml/dataset/coverage/temporalCoverage/rangeOfDates/beginDate/calendarDate,1.0,1.0,1.0,1.0
/eml:eml/dataset/coverage/temporalCoverage/rangeOfDates/endDate,1.0,1.0,1.0,1.0
/eml:eml/dataset/coverage/temporalCoverage/rangeOfDates/endDate/calendarDate,1.0,1.0,1.0,1.0
/eml:eml/dataset/creator,2.0,2.0,2.0,2.0
/eml:eml/dataset/creator/individualName/givenName,1.0,1.0,1.0,1.0
/eml:eml/dataset/creator/individualName/surName,1.0,1.0,1.0,1.0
/eml:eml/dataset/creator/onlineUrl,0.0,0.0,0.0,1.0
/eml:eml/dataset/creator/phone,0.0,0.0,1.0,0.0
/eml:eml/dataset/creator/phone/@phonetype,0.0,0.0,1.0,0.0
/eml:eml/dataset/dataTable/attributeList,0.0,1.0,1.0,1.0
/eml:eml/dataset/dataTable/attributeList/attribute/attributeDefinition,0.0,7.0,7.0,5.0
/eml:eml/dataset/dataTable/attributeList/attribute/attributeLabel,0.0,7.0,7.0,5.0
/eml:eml/dataset/dataTable/attributeList/attribute/attributeName,0.0,7.0,7.0,5.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/dateTime/formatString,0.0,1.0,2.0,2.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/nominal/nonNumericDomain/textDomain/definition,0.0,4.0,3.0,3.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ratio/numericDomain/bounds/minimum,0.0,1.0,0.0,0.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ratio/numericDomain/bounds/minimum/@exclusive,0.0,1.0,0.0,0.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ratio/numericDomain/numberType,0.0,1.0,1.0,0.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ratio/precision,0.0,1.0,2.0,0.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ratio/unit/customUnit,0.0,1.0,0.0,0.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ratio/unit/standardUnit,0.0,1.0,2.0,0.0
/eml:eml/dataset/dataTable/attributeList/attribute/missingValueCode/code,0.0,1.0,1.0,0.0
/eml:eml/dataset/dataTable/attributeList/attribute/missingValueCode/codeExplanation,0.0,1.0,1.0,0.0
/eml:eml/dataset/dataTable/attributeList/attribute/storageType,0.0,2.0,2.0,2.0
/eml:eml/dataset/dataTable/coverage/temporalCoverage/rangeOfDates/beginDate/calendarDate,0.0,1.0,1.0,1.0
/eml:eml/dataset/dataTable/coverage/temporalCoverage/rangeOfDates/endDate/calendarDate,0.0,1.0,1.0,1.0
/eml:eml/dataset/dataTable/entityDescription,0.0,2.0,2.0,2.0
/eml:eml/dataset/dataTable/entityName,0.0,1.0,1.0,1.0
/eml:eml/dataset/dataTable/numberOfRecords,0.0,1.0,1.0,1.0
/eml:eml/dataset/dataTable/physical/authentication,0.0,2.0,2.0,2.0
/eml:eml/dataset/dataTable/physical/authentication/@method,0.0,2.0,2.0,2.0
/eml:eml/dataset/dataTable/physical/dataFormat,0.0,2.0,2.0,2.0
/eml:eml/dataset/dataTable/physical/dataFormat/textFormat/attributeOrientation,0.0,1.0,1.0,1.0
/eml:eml/dataset/dataTable/physical/dataFormat/textFormat/numFooterLines,0.0,1.0,1.0,1.0
/eml:eml/dataset/dataTable/physical/dataFormat/textFormat/numHeaderLines,0.0,1.0,1.0,1.0
/eml:eml/dataset/dataTable/physical/dataFormat/textFormat/recordDelimiter,0.0,1.0,1.0,1.0
/eml:eml/dataset/dataTable/physical/dataFormat/textFormat/simpleDelimited/fieldDelimiter,0.0,1.0,1.0,1.0
/eml:eml/dataset/dataTable/physical/dataFormat/textFormat/simpleDelimited/quoteCharacter,0.0,1.0,1.0,1.0
/eml:eml/dataset/dataTable/physical/distribution/online/url,0.0,1.0,1.0,1.0
/eml:eml/dataset/dataTable/physical/objectName,0.0,1.0,1.0,1.0
/eml:eml/dataset/dataTable/physical/size,0.0,1.0,1.0,1.0
/eml:eml/dataset/distribution,1.0,1.0,1.0,1.0
/eml:eml/dataset/distribution/online/url,1.0,1.0,1.0,1.0
/eml:eml/dataset/distribution/online/url/@function,1.0,1.0,1.0,1.0
/eml:eml/dataset/intellectualRights,2.0,2.0,2.0,2.0
/eml:eml/dataset/intellectualRights/section/para/literalLayout,1.0,1.0,1.0,1.0
/eml:eml/dataset/intellectualRights/section/title,1.0,1.0,1.0,1.0
/eml:eml/dataset/keywordSet/keyword,6.0,6.0,7.0,7.0
/eml:eml/dataset/keywordSet/keywordThesaurus,6.0,6.0,6.0,5.0
/eml:eml/dataset/language,1.0,1.0,1.0,1.0
/eml:eml/dataset/maintenance,1.0,1.0,1.0,1.0
/eml:eml/dataset/maintenance/description/para/literalLayout,1.0,1.0,1.0,1.0
/eml:eml/dataset/metadataProvider,1.0,1.0,1.0,1.0
/eml:eml/dataset/metadataProvider/onlineUrl,1.0,1.0,1.0,1.0
/eml:eml/dataset/metadataProvider/organizationName,1.0,1.0,1.0,1.0
/eml:eml/dataset/methods,2.0,2.0,2.0,2.0
/eml:eml/dataset/methods/methodStep/description/section/para/literalLayout,1.0,1.0,1.0,1.0
/eml:eml/dataset/methods/methodStep/instrumentation,1.0,0.0,0.0,0.0
/eml:eml/dataset/otherEntity/coverage/temporalCoverage/rangeOfDates/beginDate/calendarDate,1.0,0.0,0.0,0.0
