Concept,JRN_2011_EML,JRN_2012_EML,JRN_2013_EML,JRN_2015_EML,JRN_2016_EML,JRN_2017_EML,JRN_2018_EML
Resource Identifier,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Resource Title,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Author / Originator,1.01,1.0,1.0,1.53,1.0,1.0,1.0
Metadata Contact,0.42,0.95,1.0,0.99,1.0,0.87,1.0
Contributor Name,0.0,0.0,0.0,0.78,0.31,0.7,1.0
Publisher,0.07,0.0,0.0,1.0,1.0,0.85,1.0
Publication Date,0.35,0.95,1.0,1.0,1.0,1.0,1.0
Resource Contact,1.0,1.0,1.0,2.0,2.0,1.72,1.0
Abstract,1.0,0.95,1.0,1.0,1.0,0.98,1.0
Keyword,3.23,9.53,9.72,8.07,7.69,9.37,6.75
Resource Distribution,0.81,0.47,0.4,1.0,1.0,1.0,1.0
Spatial Extent,0.65,0.05,0.0,0.01,0.0,0.97,0.25
Taxonomic Extent,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Temporal Extent,0.36,1.0,0.91,0.28,0.31,0.83,1.0
Maintenance,0.36,1.0,0.96,0.96,1.0,0.97,1.0
Resource Use Constraints,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Process Step,0.36,0.95,0.96,0.96,1.0,0.94,1.0
Project Description,1.0,1.0,1.0,0.0,0.0,1.0,1.0
Entity Type Definition,0.36,0.84,0.87,0.99,0.08,0.82,0.75
Attribute Definition,4.36,17.79,8.57,11.64,1.23,9.19,4.75
Resource Access Constraints,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Resource Format,0.36,0.84,0.87,1.0,0.08,0.85,0.75
Attribute List,0.36,0.84,0.87,1.0,0.08,0.85,0.75
Attribute Constraints,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Resource Quality Description,0.35,0.95,0.96,0.95,1.0,0.8,0.0
