Concept,JRN_2011_EML,JRN_2012_EML,JRN_2013_EML,JRN_2015_EML,JRN_2016_EML,JRN_2017_EML,JRN_2018_EML
Resource Identifier,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Resource Title,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Author / Originator,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Metadata Contact,0.42105263157894735,0.9473684210526316,1.0,0.9864864864864864,1.0,0.8723404255319149,1.0
Contributor Name,0.0,0.0,0.0,0.7837837837837838,0.3076923076923077,0.7021276595744681,1.0
Publisher,0.06842105263157895,0.0,0.0,1.0,1.0,0.851063829787234,1.0
Publication Date,0.3526315789473684,0.9473684210526316,1.0,1.0,1.0,1.0,1.0
Resource Contact,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Abstract,1.0,0.9473684210526316,1.0,1.0,1.0,0.9787234042553192,1.0
Keyword,0.3578947368421053,0.9473684210526316,1.0,0.9864864864864864,1.0,1.0,1.0
Resource Distribution,0.8052631578947368,0.4736842105263158,0.3962264150943397,1.0,1.0,1.0,1.0
Spatial Extent,0.6473684210526316,0.05263157894736842,0.0,0.013513513513513514,0.0,0.9680851063829788,0.25
Taxonomic Extent,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Temporal Extent,0.3578947368421053,1.0,0.9056603773584906,0.28378378378378377,0.3076923076923077,0.8297872340425532,1.0
Maintenance,0.3578947368421053,1.0,0.9622641509433962,0.9594594594594594,1.0,0.9680851063829788,1.0
Resource Use Constraints,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Process Step,0.3631578947368421,0.9473684210526316,0.9622641509433962,0.9594594594594594,1.0,0.9361702127659576,1.0
Project Description,1.0,1.0,1.0,0.0,0.0,1.0,1.0
Entity Type Definition,0.3578947368421053,0.8421052631578947,0.8679245283018868,0.9864864864864864,0.07692307692307693,0.8191489361702128,0.75
Attribute Definition,0.3578947368421053,0.8421052631578947,0.8679245283018868,1.0,0.07692307692307693,0.851063829787234,0.75
Resource Access Constraints,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Resource Format,0.3578947368421053,0.8421052631578947,0.8679245283018868,1.0,0.07692307692307693,0.851063829787234,0.75
Attribute List,0.3578947368421053,0.8421052631578947,0.8679245283018868,1.0,0.07692307692307693,0.851063829787234,0.75
Attribute Constraints,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Resource Quality Description,0.3473684210526316,0.9473684210526316,0.9622641509433962,0.945945945945946,1.0,0.7978723404255319,0.0
