Concept,CAP_2011_EML,CAP_2012_EML,CAP_2013_EML,CAP_2014_EML,CAP_2015_EML,CAP_2016_EML,CAP_2017_EML,CAP_2018_EML
Resource Identifier,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Resource Title,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Author / Originator,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Metadata Contact,0.0,0.6666666666666666,0.6923076923076923,1.0,0.07883817427385892,0.84,0.925925925925926,0.3888888888888889
Contributor Name,0.01308139534883721,0.6666666666666666,0.07692307692307693,0.0,0.03734439834024896,0.04,0.14814814814814814,0.0
Publisher,0.1642441860465116,0.0,0.05128205128205128,1.0,0.14107883817427386,0.6,0.14814814814814814,0.0
Publication Date,0.9498546511627908,1.0,1.0,1.0,0.9294605809128632,1.0,1.0,1.0
Resource Contact,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Abstract,0.9651162790697676,1.0,1.0,1.0,0.9751037344398341,1.0,1.0,1.0
Keyword,0.96875,1.0,1.0,1.0,0.946058091286307,1.0,1.0,0.9444444444444444
Resource Distribution,0.994186046511628,1.0,1.0,1.0,1.0,0.92,1.0,1.0
Spatial Extent,0.9723837209302324,1.0,1.0,1.0,0.9751037344398341,1.0,1.0,1.0
Taxonomic Extent,0.007267441860465115,0.0,0.0,0.0,0.016597510373443983,0.24,0.14814814814814814,0.2222222222222222
Temporal Extent,0.970203488372093,1.0,1.0,1.0,0.9626556016597512,1.0,1.0,1.0
Maintenance,0.7856104651162791,0.6666666666666666,0.7948717948717948,1.0,0.6639004149377593,0.2,0.14814814814814814,0.05555555555555555
Resource Use Constraints,0.9912790697674418,1.0,1.0,1.0,0.9834024896265559,1.0,1.0,1.0
Process Step,0.6904069767441859,0.6666666666666666,0.7179487179487181,1.0,0.7925311203319502,0.96,1.0,1.0
Project Description,0.04869186046511628,0.16666666666666666,0.6666666666666666,0.5714285714285714,0.22406639004149376,0.08,0.1111111111111111,0.0
Entity Type Definition,0.2274709302325581,0.6666666666666666,0.3076923076923077,0.2380952380952381,0.3651452282157676,0.88,0.8518518518518519,1.0
Attribute Definition,0.2311046511627907,0.6666666666666666,0.3076923076923077,0.2380952380952381,0.3651452282157676,0.88,0.8518518518518519,1.0
Resource Access Constraints,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Resource Format,0.2311046511627907,0.6666666666666666,0.3076923076923077,0.2380952380952381,0.3651452282157676,0.88,0.8518518518518519,1.0
Attribute List,0.2311046511627907,0.6666666666666666,0.3076923076923077,0.2380952380952381,0.3651452282157676,0.88,0.8518518518518519,1.0
Attribute Constraints,0.02543604651162791,0.0,0.0,0.0,0.04564315352697095,0.08,0.07407407407407407,0.0
Resource Quality Description,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
