Concept,CAP_2011_EML,CAP_2012_EML,CAP_2013_EML,CAP_2014_EML,CAP_2015_EML,CAP_2016_EML,CAP_2017_EML,CAP_2018_EML
Resource Identifier,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Resource Title,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Author / Originator,1.99,1.0,2.64,1.0,2.21,3.72,4.37,4.0
Metadata Contact,0.0,0.67,1.13,1.0,0.1,1.68,1.59,1.67
Contributor Name,0.49,3.0,0.08,0.0,0.26,0.96,0.81,0.0
Publisher,0.16,0.0,0.05,1.0,0.14,0.6,0.15,0.0
Publication Date,0.95,1.0,1.0,1.0,0.93,1.0,1.0,1.0
Resource Contact,1.0,1.0,1.0,1.0,1.96,1.72,1.0,1.0
Abstract,0.97,1.0,1.0,1.0,0.98,1.0,1.0,1.0
Keyword,20.91,22.75,19.97,14.86,26.66,24.28,20.52,30.67
Resource Distribution,1.02,1.0,1.0,1.0,1.0,0.92,1.0,1.0
Spatial Extent,0.97,1.0,1.0,1.0,0.98,1.08,1.0,1.06
Taxonomic Extent,0.01,0.0,0.0,0.0,0.02,0.24,0.15,0.22
Temporal Extent,0.97,1.0,1.31,1.71,0.97,1.0,1.04,1.0
Maintenance,0.79,0.67,0.79,1.0,0.66,0.2,0.15,0.06
Resource Use Constraints,0.99,1.0,1.0,1.0,0.98,1.0,1.0,1.0
Process Step,0.69,0.67,0.72,1.0,0.79,0.96,1.0,1.0
Project Description,0.05,0.17,0.67,0.57,0.22,0.08,0.11,0.0
Entity Type Definition,1.27,1.42,1.1,0.38,1.84,3.44,2.7,5.78
Attribute Definition,18.62,32.83,26.31,7.14,35.0,130.16,126.33,81.61
Resource Access Constraints,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Resource Format,1.33,1.42,1.1,0.38,1.9,3.44,2.7,5.83
Attribute List,1.33,1.42,1.1,0.38,1.9,3.44,2.7,5.83
Attribute Constraints,0.08,0.0,0.0,0.0,0.16,0.12,0.11,0.0
Resource Quality Description,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
