XPath,3002.1.xml,3002.2.xml,3002.5.xml,3002.6.xml,4010.3.xml,4011.4.xml
/eml:eml/@packageId,0.0,0.0,1.0,1.0,1.0,1.0
/eml:eml/@scope,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/@system,0.0,0.0,1.0,1.0,1.0,1.0
/eml:eml/@xsi:schemaLocation,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/access,0.0,0.0,5.0,5.0,5.0,5.0
/eml:eml/access/@authSystem,0.0,0.0,1.0,1.0,1.0,1.0
/eml:eml/access/@order,0.0,0.0,1.0,1.0,1.0,1.0
/eml:eml/access/@scope,0.0,0.0,1.0,1.0,1.0,1.0
/eml:eml/access/allow/permission,0.0,0.0,2.0,2.0,2.0,2.0
/eml:eml/access/allow/principal,0.0,0.0,2.0,2.0,2.0,2.0
/eml:eml/additionalMetadata/metadata/unitList/unit/@id,0.0,0.0,1.0,1.0,3.0,7.0
/eml:eml/additionalMetadata/unitList/unit/@id,1.0,1.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/@scope,1.0,1.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/abstract,0.0,0.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/abstract/section/para,0.0,0.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/abstract/section/para/literalLayout,1.0,1.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/access/@authSystem,1.0,1.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/access/@order,1.0,1.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/access/@scope,1.0,1.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/access/allow/permission,2.0,2.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/access/allow/principal,2.0,2.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/additionalInfo,0.0,0.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/additionalInfo/section/para/literalLayout,7.0,7.0,7.0,7.0,6.0,5.0
/eml:eml/dataset/additionalInfo/section/title,3.0,3.0,3.0,3.0,6.0,5.0
/eml:eml/dataset/contact,0.0,0.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/contact/@scope,1.0,1.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/contact/address/@scope,1.0,1.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/contact/address/administrativeArea,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/contact/address/city,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/contact/address/country,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/contact/address/deliveryPoint,3.0,3.0,3.0,3.0,3.0,3.0
/eml:eml/dataset/contact/address/postalCode,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/contact/electronicMailAddress,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/contact/organizationName,0.0,0.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/contact/phone,1.0,1.0,2.0,2.0,2.0,2.0
/eml:eml/dataset/contact/phone/@phonetype,1.0,1.0,2.0,2.0,2.0,2.0
/eml:eml/dataset/contact/positionName,1.0,1.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/coverage/@scope,1.0,1.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/coverage/geographicCoverage,0.0,0.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/coverage/geographicCoverage/@scope,1.0,1.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates,0.0,0.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/boundingAltitudes/altitudeMaximum,0.0,0.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/boundingAltitudes/altitudeMinimum,0.0,0.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/boundingAltitudes/altitudeUnits,0.0,0.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/eastBoundingCoordinate,0.0,0.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/northBoundingCoordinate,0.0,0.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/southBoundingCoordinate,0.0,0.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/westBoundingCoordinate,0.0,0.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/coverage/geographicCoverage/geographicDescription,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/coverage/temporalCoverage,0.0,0.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/coverage/temporalCoverage/@scope,1.0,1.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/coverage/temporalCoverage/rangeOfDates/beginDate/calendarDate,0.0,0.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/coverage/temporalCoverage/rangeOfDates/endDate,0.0,0.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/coverage/temporalCoverage/rangeOfDates/endDate/calendarDate,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/creator,0.0,0.0,2.0,2.0,4.0,4.0
/eml:eml/dataset/creator/@scope,1.0,1.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/creator/address/@scope,1.0,1.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/creator/address/administrativeArea,1.0,1.0,1.0,1.0,2.0,2.0
/eml:eml/dataset/creator/address/city,1.0,1.0,1.0,1.0,2.0,2.0
/eml:eml/dataset/creator/address/country,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/creator/address/deliveryPoint,3.0,3.0,3.0,3.0,4.0,4.0
/eml:eml/dataset/creator/address/postalCode,1.0,1.0,1.0,1.0,2.0,2.0
/eml:eml/dataset/creator/electronicMailAddress,0.0,0.0,2.0,2.0,4.0,4.0
/eml:eml/dataset/creator/individualName/givenName,1.0,1.0,1.0,1.0,2.0,2.0
/eml:eml/dataset/creator/individualName/surName,1.0,1.0,1.0,1.0,2.0,2.0
/eml:eml/dataset/creator/phone,1.0,1.0,1.0,1.0,2.0,2.0
/eml:eml/dataset/creator/phone/@phonetype,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/dataTable/@scope,1.0,1.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/dataTable/attributeList,0.0,0.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/dataTable/attributeList/attribute/@scope,1.0,1.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/dataTable/attributeList/attribute/attributeDefinition,0.0,0.0,15.0,15.0,42.0,51.0
/eml:eml/dataset/dataTable/attributeList/attribute/attributeLabel,0.0,0.0,3.0,3.0,2.0,9.0
/eml:eml/dataset/dataTable/attributeList/attribute/attributeName,12.0,12.0,16.0,16.0,42.0,52.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/dateTime/formatString,0.0,0.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/datetime/formatString,1.0,1.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/nominal/nonNumericDomain/textDomain/definition,5.0,5.0,7.0,7.0,4.0,5.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ratio/numericDomain/bounds/maximum,1.0,1.0,1.0,1.0,0.0,3.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ratio/numericDomain/bounds/maximum/@exclusive,1.0,1.0,1.0,1.0,0.0,1.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ratio/numericDomain/bounds/minimum,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ratio/numericDomain/bounds/minimum/@exclusive,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ratio/numericDomain/numberType,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ratio/precision,1.0,1.0,1.0,1.0,0.0,2.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ratio/unit/customUnit,1.0,1.0,1.0,1.0,0.0,6.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ratio/unit/standardUnit,1.0,1.0,1.0,1.0,2.0,2.0
/eml:eml/dataset/dataTable/attributeList/attribute/missingValueCode/code,2.0,2.0,2.0,2.0,2.0,2.0
/eml:eml/dataset/dataTable/attributeList/attribute/missingValueCode/codeExplanation,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/dataTable/attributeList/attribute/storageType/@typeSystem,3.0,3.0,3.0,3.0,3.0,3.0
/eml:eml/dataset/dataTable/entityDescription,0.0,0.0,0.0,2.0,2.0,0.0
/eml:eml/dataset/dataTable/entityName,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/dataTable/physical/@scope,1.0,1.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/dataTable/physical/dataFormat,0.0,0.0,2.0,2.0,2.0,2.0
/eml:eml/dataset/dataTable/physical/dataFormat/textFormat/attributeOrientation,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/dataTable/physical/dataFormat/textFormat/numFooterLines,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/dataTable/physical/dataFormat/textFormat/numHeaderLines,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/dataTable/physical/dataFormat/textFormat/recordDelimiter,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/dataTable/physical/dataFormat/textFormat/simpleDelimited/fieldDelimiter,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/dataTable/physical/dataFormat/textFormat/simpleDelimited/quoteCharacter,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/dataTable/physical/distribution/online/url,0.0,0.0,1.0,1.0,1.0,1.0
