Concept,MCM_2006_EML,MCM_2007_EML,MCM_2008_EML,MCM_2009_EML,MCM_2010_EML,MCM_2012_EML,MCM_2013_EML,MCM_2014_EML,MCM_2015_EML,MCM_2016_EML,MCM_2017_EML,MCM_2018_EML
Resource Identifier,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Resource Title,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Author / Originator,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Metadata Contact,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0
Contributor Name,0.37003058103975534,0.0,0.1111111111111111,0.0,0.0,0.4545454545454545,0.5714285714285714,0.9,0.2277227722772277,0.9730639730639732,1.0,1.0
Publisher,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0
Publication Date,0.20795107033639146,0.5,0.1111111111111111,0.0,1.0,0.3636363636363637,0.7142857142857143,0.6,0.10891089108910892,1.0,1.0,1.0
Resource Contact,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Abstract,0.9969418960244648,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.995049504950495,1.0,1.0,1.0
Keyword,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0
Resource Distribution,0.9785932721712538,0.8333333333333334,1.0,0.875,0.0,1.0,1.0,0.5,0.9455445544554456,1.0,1.0,1.0
Spatial Extent,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98989898989899,1.0,0.0
Taxonomic Extent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003367003367003368,0.0,0.0
Temporal Extent,0.9877675840978594,1.0,1.0,0.75,1.0,1.0,1.0,0.9,0.9752475247524752,0.9966329966329966,1.0,1.0
Maintenance,0.9388379204892966,1.0,1.0,0.75,1.0,1.0,0.42857142857142855,0.8,0.8663366336633663,0.9057239057239056,0.3333333333333333,0.0
Resource Use Constraints,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Process Step,0.9847094801223242,1.0,1.0,1.0,1.0,1.0,0.8571428571428571,1.0,0.9752475247524752,0.9865319865319864,1.0,1.0
Project Description,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Entity Type Definition,0.1865443425076453,0.3333333333333333,0.1111111111111111,0.0,0.0,0.18181818181818185,0.2857142857142857,0.8,0.034653465346534656,0.7878787878787878,0.8888888888888888,0.0
Attribute Definition,0.9908256880733946,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9562289562289562,1.0,1.0
Resource Access Constraints,0.7186544342507645,0.6666666666666666,0.6666666666666666,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Resource Format,0.9908256880733946,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9562289562289562,1.0,1.0
Attribute List,0.9908256880733946,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9562289562289562,1.0,1.0
Attribute Constraints,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Resource Quality Description,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1750841750841751,0.0,0.0
