XPath,2016.1.xml,4015.1.xml,4016.1.xml,4016.2.xml,7019.1.xml,7020.1.xml,76.1.xml,76.2.xml,8001.1.xml,8002.1.xml
/eml:eml/@packageId,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/@scope,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/@system,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/@xsi:schemaLocation,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/access,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
/eml:eml/access/@authSystem,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/access/@order,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/access/@scope,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/access/allow/permission,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
/eml:eml/access/allow/principal,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/@xsi:schemaLocation,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@abbreviation,3.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@constantToSI,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@id,9.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@multiplierToSI,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@name,3.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@parentSI,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@unitType,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/stmml:description,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
/eml:eml/additionalMetadata/metadata/unitList/unit/@abbreviation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
/eml:eml/additionalMetadata/metadata/unitList/unit/@id,0.0,0.0,2.0,2.0,4.0,4.0,0.0,0.0,0.0,1.0
/eml:eml/additionalMetadata/metadata/unitList/unit/@name,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
/eml:eml/dataset/abstract,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/abstract/section/para,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/abstract/section/para/literalLayout,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/additionalInfo,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/additionalInfo/para/literalLayout,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/additionalInfo/section/para,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0
/eml:eml/dataset/additionalInfo/section/para/literalLayout,0.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/additionalInfo/section/title,0.0,3.0,1.0,1.0,3.0,3.0,1.0,2.0,3.0,3.0
/eml:eml/dataset/associatedParty,10.0,13.0,14.0,14.0,2.0,2.0,3.0,4.0,0.0,3.0
/eml:eml/dataset/associatedParty/address/administrativeArea,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/associatedParty/address/city,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/associatedParty/address/country,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/associatedParty/address/deliveryPoint,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/associatedParty/address/postalCode,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/associatedParty/electronicMailAddress,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/associatedParty/individualName/givenName,10.0,11.0,12.0,12.0,2.0,2.0,3.0,4.0,0.0,3.0
/eml:eml/dataset/associatedParty/individualName/surName,10.0,11.0,12.0,12.0,2.0,2.0,3.0,4.0,0.0,3.0
/eml:eml/dataset/associatedParty/onlineUrl,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/associatedParty/organizationName,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/associatedParty/phone,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/associatedParty/phone/@phonetype,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
