XPath,BNZ_2005_EML,BNZ_2007_EML,BNZ_2008_EML,BNZ_2009_EML,BNZ_2010_EML,BNZ_2011_EML,BNZ_2012_EML,BNZ_2013_EML,BNZ_2014_EML,BNZ_2015_EML,BNZ_2016_EML,BNZ_2017_EML,BNZ_2018_EML
/eml:eml/@packageId,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/@scope,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/@system,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/@xsi:schemaLocation,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/access/@authSystem,0.73,0.76,0.76,0.79,0.87,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/access/@order,0.73,0.76,0.76,0.79,0.87,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/access/@scope,0.73,0.76,0.76,0.79,0.87,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/access/@system,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,1.0,1.0,1.0
/eml:eml/access/allow/permission,1.45,1.52,1.53,1.59,1.75,1.96,2.0,2.0,2.0,2.0,2.0,2.0,2.0
/eml:eml/access/allow/principal,1.45,1.52,1.53,1.59,1.75,1.96,2.0,2.0,2.0,2.0,2.0,2.0,2.0
/eml:eml/additionalMetadata/metadata/unitList/unit/@id,0.78,0.89,1.58,1.17,1.27,1.36,1.81,2.29,1.44,1.7,1.66,1.65,2.34
/eml:eml/additionalMetadata/unitList/unit/@id,0.38,0.35,0.67,0.34,0.21,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/@scope,0.3,0.26,0.26,0.24,0.15,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/abstract/para,0.65,0.69,0.74,0.76,0.87,0.96,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/abstract/para/literalLayout,0.21,0.2,0.23,0.2,0.13,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/access/@authSystem,0.27,0.24,0.24,0.21,0.13,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/access/@order,0.27,0.24,0.24,0.21,0.13,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/access/@scope,0.27,0.24,0.24,0.21,0.13,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/access/allow/permission,0.55,0.48,0.47,0.41,0.25,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/access/allow/principal,0.55,0.48,0.47,0.41,0.25,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/alternateIdentifier,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,1.0
/eml:eml/dataset/alternateIdentifier/@system,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,1.0
/eml:eml/dataset/associatedParty/@scope,0.36,0.34,0.72,0.18,0.28,0.08,0.01,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/associatedParty/address/@scope,0.34,0.33,0.67,0.17,0.27,0.08,0.01,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/associatedParty/address/administrativeArea,1.18,1.27,2.18,0.74,1.47,0.87,1.54,0.73,0.13,1.31,1.1,0.72,3.0
/eml:eml/dataset/associatedParty/address/city,1.18,1.27,2.18,0.74,1.47,0.87,1.54,0.73,0.13,1.31,1.1,0.72,3.0
/eml:eml/dataset/associatedParty/address/country,1.18,1.26,1.92,0.74,1.38,0.87,1.54,0.73,0.13,1.27,1.08,0.72,3.0
/eml:eml/dataset/associatedParty/address/deliveryPoint,1.18,1.27,2.18,0.74,1.47,0.87,1.54,0.73,0.13,1.31,1.1,0.72,3.0
/eml:eml/dataset/associatedParty/address/postalCode,1.18,1.27,2.18,0.74,1.47,0.87,1.54,0.73,0.13,1.31,1.1,0.72,3.0
/eml:eml/dataset/associatedParty/individualName/givenName,2.02,2.16,4.41,1.2,2.22,1.33,2.86,1.29,0.37,2.15,1.63,0.92,3.05
/eml:eml/dataset/associatedParty/individualName/surName,1.26,1.41,2.36,0.75,1.54,0.92,1.62,0.88,0.2,1.39,1.14,0.75,3.0
/eml:eml/dataset/associatedParty/phone,2.16,2.24,3.37,1.45,2.43,1.23,2.76,1.28,0.25,2.28,1.88,1.27,5.29
/eml:eml/dataset/associatedParty/phone/@phonetype,2.16,2.24,3.37,1.45,2.43,1.23,2.76,1.28,0.25,2.28,1.88,1.27,5.29
/eml:eml/dataset/associatedParty/positionName,0.98,1.08,1.64,0.55,1.1,0.55,1.08,0.8,0.17,1.14,1.0,0.7,3.0
/eml:eml/dataset/associatedParty/role,1.26,1.41,2.36,0.75,1.54,0.92,1.62,0.88,0.2,1.39,1.14,0.75,3.0
/eml:eml/dataset/contact/@scope,0.3,0.26,0.26,0.24,0.15,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/contact/address/@scope,0.3,0.26,0.26,0.24,0.15,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/contact/address/administrativeArea,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.8,1.18,1.0,1.0
/eml:eml/dataset/contact/address/city,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.8,1.18,1.0,1.0
/eml:eml/dataset/contact/address/country,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.8,1.18,1.0,1.0
/eml:eml/dataset/contact/address/deliveryPoint,3.0,3.0,3.0,3.0,3.0,3.0,3.01,3.0,3.0,4.6,3.35,3.0,3.0
/eml:eml/dataset/contact/address/postalCode,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.8,1.18,1.0,1.0
/eml:eml/dataset/contact/electronicMailAddress,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.8,1.18,1.0,1.0
/eml:eml/dataset/contact/onlineUrl,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.8,1.18,1.0,1.0
/eml:eml/dataset/contact/organizationName,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.98,1.18,1.0,1.0
/eml:eml/dataset/contact/phone,2.0,2.0,2.0,2.0,2.0,2.0,2.01,2.0,2.0,3.6,2.35,2.0,2.0
/eml:eml/dataset/contact/phone/@phonetype,2.0,2.0,2.0,2.0,2.0,2.0,2.01,2.0,2.0,3.6,2.35,2.0,2.0
/eml:eml/dataset/contact/positionName,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.98,1.18,1.0,1.0
/eml:eml/dataset/coverage/@scope,0.29,0.26,0.26,0.22,0.15,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/coverage/geographicCoverage/@id,0.78,0.78,0.93,0.85,0.87,0.65,1.0,0.99,0.88,0.87,0.96,1.0,1.0
/eml:eml/dataset/coverage/geographicCoverage/@scope,0.33,0.19,0.21,0.17,0.13,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/boundingAltitudes/altitudeMaximum,0.17,0.14,0.19,0.27,0.23,0.11,0.15,0.0,0.01,0.0,0.0,0.0,0.0
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/boundingAltitudes/altitudeMinimum,0.25,0.14,0.19,0.27,0.23,0.11,0.15,0.0,0.01,0.0,0.0,0.0,0.0
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/boundingAltitudes/altitudeUnits,0.25,0.14,0.19,0.27,0.23,0.11,0.15,0.0,0.01,0.0,0.0,0.0,0.0
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/eastBoundingCoordinate,0.9,0.78,0.93,0.85,0.87,0.65,1.0,0.99,0.88,0.87,0.96,1.0,1.0
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/northBoundingCoordinate,0.9,0.78,0.93,0.85,0.87,0.65,1.0,0.99,0.88,0.87,0.96,1.0,1.0
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/southBoundingCoordinate,0.9,0.78,0.93,0.85,0.87,0.65,1.0,0.99,0.88,0.87,0.96,1.0,1.0
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/westBoundingCoordinate,0.9,0.78,0.93,0.85,0.87,0.65,1.0,0.99,0.88,0.87,0.96,1.0,1.0
/eml:eml/dataset/coverage/geographicCoverage/geographicDescription,0.74,0.63,0.79,0.76,0.82,0.65,1.0,0.99,0.88,0.87,0.96,1.0,1.0
/eml:eml/dataset/coverage/temporalCoverage/@scope,0.29,0.26,0.26,0.21,0.15,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/coverage/temporalCoverage/rangeOfDates/beginDate/calendarDate,1.0,1.0,1.0,0.91,1.0,1.0,1.0,1.0,1.0,1.0,0.96,1.0,1.0
/eml:eml/dataset/coverage/temporalCoverage/rangeOfDates/endDate/calendarDate,1.0,1.0,1.0,0.91,1.0,1.0,1.0,1.0,1.0,1.0,0.96,1.0,1.0
/eml:eml/dataset/creator/@scope,0.32,0.26,0.26,0.24,0.15,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/creator/address/@scope,0.32,0.26,0.24,0.23,0.15,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/creator/address/administrativeArea,1.18,1.18,1.2,1.14,1.22,1.25,1.25,1.45,2.57,1.66,2.72,3.79,3.89
/eml:eml/dataset/creator/address/city,1.18,1.18,1.2,1.14,1.22,1.25,1.25,1.45,2.57,1.66,2.72,3.79,3.89
/eml:eml/dataset/creator/address/country,1.17,1.17,1.2,1.14,1.22,1.25,1.25,1.45,2.57,1.66,2.72,3.78,3.89
/eml:eml/dataset/creator/address/deliveryPoint,1.38,1.4,1.41,1.4,1.51,1.56,1.6,2.06,4.57,2.5,4.72,5.79,5.89
/eml:eml/dataset/creator/address/postalCode,1.18,1.18,1.2,1.14,1.22,1.25,1.25,1.45,2.57,1.66,2.72,3.78,3.89
/eml:eml/dataset/creator/electronicMailAddress,1.17,1.17,1.2,1.09,1.22,1.24,1.25,1.53,2.57,1.65,2.75,3.77,3.89
/eml:eml/dataset/creator/individualName/givenName,1.53,1.58,2.01,1.8,1.6,1.7,1.7,2.12,2.67,2.07,3.01,4.46,5.13
/eml:eml/dataset/creator/individualName/surName,1.09,1.1,1.16,1.02,1.09,1.11,1.1,1.24,1.57,1.28,1.84,2.87,2.89
/eml:eml/dataset/creator/onlineUrl,0.85,0.83,0.97,0.88,0.74,0.96,0.6,1.35,1.96,1.31,2.32,2.91,3.47
/eml:eml/dataset/creator/organizationName,0.1,0.11,0.11,0.13,0.14,0.15,0.17,0.3,1.0,0.42,1.0,1.0,1.0
/eml:eml/dataset/creator/phone,2.18,2.18,2.12,1.86,2.33,2.17,1.33,2.6,4.44,2.88,4.47,4.95,5.84
/eml:eml/dataset/creator/phone/@phonetype,2.18,2.18,2.12,1.86,2.33,2.17,1.33,2.6,4.44,2.88,4.47,4.95,5.84
/eml:eml/dataset/creator/positionName,0.77,0.8,0.9,0.8,0.94,1.02,0.8,1.24,1.57,1.15,1.72,2.74,2.89
/eml:eml/dataset/dataTable/@scope,0.26,0.32,0.36,0.18,0.14,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/dataTable/attributeList/attribute/@scope,3.2,3.11,6.29,2.33,1.75,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/dataTable/attributeList/attribute/attributeDefinition,14.38,13.65,24.75,11.17,16.56,17.62,10.75,37.13,8.53,18.92,20.34,23.02,45.95
/eml:eml/dataset/dataTable/attributeList/attribute/attributeLabel,14.62,14.08,24.86,11.17,16.56,17.62,10.75,37.13,8.53,18.92,20.34,23.02,45.95
/eml:eml/dataset/dataTable/attributeList/attribute/attributeName,14.62,14.08,24.86,11.17,16.56,17.62,10.75,37.13,8.53,18.92,20.34,23.02,45.95
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/dateTime/formatString,0.65,0.84,1.27,0.13,0.99,2.92,0.31,0.35,0.12,0.67,0.76,0.39,4.13
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/datetime/formatString,0.24,0.37,0.35,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/nominal/nonNumericDomain/enumeratedDomain/@enforced,0.3,0.22,0.03,0.16,0.11,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/nominal/nonNumericDomain/enumeratedDomain/codeDefinition/code,3.08,4.1,0.17,2.7,7.87,1.47,1.11,2.17,0.68,4.32,4.78,3.12,14.87
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/nominal/nonNumericDomain/enumeratedDomain/codeDefinition/definition,3.05,4.08,0.24,2.7,7.87,1.47,1.11,2.17,0.68,4.32,4.78,3.12,14.87
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/nominal/nonNumericDomain/textDomain/definition,4.76,4.75,3.32,2.33,3.44,5.26,3.74,7.05,4.49,5.39,6.22,6.79,19.87
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ratio/numericDomain/bounds/maximum,0.97,1.58,2.84,1.62,0.6,0.0,0.42,18.05,0.17,1.44,2.21,0.16,3.47
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ratio/numericDomain/bounds/maximum/@exclusive,0.97,1.58,2.84,1.62,0.6,0.0,0.42,18.05,0.17,1.44,2.21,0.16,3.47
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ratio/numericDomain/bounds/minimum,0.97,1.58,2.84,1.62,0.6,0.0,0.42,18.05,0.17,1.44,2.21,0.16,3.47
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ratio/numericDomain/bounds/minimum/@exclusive,0.97,1.58,2.84,1.62,0.6,0.0,0.42,18.05,0.17,1.44,2.21,0.16,3.47
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ratio/numericDomain/numberType,7.81,6.72,19.84,7.91,10.74,8.06,5.75,28.85,3.55,11.24,11.53,14.05,16.29
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ratio/unit/customUnit,2.13,2.52,7.27,4.01,5.13,1.74,2.44,18.59,1.96,4.36,4.73,7.93,8.03
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ratio/unit/standardUnit,5.67,4.2,12.57,3.9,5.61,6.32,3.31,10.26,1.59,6.88,6.8,6.12,8.26
/eml:eml/dataset/dataTable/attributeList/attribute/missingValueCode/code,3.16,2.63,18.02,3.25,8.37,1.99,2.36,24.77,1.2,7.57,7.39,11.06,14.47
/eml:eml/dataset/dataTable/attributeList/attribute/missingValueCode/codeExplanation,3.16,2.63,18.02,3.25,8.37,1.99,2.36,24.77,1.2,7.57,7.39,11.06,14.47
/eml:eml/dataset/dataTable/attributeList/attribute/storageType,14.48,13.81,24.27,11.17,16.56,17.62,10.75,37.13,8.53,18.92,20.34,23.02,45.95
/eml:eml/dataset/dataTable/attributeList/attribute/storageType/@typeSystem,3.2,3.11,6.29,2.33,1.75,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/dataTable/entityDescription,0.56,0.54,0.52,0.21,0.25,0.25,0.34,0.4,0.71,1.27,1.55,1.72,5.08
/eml:eml/dataset/dataTable/entityName,1.09,1.28,1.57,0.74,1.31,1.93,0.92,1.31,0.71,1.47,1.55,1.72,5.08
/eml:eml/dataset/dataTable/physical/@scope,0.26,0.32,0.36,0.18,0.14,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/dataTable/physical/dataFormat/textFormat/attributeOrientation,1.09,1.28,1.57,0.74,1.31,1.93,0.92,1.31,0.71,1.47,1.55,1.72,5.08
/eml:eml/dataset/dataTable/physical/dataFormat/textFormat/numHeaderLines,1.09,1.28,1.57,0.74,1.31,1.93,0.92,1.31,0.71,1.47,1.55,1.72,5.08
/eml:eml/dataset/dataTable/physical/dataFormat/textFormat/physicalLineDelimiter,1.09,1.28,1.57,0.74,1.31,1.93,0.92,1.31,0.71,1.47,1.55,1.72,5.08
/eml:eml/dataset/dataTable/physical/dataFormat/textFormat/recordDelimiter,1.09,1.28,1.57,0.74,1.31,1.93,0.92,1.31,0.71,1.47,1.55,1.72,5.08
/eml:eml/dataset/dataTable/physical/dataFormat/textFormat/simpleDelimited/fieldDelimiter,1.09,1.28,1.57,0.74,1.31,1.93,0.92,1.31,0.71,1.47,1.55,1.72,5.08
/eml:eml/dataset/dataTable/physical/dataFormat/textFormat/simpleDelimited/quoteCharacter,0.01,0.02,0.01,0.01,0.0,0.07,0.02,0.07,0.2,0.08,0.14,0.45,0.84
/eml:eml/dataset/dataTable/physical/distribution/@scope,0.26,0.32,0.36,0.18,0.14,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/dataTable/physical/distribution/access/@authSystem,0.0,0.0,0.0,0.0,0.0,0.14,0.03,0.02,0.08,0.0,0.0,0.0,0.0
/eml:eml/dataset/dataTable/physical/distribution/access/@order,0.0,0.0,0.0,0.0,0.0,0.14,0.03,0.02,0.08,0.0,0.0,0.0,0.0
/eml:eml/dataset/dataTable/physical/distribution/access/@scope,0.0,0.0,0.0,0.0,0.0,0.14,0.03,0.02,0.08,0.0,0.0,0.0,0.0
/eml:eml/dataset/dataTable/physical/distribution/access/allow/permission,0.0,0.0,0.0,0.0,0.0,0.14,0.03,0.02,0.08,0.0,0.0,0.0,0.0
/eml:eml/dataset/dataTable/physical/distribution/access/allow/principal,0.0,0.0,0.0,0.0,0.0,0.14,0.03,0.02,0.08,0.0,0.0,0.0,0.0
/eml:eml/dataset/dataTable/physical/distribution/online/url,1.09,1.28,1.57,0.74,1.31,1.93,0.92,1.31,0.71,1.47,1.55,1.72,5.08
/eml:eml/dataset/dataTable/physical/distribution/online/url/@function,0.96,1.16,1.34,0.66,1.16,1.72,0.81,1.31,0.71,1.47,1.55,1.72,5.08
/eml:eml/dataset/dataTable/physical/objectName,1.09,1.28,1.57,0.74,1.31,1.93,0.92,1.31,0.71,1.47,1.55,1.72,5.08
/eml:eml/dataset/distribution/@id,0.97,0.98,1.0,0.91,0.99,0.72,0.77,1.0,0.76,1.0,1.0,1.0,1.0
/eml:eml/dataset/distribution/@scope,0.3,0.26,0.26,0.21,0.14,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/distribution/online/url,1.0,0.98,1.0,0.91,0.99,0.72,0.77,1.0,0.76,1.0,1.0,1.0,1.0
/eml:eml/dataset/distribution/online/url/@function,0.87,0.85,0.87,0.78,0.85,0.61,0.68,1.0,0.76,1.0,1.0,1.0,1.0
/eml:eml/dataset/intellectualRights/section/para,2.18,2.28,2.29,2.38,2.62,2.94,3.0,3.0,3.0,3.0,5.54,6.28,6.24
/eml:eml/dataset/intellectualRights/section/para/literalLayout,0.82,0.72,0.71,0.62,0.38,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/intellectualRights/section/title,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.54,6.28,6.24
/eml:eml/dataset/keywordSet/keyword,5.74,5.33,4.93,3.77,3.41,2.96,4.75,6.2,4.32,5.58,5.16,5.71,4.71
/eml:eml/dataset/keywordSet/keyword/@keywordType,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/keywordSet/keywordThesaurus,0.96,0.98,1.0,0.82,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/maintenance/description/section/para,0.76,0.8,1.03,1.0,0.91,0.98,1.09,1.16,1.52,1.12,1.28,1.54,1.5
/eml:eml/dataset/maintenance/description/section/para/literalLayout,0.25,0.25,0.33,0.25,0.13,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
