Concept,BNZ_2005_EML,BNZ_2007_EML,BNZ_2008_EML,BNZ_2009_EML,BNZ_2010_EML,BNZ_2011_EML,BNZ_2012_EML,BNZ_2013_EML,BNZ_2014_EML,BNZ_2015_EML,BNZ_2016_EML,BNZ_2017_EML,BNZ_2018_EML
Resource Identifier,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Resource Title,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Author / Originator,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Metadata Contact,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Contributor Name,0.7470355731225297,0.7657142857142857,0.7940199335548173,0.5,0.76,0.696969696969697,0.9333333333333332,0.6511627906976745,0.18666666666666668,0.7324902723735408,0.5866388308977035,0.2828282828282828,0.7631578947368421
Publisher,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Publication Date,0.9422924901185772,0.9702857142857144,1.0,0.9439834024896264,1.0,1.0,0.8291666666666667,1.0,1.0,0.9990272373540856,1.0,1.0,1.0
Resource Contact,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Abstract,0.8679841897233201,0.8834285714285715,0.9634551495016612,0.95850622406639,0.9973333333333332,0.9797979797979798,1.0,1.0,1.0,0.9980544747081712,0.9979123173277662,1.0,1.0
Keyword,0.9944664031620554,0.976,1.0,0.8236514522821576,1.0,1.0,1.0,1.0,1.0,0.9970817120622568,1.0,1.0,1.0
Resource Distribution,1.0,0.9771428571428572,1.0,0.9107883817427386,0.9946666666666668,0.7171717171717171,0.7666666666666667,1.0,0.76,0.9990272373540856,0.9958246346555324,1.0,1.0
Spatial Extent,0.7928853754940711,0.7771428571428571,0.9269102990033222,0.8506224066390041,0.872,0.6464646464646465,1.0,0.9883720930232558,0.88,0.8706225680933852,0.9645093945720252,1.0,1.0
Taxonomic Extent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Temporal Extent,0.9960474308300395,1.0,1.0,0.9107883817427386,1.0,1.0,1.0,1.0,1.0,1.0,0.9645093945720252,1.0,1.0
Maintenance,0.967588932806324,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Resource Use Constraints,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Process Step,0.6640316205533597,0.7474285714285714,0.6245847176079734,0.8651452282157677,0.9786666666666668,0.9797979797979798,1.0,0.9883720930232558,0.9733333333333334,0.8560311284046692,0.8935281837160751,1.0,1.0
Project Description,0.03241106719367589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8204592901878914,1.0,1.0
Entity Type Definition,0.4339920948616601,0.344,0.2823920265780731,0.19294605809128632,0.12266666666666665,0.0707070707070707,0.2125,0.2906976744186047,0.68,0.8482490272373541,0.9958246346555324,1.0,1.0
Attribute Definition,0.7683794466403162,0.7977142857142857,0.8870431893687708,0.7095435684647303,0.7306666666666667,0.4343434343434344,0.7625,0.9534883720930232,0.68,0.9961089494163424,0.9958246346555324,1.0,1.0
Resource Access Constraints,0.7264822134387352,0.7611428571428571,0.7641196013289037,0.7925311203319502,0.8746666666666667,0.9797979797979798,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Resource Format,0.7683794466403162,0.7977142857142857,0.8870431893687708,0.7095435684647303,0.7306666666666667,0.4343434343434344,0.7625,0.9534883720930232,0.68,0.9961089494163424,0.9958246346555324,1.0,1.0
Attribute List,0.7683794466403162,0.7977142857142857,0.8870431893687708,0.7095435684647303,0.7306666666666667,0.4343434343434344,0.7625,0.9534883720930232,0.68,0.9961089494163424,0.9958246346555324,1.0,1.0
Attribute Constraints,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Resource Quality Description,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
