Concept,BNZ_2005_EML,BNZ_2007_EML,BNZ_2008_EML,BNZ_2009_EML,BNZ_2010_EML,BNZ_2011_EML,BNZ_2012_EML,BNZ_2013_EML,BNZ_2014_EML,BNZ_2015_EML,BNZ_2016_EML,BNZ_2017_EML,BNZ_2018_EML
Resource Identifier,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Resource Title,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Author / Originator,1.19,1.21,1.27,1.15,1.23,1.26,1.27,1.55,2.57,1.7,2.84,3.87,3.89
Metadata Contact,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Contributor Name,1.26,1.41,2.36,0.75,1.54,0.92,1.62,0.88,0.2,1.39,1.14,0.75,3.0
Publisher,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Publication Date,0.94,0.97,1.0,0.94,1.0,1.0,0.83,1.0,1.0,1.0,1.0,1.0,1.0
Resource Contact,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.98,1.18,1.0,1.0
Abstract,0.87,0.88,0.96,0.96,1.0,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Keyword,5.74,5.33,4.93,3.77,3.41,2.96,4.75,6.2,4.32,5.58,5.16,5.71,4.71
Resource Distribution,1.0,0.98,1.0,0.91,0.99,0.72,0.77,1.0,0.76,1.0,1.0,1.0,1.0
Spatial Extent,0.9,0.78,0.93,0.85,0.87,0.65,1.0,0.99,0.88,0.87,0.96,1.0,1.0
Taxonomic Extent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Temporal Extent,1.0,1.0,1.0,0.91,1.0,1.0,1.0,1.0,1.0,1.0,0.96,1.0,1.0
Maintenance,0.97,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Resource Use Constraints,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Process Step,0.66,0.75,0.62,0.87,0.98,0.98,1.0,0.99,0.97,0.86,0.89,1.0,1.0
Project Description,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,1.0,1.0
Entity Type Definition,0.56,0.54,0.52,0.21,0.25,0.25,0.34,0.4,0.71,1.27,1.55,1.72,5.08
Attribute Definition,14.62,14.08,24.86,11.17,16.56,17.62,10.75,37.13,8.53,18.92,20.34,23.02,45.95
Resource Access Constraints,0.73,0.76,0.76,0.79,0.87,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Resource Format,1.09,1.28,1.57,0.74,1.31,1.93,0.92,1.31,0.71,1.47,1.55,1.72,5.08
Attribute List,1.09,1.28,1.57,0.74,1.31,1.93,0.92,1.31,0.71,1.47,1.55,1.72,5.08
Attribute Constraints,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Resource Quality Description,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
