Concept,VCR_2005_EML,VCR_2006_EML,VCR_2007_EML,VCR_2008_EML,VCR_2009_EML,VCR_2010_EML,VCR_2011_EML,VCR_2012_EML,VCR_2013_EML,VCR_2014_EML,VCR_2015_EML,VCR_2016_EML,VCR_2017_EML,VCR_2018_EML
Resource Identifier,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Resource Title,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Author / Originator,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Metadata Contact,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Contributor Name,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Publisher,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Publication Date,0.9959758551307848,0.8,0.76,0.95,0.6212121212121212,0.5,1.0,0.9134615384615384,0.8571428571428571,1.0,1.0,1.0,1.0,1.0
Resource Contact,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Abstract,0.5573440643863179,0.9,0.8,0.85,0.8560606060606061,1.0,1.0,0.7307692307692307,1.0,1.0,0.7142857142857143,0.794392523364486,0.6111111111111112,0.7938144329896907
Keyword,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Resource Distribution,0.193158953722334,0.1,0.08,0.15,0.03787878787878788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spatial Extent,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Taxonomic Extent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1851851851851852,0.07216494845360824
Temporal Extent,0.954728370221328,1.0,0.88,1.0,0.9696969696969696,0.5,1.0,1.0,1.0,1.0,0.9852216748768472,0.9813084112149532,1.0,0.9896907216494846
Maintenance,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Resource Use Constraints,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Process Step,0.5835010060362174,0.48,1.0,0.45,0.5833333333333334,1.0,0.0,0.6538461538461539,0.42857142857142855,0.9333333333333332,0.5566502463054187,0.5700934579439252,0.6296296296296297,0.7577319587628866
Project Description,0.7193158953722334,0.1,0.2,0.75,0.4545454545454545,0.0,0.5,0.5673076923076923,0.14285714285714285,0.1,0.4975369458128079,0.4579439252336449,0.5555555555555556,0.4587628865979381
Entity Type Definition,0.8802816901408451,0.72,0.8,0.8,0.7954545454545454,0.0,0.5,0.8269230769230769,0.14285714285714285,0.16666666666666666,0.7980295566502463,0.8130841121495327,0.9629629629629628,0.8195876288659794
Attribute Definition,0.8802816901408451,0.72,0.8,0.8,0.7954545454545454,0.0,0.5,0.8269230769230769,0.14285714285714285,0.16666666666666666,0.7980295566502463,0.8130841121495327,0.9629629629629628,0.8195876288659794
Resource Access Constraints,0.806841046277666,0.9,0.92,0.85,0.9621212121212122,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Resource Format,0.8802816901408451,0.72,0.8,0.8,0.7954545454545454,0.0,0.5,0.8269230769230769,0.14285714285714285,0.16666666666666666,0.7980295566502463,0.8130841121495327,0.9629629629629628,0.8195876288659794
Attribute List,0.8802816901408451,0.72,0.8,0.8,0.7954545454545454,0.0,0.5,0.8269230769230769,0.14285714285714285,0.16666666666666666,0.7980295566502463,0.8130841121495327,0.9629629629629628,0.8195876288659794
Attribute Constraints,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Resource Quality Description,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
