XPath,VCR_2005_EML,VCR_2006_EML,VCR_2007_EML,VCR_2008_EML,VCR_2009_EML,VCR_2010_EML,VCR_2011_EML,VCR_2012_EML,VCR_2013_EML,VCR_2014_EML,VCR_2015_EML,VCR_2016_EML,VCR_2017_EML,VCR_2018_EML
/eml:eml/@packageId,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/@scope,0.6156941649899397,0.4,0.28,0.3,0.4545454545454545,0.3333333333333333,0.4166666666666667,0.1346153846153846,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/@system,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/@xsi:schemaLocation,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/access/@authSystem,0.806841046277666,0.9,0.92,0.85,0.9621212121212122,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/access/@order,0.806841046277666,0.9,0.92,0.85,0.9621212121212122,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/access/@scope,0.4235412474849095,0.3,0.2,0.15,0.4166666666666667,0.3333333333333333,0.4166666666666667,0.1346153846153846,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/access/@system,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9901477832512317,1.0,1.0,1.0
/eml:eml/access/allow/permission,0.806841046277666,0.9,0.92,0.85,0.9621212121212122,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/access/allow/principal,0.806841046277666,0.9,0.92,0.85,0.9621212121212122,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/additionalMetadata/metadata/localtags/featuredDataGroup,0.08350100603621731,0.16,0.0,0.3,0.5454545454545454,0.0,0.0,0.02884615384615385,0.0,0.0,0.12807881773399016,0.14018691588785046,0.0925925925925926,0.10309278350515463
/eml:eml/additionalMetadata/metadata/localtags/modDatetime,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22167487684729065,0.616822429906542,0.5,0.5257731958762887
/eml:eml/additionalMetadata/metadata/localtags/projectId,0.3229376257545272,0.08,0.16,0.55,0.30303030303030304,0.0,0.5,0.5,0.14285714285714285,0.1,0.4975369458128079,0.4579439252336449,0.5555555555555556,0.4587628865979381
/eml:eml/additionalMetadata/metadata/localtags/researchTheme,0.1096579476861167,0.22,0.16,0.3,0.5151515151515151,0.8333333333333334,0.0,0.18269230769230768,0.0,0.0,0.15763546798029554,0.1588785046728972,0.14814814814814814,0.11855670103092784
/eml:eml/additionalMetadata/metadata/localtags/system,0.5875251509054326,0.76,0.88,0.85,0.7575757575757576,0.8333333333333334,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0
