XPath,179.11.xml,179.13.xml,179.15.xml,179.16.xml,179.4.xml,179.9.xml
/eml:eml/@packageId,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/@scope,0.0,0.0,0.0,0.0,1.0,1.0
/eml:eml/@system,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/@xsi:schemaLocation,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/access,5.0,5.0,5.0,5.0,5.0,5.0
/eml:eml/access/@authSystem,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/access/@order,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/access/@scope,0.0,0.0,0.0,0.0,1.0,1.0
/eml:eml/access/allow/permission,2.0,2.0,2.0,2.0,2.0,2.0
/eml:eml/access/allow/principal,2.0,2.0,2.0,2.0,2.0,2.0
/eml:eml/additionalMetadata/metadata/localtags/researchTheme,1.0,1.0,1.0,1.0,0.0,1.0
/eml:eml/additionalMetadata/metadata/localtags/system,1.0,1.0,1.0,1.0,0.0,1.0
/eml:eml/additionalMetadata/metadata/localtags/weight,1.0,1.0,1.0,1.0,0.0,1.0
/eml:eml/dataset/@id,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/@scope,0.0,0.0,0.0,0.0,1.0,1.0
/eml:eml/dataset/@system,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/abstract,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/abstract/para,2.0,2.0,2.0,2.0,2.0,2.0
/eml:eml/dataset/additionalInfo,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/additionalInfo/section/para,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/additionalInfo/section/para/orderedlist/listitem/para,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/additionalInfo/section/title,2.0,2.0,2.0,2.0,2.0,2.0
/eml:eml/dataset/alternateIdentifier,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/contact,2.0,2.0,2.0,2.0,2.0,2.0
/eml:eml/dataset/contact/@id,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/contact/@scope,0.0,0.0,0.0,0.0,1.0,1.0
/eml:eml/dataset/contact/address/@scope,0.0,0.0,0.0,0.0,1.0,1.0
/eml:eml/dataset/contact/address/administrativeArea,2.0,2.0,2.0,2.0,2.0,2.0
/eml:eml/dataset/contact/address/city,2.0,2.0,2.0,2.0,2.0,2.0
/eml:eml/dataset/contact/address/country,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/contact/address/deliveryPoint,2.0,2.0,2.0,2.0,2.0,2.0
/eml:eml/dataset/contact/address/postalCode,2.0,2.0,2.0,2.0,2.0,2.0
/eml:eml/dataset/contact/electronicMailAddress,2.0,2.0,2.0,2.0,2.0,2.0
/eml:eml/dataset/contact/individualName/givenName,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/contact/individualName/salutation,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/contact/individualName/surName,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/contact/onlineUrl,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/contact/phone,4.0,4.0,4.0,4.0,4.0,4.0
/eml:eml/dataset/contact/phone/@phonetype,2.0,2.0,2.0,2.0,2.0,2.0
/eml:eml/dataset/contact/positionName,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/contact/userId,1.0,1.0,1.0,1.0,0.0,1.0
/eml:eml/dataset/contact/userId/@directory,1.0,1.0,1.0,1.0,0.0,1.0
/eml:eml/dataset/coverage/@scope,0.0,0.0,0.0,0.0,1.0,1.0
/eml:eml/dataset/coverage/geographicCoverage,2.0,2.0,2.0,2.0,2.0,2.0
/eml:eml/dataset/coverage/geographicCoverage/@scope,0.0,0.0,0.0,0.0,1.0,1.0
