Concept,Collection,ConceptCount,RecordCount,AverageOccurancePerRecord,CollectionOccurance%
Number of Records,Sample2_Sample,101,101,1.00,100.00%
Abstract,Sample2_Sample,101,101,1.00,100.00%
Address,Sample2_Sample,201,101,1.99,100.00%
Bounding Box,Sample2_Sample,103,101,1.02,100.00%
Browse Description,Sample2_Sample,15,15,0.15,14.85%
Browse File Name,Sample2_Sample,15,15,0.15,14.85%
Browse Format,Sample2_Sample,15,15,0.15,14.85%
Browse URL,Sample2_Sample,15,15,0.15,14.85%
Cited Resource Identifier,Sample2_Sample,101,101,1.00,100.00%
Cited Resource Title,Sample2_Sample,1054,101,10.44,100.00%
City,Sample2_Sample,201,101,1.99,100.00%
Contact Instructions,Sample2_Sample,201,101,1.99,100.00%
Coordinate Reference System (CRS),Sample2_Sample,101,101,1.00,100.00%
Country,Sample2_Sample,201,101,1.99,100.00%
Data Dates,Sample2_Sample,163,101,1.61,100.00%
Data Quality Scope,Sample2_Sample,101,101,1.00,100.00%
Distribution Contact,Sample2_Sample,129,101,1.28,100.00%
Distribution Format,Sample2_Sample,101,101,1.00,100.00%
Easternmost Longitude,Sample2_Sample,103,101,1.02,100.00%
Email,Sample2_Sample,229,101,2.27,100.00%
End Time,Sample2_Sample,101,101,1.00,100.00%
Enumerated Domain Value Definition Source,Sample2_Sample,505,101,5.00,100.00%
First Name,Sample2_Sample,128,100,1.27,99.01%
Format of the Online Resource,Sample2_Sample,202,101,2.00,100.00%
Geographic Description,Sample2_Sample,101,101,1.00,100.00%
Hours of Service,Sample2_Sample,100,100,0.99,99.01%
Instrument,Sample2_Sample,224,101,2.22,100.00%
Instrument Keyword,Sample2_Sample,224,101,2.22,100.00%
Instrument Keyword Vocabulary,Sample2_Sample,101,101,1.00,100.00%
Instrument Short Name,Sample2_Sample,224,101,2.22,100.00%
Instrument Type,Sample2_Sample,101,101,1.00,100.00%
Keyword,Sample2_Sample,788,101,7.80,100.00%
Keyword Type,Sample2_Sample,505,101,5.00,100.00%
Keyword Vocabulary,Sample2_Sample,606,101,6.00,100.00%
Keyword Vocabulary Citation,Sample2_Sample,505,101,5.00,100.00%
Last Name,Sample2_Sample,128,100,1.27,99.01%
Metadata Contact,Sample2_Sample,101,101,1.00,100.00%
Metadata Dates,Sample2_Sample,101,101,1.00,100.00%
Metadata Identifier,Sample2_Sample,101,101,1.00,100.00%
Metadata Language,Sample2_Sample,101,101,1.00,100.00%
Metadata Modified Date,Sample2_Sample,101,101,1.00,100.00%
Metadata Standard Citation,Sample2_Sample,101,101,1.00,100.00%
Metadata Standard Version,Sample2_Sample,101,101,1.00,100.00%
Middle Name,Sample2_Sample,128,100,1.27,99.01%
Northernmost Latitude,Sample2_Sample,101,101,1.00,100.00%
Online Resource,Sample2_Sample,404,101,4.00,100.00%
Online Resource Description,Sample2_Sample,979,101,9.69,100.00%
Online Resource Name/Title,Sample2_Sample,816,101,8.08,100.00%
Organization Name,Sample2_Sample,827,101,8.19,100.00%
Other Citation Details,Sample2_Sample,101,101,1.00,100.00%
Paleo Temporal Coverage,Sample2_Sample,101,101,1.00,100.00%
Party,Sample2_Sample,1487,101,14.72,100.00%
Phone,Sample2_Sample,126,100,1.25,99.01%
Place Keyword,Sample2_Sample,102,101,1.01,100.00%
Place Keyword Vocabulary,Sample2_Sample,101,101,1.00,100.00%
Platform,Sample2_Sample,245,101,2.43,100.00%
Platform Description,Sample2_Sample,133,101,1.32,100.00%
Platform Keyword,Sample2_Sample,245,101,2.43,100.00%
Platform Keyword Vocabulary,Sample2_Sample,101,101,1.00,100.00%
Platform Long Name,Sample2_Sample,245,101,2.43,100.00%
Platform Short Name,Sample2_Sample,245,101,2.43,100.00%
Platform Type,Sample2_Sample,133,101,1.32,100.00%
Position Name,Sample2_Sample,221,101,2.19,100.00%
Postal_Code,Sample2_Sample,201,101,1.99,100.00%
Process Step Description,Sample2_Sample,101,101,1.00,100.00%
Processing Level,Sample2_Sample,101,101,1.00,100.00%
Processor,Sample2_Sample,101,101,1.00,100.00%
Province or State,Sample2_Sample,201,101,1.99,100.00%
Publication Date,Sample2_Sample,101,101,1.00,100.00%
Publication Information,Sample2_Sample,101,101,1.00,100.00%
Purpose,Sample2_Sample,101,101,1.00,100.00%
Related Resource Identifier,Sample2_Sample,570,101,5.64,100.00%
Related URL,Sample2_Sample,549,98,5.44,97.03%
Resource Citation,Sample2_Sample,101,101,1.00,100.00%
Resource Contact,Sample2_Sample,101,101,1.00,100.00%
Resource Cost or Fees,Sample2_Sample,101,101,1.00,100.00%
Resource Creation Date,Sample2_Sample,101,101,1.00,100.00%
Resource Creation/Revision Date,Sample2_Sample,163,101,1.61,100.00%
Resource Format,Sample2_Sample,101,101,1.00,100.00%
Resource Identifier,Sample2_Sample,101,101,1.00,100.00%
Resource Language,Sample2_Sample,101,101,1.00,100.00%
Resource Lineage,Sample2_Sample,101,101,1.00,100.00%
Resource Long Name,Sample2_Sample,101,101,1.00,100.00%
Resource Revision Date,Sample2_Sample,101,101,1.00,100.00%
Resource Title,Sample2_Sample,101,101,1.00,100.00%
Resource Type,Sample2_Sample,101,101,1.00,100.00%
Resource Version,Sample2_Sample,101,101,1.00,100.00%
Responsibility,Sample2_Sample,1341,101,13.28,100.00%
Role,Sample2_Sample,505,101,5.00,100.00%
Sensor Short Name,Sample2_Sample,224,101,2.22,100.00%
Southernmost Latitude,Sample2_Sample,101,101,1.00,100.00%
Spatial Extent,Sample2_Sample,103,101,1.02,100.00%
Spatial Representation,Sample2_Sample,101,101,1.00,100.00%
Standard Name Vocabulary,Sample2_Sample,505,101,5.00,100.00%
Start Time,Sample2_Sample,101,101,1.00,100.00%
Supplemental Information,Sample2_Sample,101,101,1.00,100.00%
Temporal Extent,Sample2_Sample,101,101,1.00,100.00%
Theme Keyword,Sample2_Sample,116,101,1.15,100.00%
URL,Sample2_Sample,344,101,3.41,100.00%
Unknown,Sample2_Sample,18947,101,187.59,100.00%
VariableType,Sample2_Sample,101,101,1.00,100.00%
Web Page,Sample2_Sample,404,101,4.00,100.00%
Westernmost Longitude,Sample2_Sample,103,101,1.02,100.00%
