Concept,SBC_2005_EML,SBC_2006_EML,SBC_2007_EML,SBC_2008_EML,SBC_2009_EML,SBC_2010_EML,SBC_2011_EML,SBC_2012_EML,SBC_2013_EML,SBC_2014_EML,SBC_2015_EML,SBC_2016_EML,SBC_2017_EML,SBC_2018_EML
Resource Identifier,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Resource Title,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Author / Originator,2.55,3.13,2.11,2.7,3.14,2.24,3.0,3.66,3.11,3.5,2.9,3.52,2.85,2.26
Metadata Contact,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Contributor Name,0.87,1.67,1.78,0.0,1.23,0.69,0.16,0.06,2.67,0.0,0.96,0.24,0.0,0.15
Publisher,0.94,0.76,1.0,1.0,0.94,1.0,0.89,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Publication Date,0.84,0.69,1.0,1.0,0.93,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Resource Contact,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.44,1.0,2.01,1.97,1.0,1.0
Abstract,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Keyword,17.8,18.31,16.11,19.6,16.69,21.31,29.11,32.11,25.0,28.5,19.02,21.73,25.85,16.25
Resource Distribution,1.45,1.04,1.0,1.0,1.06,0.96,0.89,1.0,0.56,1.0,0.98,1.0,1.0,1.0
Spatial Extent,8.17,4.31,1.0,5.6,7.01,4.62,11.16,5.49,7.44,7.5,5.76,5.33,6.26,2.01
Taxonomic Extent,0.12,0.16,0.0,0.0,0.04,0.13,0.0,0.64,0.56,1.0,0.13,0.52,0.15,0.0
Temporal Extent,0.93,1.0,1.0,0.8,1.0,0.89,1.0,0.94,1.0,1.0,0.99,1.06,1.0,1.0
Maintenance,0.76,0.71,0.78,0.0,0.06,0.09,0.21,0.0,0.56,0.0,0.03,0.0,0.0,0.0
Resource Use Constraints,1.0,1.0,1.0,1.0,1.0,1.0,0.89,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Process Step,0.91,0.84,0.89,0.8,0.98,0.89,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0
Project Description,1.0,1.0,1.0,1.0,1.0,1.0,0.95,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Entity Type Definition,1.59,1.73,1.0,1.3,1.43,1.09,1.63,2.38,1.22,15.0,1.46,1.55,1.56,1.16
Attribute Definition,27.81,85.02,77.67,19.1,33.86,29.62,48.0,16.79,18.11,66.5,29.94,22.82,20.89,17.53
Resource Access Constraints,0.35,0.27,0.44,0.6,0.59,0.87,1.0,0.96,1.0,1.0,1.0,1.0,1.0,1.0
Resource Format,1.6,1.76,1.0,1.3,1.44,1.09,1.63,2.38,1.22,15.0,1.46,1.55,1.56,1.16
Attribute List,1.6,1.76,1.0,1.3,1.44,1.09,1.63,2.38,1.22,15.0,1.46,1.55,1.56,1.16
Attribute Constraints,0.01,0.0,0.0,0.0,0.01,0.0,0.11,0.64,0.0,14.0,0.12,0.0,0.0,0.0
Resource Quality Description,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
