Concept,SBC_2005_EML,SBC_2006_EML,SBC_2007_EML,SBC_2008_EML,SBC_2009_EML,SBC_2010_EML,SBC_2011_EML,SBC_2012_EML,SBC_2013_EML,SBC_2014_EML,SBC_2015_EML,SBC_2016_EML,SBC_2017_EML,SBC_2018_EML
Resource Identifier,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Resource Title,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Author / Originator,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Metadata Contact,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Contributor Name,0.5348837209302325,0.8222222222222222,0.8888888888888888,0.0,0.4893048128342246,0.4,0.15789473684210525,0.06382978723404255,0.4444444444444444,0.0,0.3793103448275862,0.2424242424242425,0.0,0.07352941176470587
Publisher,0.9418604651162792,0.7555555555555555,1.0,1.0,0.9358288770053476,1.0,0.8947368421052632,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Publication Date,0.8372093023255814,0.6888888888888889,1.0,1.0,0.93048128342246,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Resource Contact,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Abstract,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Keyword,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9956896551724138,1.0,1.0,1.0
Resource Distribution,0.9302325581395348,0.8,1.0,1.0,0.9946524064171124,0.9555555555555556,0.8947368421052632,1.0,0.5555555555555556,1.0,0.9827586206896552,1.0,1.0,1.0
Spatial Extent,0.9418604651162792,1.0,1.0,1.0,0.997326203208556,0.8888888888888888,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Taxonomic Extent,0.11627906976744184,0.15555555555555556,0.0,0.0,0.04010695187165776,0.13333333333333333,0.0,0.6382978723404256,0.5555555555555556,1.0,0.12931034482758622,0.5151515151515151,0.14814814814814814,0.0
Temporal Extent,0.9302325581395348,1.0,1.0,0.8,0.997326203208556,0.8888888888888888,1.0,0.9361702127659576,1.0,1.0,0.9913793103448276,0.9393939393939394,1.0,1.0
Maintenance,0.7558139534883721,0.7111111111111111,0.7777777777777778,0.0,0.06149732620320856,0.08888888888888889,0.21052631578947367,0.0,0.5555555555555556,0.0,0.02586206896551724,0.0,0.0,0.0
Resource Use Constraints,1.0,1.0,1.0,1.0,1.0,1.0,0.8947368421052632,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Process Step,0.9069767441860463,0.8444444444444444,0.8888888888888888,0.8,0.9786096256684492,0.8888888888888888,1.0,1.0,1.0,1.0,0.9913793103448276,1.0,1.0,1.0
Project Description,1.0,1.0,1.0,1.0,1.0,1.0,0.9473684210526316,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Entity Type Definition,0.9651162790697676,0.9777777777777776,1.0,0.8,0.9839572192513372,1.0,1.0,1.0,0.5555555555555556,1.0,0.9784482758620692,1.0,0.9629629629629628,0.9852941176470588
Attribute Definition,0.9767441860465116,1.0,1.0,0.8,0.9946524064171124,1.0,1.0,1.0,0.5555555555555556,1.0,0.9784482758620692,1.0,0.9629629629629628,0.9852941176470588
Resource Access Constraints,0.3488372093023256,0.26666666666666666,0.4444444444444444,0.6,0.5935828877005348,0.8666666666666667,1.0,0.9574468085106383,1.0,1.0,1.0,1.0,1.0,1.0
Resource Format,0.9767441860465116,1.0,1.0,0.8,0.9946524064171124,1.0,1.0,1.0,0.5555555555555556,1.0,0.9784482758620692,1.0,0.9629629629629628,0.9852941176470588
Attribute List,0.9767441860465116,1.0,1.0,0.8,0.9946524064171124,1.0,1.0,1.0,0.5555555555555556,1.0,0.9784482758620692,1.0,0.9629629629629628,0.9852941176470588
Attribute Constraints,0.011627906976744186,0.0,0.0,0.0,0.008021390374331552,0.0,0.10526315789473684,0.06382978723404255,0.0,0.5,0.004310344827586207,0.0,0.0,0.0
Resource Quality Description,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
