XPath,316.12.xml,316.15.xml,316.17.xml,316.19.xml,316.9.xml,317.12.xml,317.17.xml,317.18.xml
/eml:eml/@packageId,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/@scope,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
/eml:eml/@system,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/@xsi:schemaLocation,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/access,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
/eml:eml/access/@authSystem,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/access/@order,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/access/@scope,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/access/allow/permission,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
/eml:eml/access/allow/principal,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/@convention,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/@xsi:schemaLocation,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@abbreviation,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@constantToSI,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@id,2.0,2.0,2.0,3.0,2.0,2.0,3.0,6.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@multiplierToSI,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@name,2.0,2.0,2.0,3.0,2.0,2.0,3.0,6.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@parentSI,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@unitType,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/stmml:description,2.0,2.0,2.0,3.0,2.0,2.0,3.0,6.0
/eml:eml/dataset/@scope,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
/eml:eml/dataset/abstract,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/abstract/para,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/alternateIdentifier,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/associatedParty,5.0,5.0,5.0,5.0,5.0,5.0,5.0,7.0
/eml:eml/dataset/associatedParty/@scope,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
/eml:eml/dataset/associatedParty/electronicMailAddress,5.0,5.0,5.0,5.0,5.0,5.0,5.0,7.0
/eml:eml/dataset/associatedParty/individualName/givenName,8.0,8.0,8.0,8.0,8.0,8.0,8.0,10.0
