Concept,GCE_2005_EML,GCE_2006_EML,GCE_2007_EML,GCE_2008_EML,GCE_2009_EML,GCE_2010_EML,GCE_2011_EML,GCE_2012_EML,GCE_2013_EML,GCE_2014_EML,GCE_2015_EML,GCE_2016_EML,GCE_2017_EML,GCE_2018_EML
Resource Identifier,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Resource Title,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Author / Originator,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Metadata Contact,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Contributor Name,0.9286209286209286,0.9240506329113924,1.0,0.9090909090909092,1.0,0.873015873015873,1.0,0.8923076923076924,0.9285714285714286,1.0,0.9363920750782064,1.0,0.8695652173913043,1.0
Publisher,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Publication Date,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Resource Contact,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Abstract,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Keyword,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Resource Distribution,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Spatial Extent,0.9972279972279972,1.0,1.0,0.9696969696969696,1.0,1.0,1.0,1.0,0.7857142857142857,0.8723404255319149,0.9843587069864442,0.951219512195122,1.0,1.0
Taxonomic Extent,0.20512820512820512,0.20253164556962025,1.0,1.0,0.0,0.9047619047619048,0.0,0.8769230769230769,0.2619047619047619,0.6382978723404256,0.2930135557872784,0.36585365853658536,0.5652173913043478,0.25
Temporal Extent,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Maintenance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Resource Use Constraints,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Process Step,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Project Description,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Entity Type Definition,0.5904365904365905,0.16455696202531644,0.8387096774193549,0.7424242424242424,0.875,0.984126984126984,0.0,1.0,1.0,0.851063829787234,0.9885297184567258,1.0,1.0,1.0
Attribute Definition,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.851063829787234,0.9885297184567258,1.0,1.0,1.0
Resource Access Constraints,0.7117117117117117,0.17721518987341772,0.8387096774193549,0.8787878787878788,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Resource Format,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.851063829787234,0.9885297184567258,1.0,1.0,1.0
Attribute List,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.851063829787234,0.9885297184567258,1.0,1.0,1.0
Attribute Constraints,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Resource Quality Description,0.7117117117117117,0.17721518987341772,0.8387096774193549,0.8787878787878788,1.0,1.0,0.0,1.0,1.0,0.851063829787234,0.9885297184567258,1.0,1.0,1.0
