Concept,GCE_2005_EML,GCE_2006_EML,GCE_2007_EML,GCE_2008_EML,GCE_2009_EML,GCE_2010_EML,GCE_2011_EML,GCE_2012_EML,GCE_2013_EML,GCE_2014_EML,GCE_2015_EML,GCE_2016_EML,GCE_2017_EML,GCE_2018_EML
Resource Identifier,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Resource Title,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Author / Originator,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Metadata Contact,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Contributor Name,1.84,1.89,4.39,3.06,5.25,2.21,5.33,3.95,3.74,2.72,2.31,3.71,3.26,3.25
Publisher,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Publication Date,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Resource Contact,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.99,1.88,1.0,1.0
Abstract,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Keyword,17.41,16.52,38.52,31.92,28.12,29.67,15.33,34.38,24.5,31.4,24.04,30.95,35.65,17.75
Resource Distribution,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Spatial Extent,1.0,1.0,1.0,0.97,1.0,1.0,1.0,1.0,0.79,0.87,0.98,0.95,1.0,1.0
Taxonomic Extent,0.21,0.2,1.0,1.0,0.0,0.9,0.0,0.88,0.26,0.64,0.29,0.37,0.57,0.25
Temporal Extent,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Maintenance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Resource Use Constraints,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Process Step,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Project Description,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Entity Type Definition,0.59,0.16,0.84,0.74,0.88,0.98,0.0,1.0,1.36,1.06,1.18,4.2,2.61,1.0
Attribute Definition,22.09,20.83,15.55,17.98,47.0,20.6,0.0,24.71,28.62,19.21,36.43,126.15,25.65,18.5
Resource Access Constraints,0.71,0.18,0.84,0.88,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Resource Format,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.38,1.06,1.18,4.2,2.61,1.0
Attribute List,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.36,1.06,1.18,4.2,2.61,1.0
Attribute Constraints,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Resource Quality Description,0.71,0.18,0.84,0.88,1.0,1.0,0.0,1.0,1.36,1.06,1.18,4.2,2.61,1.0
