Concept,CDR_2010_EML,CDR_2011_EML,CDR_2012_EML,CDR_2015_EML,CDR_2017_EML,CDR_2018_EML
Resource Identifier,1.0,1.0,1.0,1.0,1.0,1.0
Resource Title,1.0,1.0,1.0,1.0,1.0,1.0
Author / Originator,1.0,1.0,1.0,1.0,1.0,1.0
Metadata Contact,1.0,1.0,1.0,1.0,1.0,1.0
Contributor Name,0.0,0.0,0.0,0.0,0.0,0.0
Publisher,0.0,0.0,0.0,0.0,0.0,0.0
Publication Date,1.0,1.0,1.0,1.0,1.0,1.0
Resource Contact,1.0,1.0,1.0,2.0,1.0,1.0
Abstract,1.0,1.0,1.0,1.0,1.0,1.0
Keyword,12.16,54.79,23.68,17.28,19.75,22.5
Resource Distribution,0.0,0.0,0.0,0.0,0.0,0.0
Spatial Extent,1.0,1.0,1.0,1.0,1.0,1.0
Taxonomic Extent,0.0,0.0,0.0,0.0,0.0,0.0
Temporal Extent,1.0,1.0,1.0,1.0,1.0,1.0
Maintenance,0.0,0.0,0.0,0.0,0.0,0.0
Resource Use Constraints,0.0,0.0,0.0,1.0,1.0,1.0
Process Step,0.22,0.21,0.28,0.92,0.97,0.99
Project Description,0.0,0.0,0.0,0.0,0.0,0.0
Entity Type Definition,0.0,0.0,0.0,1.0,1.0,1.0
Attribute Definition,11.79,14.59,11.28,11.74,11.85,11.77
Resource Access Constraints,1.0,1.0,1.0,1.0,1.0,1.0
Resource Format,1.0,1.0,1.0,1.0,1.0,1.0
Attribute List,1.0,1.0,1.0,1.0,1.0,1.0
Attribute Constraints,0.0,0.0,0.0,0.0,0.0,0.0
Resource Quality Description,0.0,0.0,0.0,0.0,0.0,0.0
