Concept,CDR_2010_EML,CDR_2011_EML,CDR_2012_EML,CDR_2015_EML,CDR_2017_EML,CDR_2018_EML
Resource Identifier,1.0,1.0,1.0,1.0,1.0,1.0
Resource Title,1.0,1.0,1.0,1.0,1.0,1.0
Author / Originator,1.0,1.0,1.0,1.0,1.0,1.0
Metadata Contact,1.0,1.0,1.0,1.0,1.0,1.0
Contributor Name,0.0,0.0,0.0,0.0,0.0,0.0
Publisher,0.0,0.0,0.0,0.0,0.0,0.0
Publication Date,1.0,1.0,1.0,1.0,1.0,1.0
Resource Contact,1.0,1.0,1.0,1.0,1.0,1.0
Abstract,1.0,1.0,1.0,1.0,1.0,1.0
Keyword,0.9215686274509804,0.8142857142857143,0.9846625766871164,0.9478021978021978,0.928125,0.9530075187969924
Resource Distribution,0.0,0.0,0.0,0.0,0.0,0.0
Spatial Extent,1.0,1.0,1.0,1.0,1.0,1.0
Taxonomic Extent,0.0,0.0,0.0,0.0,0.0,0.0
Temporal Extent,1.0,1.0,1.0,1.0,1.0,1.0
Maintenance,0.0,0.0,0.0,0.0,0.0,0.0
Resource Use Constraints,0.0,0.0,0.0,1.0,1.0,1.0
Process Step,0.215686274509804,0.21428571428571427,0.2791411042944785,0.9175824175824177,0.975,0.986842105263158
Project Description,0.0,0.0,0.0,0.0,0.0,0.0
Entity Type Definition,0.0,0.0,0.0,1.0,1.0,1.0
Attribute Definition,1.0,1.0,1.0,1.0,1.0,1.0
Resource Access Constraints,0.996078431372549,1.0,1.0,1.0,1.0,1.0
Resource Format,1.0,1.0,1.0,1.0,1.0,1.0
Attribute List,1.0,1.0,1.0,1.0,1.0,1.0
Attribute Constraints,0.0,0.0,0.0,0.0,0.0,0.0
Resource Quality Description,0.0,0.0,0.0,0.0,0.0,0.0
