XPath,153.25357.xml,153.26856.xml,168.1.xml,168.67179.xml,168.73413.xml,168.92076.xml,168.93066.xml,203.35121.xml
/eml:eml/@packageId,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
/eml:eml/@scope,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/@system,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
/eml:eml/@xsi:schemaLocation,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/access,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
/eml:eml/access/@authSystem,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/access/@order,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/access/@scope,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/access/allow/permission,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0
/eml:eml/access/allow/principal,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0
/eml:eml/additionalMetadata/additionalInfo,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/@xsi:schemaLocation,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@abbreviation,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@id,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@name,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@unitType,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
/eml:eml/additionalMetadata/unitList/unit/@id,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/@scope,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/abstract,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/abstract/para/literalLayout,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/abstract/section/para,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/access/@authSystem,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/access/@order,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/access/@scope,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/access/allow/permission,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/access/allow/principal,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/additionalInfo,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/additionalInfo/para/literalLayout,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/additionalInfo/section/para/literalLayout,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/additionalInfo/section/title,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/alternateIdentifier,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/associatedParty,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/associatedParty/address/administrativeArea,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
/eml:eml/dataset/associatedParty/address/city,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
/eml:eml/dataset/associatedParty/address/country,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0
/eml:eml/dataset/associatedParty/address/deliveryPoint,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/associatedParty/address/postalCode,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/associatedParty/electronicMailAddress,1.0,1.0,0.0,3.0,3.0,3.0,3.0,2.0
/eml:eml/dataset/associatedParty/individualName/givenName,1.0,1.0,0.0,3.0,3.0,3.0,3.0,2.0
/eml:eml/dataset/associatedParty/individualName/surName,1.0,1.0,0.0,3.0,3.0,3.0,3.0,2.0
/eml:eml/dataset/associatedParty/organizationName,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/associatedParty/phone,2.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0
/eml:eml/dataset/associatedParty/phone/@phonetype,2.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0
/eml:eml/dataset/associatedParty/role,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/associatedParty/userId,1.0,1.0,0.0,2.0,2.0,1.0,1.0,1.0
/eml:eml/dataset/associatedParty/userId/@directory,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/contact,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/contact/@scope,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/contact/address/@scope,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/contact/address/administrativeArea,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/contact/address/city,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/contact/address/country,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/contact/address/deliveryPoint,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/contact/address/postalCode,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/contact/electronicMailAddress,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/contact/individualName/givenName,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/contact/individualName/surName,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/contact/organizationName,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/contact/phone,0.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0
/eml:eml/dataset/contact/phone/@phonetype,0.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0
/eml:eml/dataset/contact/positionName,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/contact/userId,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/contact/userId/@directory,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/coverage/@scope,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/coverage/geographicCoverage,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/coverage/geographicCoverage/@scope,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/boundingAltitudes/altitudeMaximum,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/boundingAltitudes/altitudeMinimum,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/boundingAltitudes/altitudeUnits,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/eastBoundingCoordinate,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/northBoundingCoordinate,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/southBoundingCoordinate,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/westBoundingCoordinate,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/coverage/geographicCoverage/geographicDescription,1.0,1.0,6.0,9.0,9.0,9.0,9.0,1.0
/eml:eml/dataset/coverage/temporalCoverage,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/coverage/temporalCoverage/@scope,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/coverage/temporalCoverage/rangeOfDates/beginDate/calendarDate,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/coverage/temporalCoverage/rangeOfDates/endDate,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/coverage/temporalCoverage/rangeOfDates/endDate/calendarDate,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/creator,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/creator/@scope,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/creator/address/@scope,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/creator/address/administrativeArea,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/creator/address/city,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/creator/address/country,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
/eml:eml/dataset/creator/address/deliveryPoint,0.0,0.0,3.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/creator/address/postalCode,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/creator/electronicMailAddress,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/creator/individualName/givenName,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/creator/individualName/surName,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/creator/organizationName,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/creator/phone,0.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0
/eml:eml/dataset/creator/phone/@phonetype,0.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0
/eml:eml/dataset/creator/userId,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
/eml:eml/dataset/creator/userId/@directory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
/eml:eml/dataset/dataTable/@scope,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/dataTable/attributeList/attribute/@scope,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/dataTable/attributeList/attribute/attributeDefinition,18.0,18.0,6.0,0.0,9.0,9.0,9.0,7.0
/eml:eml/dataset/dataTable/attributeList/attribute/attributeLabel,18.0,18.0,6.0,0.0,9.0,9.0,9.0,7.0
/eml:eml/dataset/dataTable/attributeList/attribute/attributeName,18.0,18.0,6.0,0.0,9.0,9.0,9.0,7.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/dateTime/formatString,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/datetime/formatString,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
