Collection,Record,Abstract,Additional Attributes - Descriptive Keywords,Address,Alternate Resource Title,Ancillary Keyword,Author,Author / Originator,Bounding Box,Cited Resource Alternate Title,Cited Resource Identifier,Cited Resource Title,City,Contributor Role,Country,Data Dates,Easternmost Longitude,Email,First Name,Geographic Description,ISSN,Keyword,Keyword Type,Keyword Vocabulary,Keyword Vocabulary Citation,Last Name,Metadata Access Constraints,Metadata Contact,Metadata Dates,Metadata Identifier,Metadata Language,Metadata Modified Date,Metadata Standard Citation,Metadata Standard Version,Middle Name,Northernmost Latitude,Online Resource,Organization Name,Originating Organization,Party,Position Name,Postal_Code,Province or State,Publication Date,Publication Information,Publisher,Resource Access Constraints,Resource Contact,Resource Creation Date,Resource Creation/Revision Date,Resource Identifier,Resource Language,Resource Long Name,Resource Revision Date,Resource Title,Resource Type,Resource Use Constraints,Responsibility,Rights,Role,Southernmost Latitude,Spatial Extent,Standard Name Vocabulary,Temporal Extent,Theme Keyword,Topic Category,Unknown,Web Page,Westernmost Longitude
Library_ISO,20150305171408_0%5B008(p07_p10)0_00050_16%5D___eng.xml,1.0,9.0,0.0,0.0,9.0,1.0,1.0,1.0,0.0,1.0,3.0,1.0,1.0,1.0,0.0,1.0,2.0,4.0,1.0,0.0,10.0,1.0,2.0,2.0,4.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,4.0,1.0,0.0,5.0,1.0,11.0,4.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,11.0,1.0,5.0,1.0,1.0,2.0,1.0,1.0,1.0,83.0,0.0,1.0
Library_ISO,20150312190346_0%5B008(p07_p10)0_00050_16%5D___eng.xml,1.0,0.0,1.0,1.0,0.0,3.0,3.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,3.0,7.0,0.0,0.0,1.0,1.0,1.0,1.0,7.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,7.0,0.0,1.0,5.0,1.0,15.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,12.0,1.0,5.0,0.0,0.0,1.0,0.0,1.0,1.0,77.0,1.0,0.0
Library_ISO,20150320113229_02___english.xml,1.0,7.0,0.0,1.0,7.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,1.0,2.0,4.0,1.0,0.0,8.0,1.0,2.0,2.0,4.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,4.0,1.0,0.0,5.0,1.0,11.0,4.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,11.0,1.0,5.0,1.0,1.0,2.0,0.0,1.0,1.0,78.0,0.0,1.0
Library_ISO,20150320155624_0%5B008(p07_p10)0_00050_16%5D___eng.xml,1.0,9.0,0.0,1.0,9.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,0.0,1.0,2.0,4.0,1.0,0.0,10.0,1.0,2.0,2.0,4.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,4.0,1.0,0.0,5.0,1.0,11.0,4.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,11.0,1.0,5.0,1.0,2.0,2.0,1.0,1.0,1.0,86.0,0.0,1.0
Library_ISO,20150320160359_0%5B008(p07_p10)0_00050_16%5D___spa.xml,1.0,9.0,0.0,1.0,9.0,1.0,1.0,1.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,1.0,2.0,4.0,1.0,0.0,10.0,1.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,4.0,1.0,0.0,5.0,1.0,11.0,4.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,11.0,1.0,5.0,1.0,1.0,2.0,0.0,1.0,1.0,78.0,0.0,1.0
Library_ISO,bl_nle_1uuu_20150320161300_0_ocn19946898___eng.xml,1.0,5.0,0.0,1.0,5.0,1.0,1.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,2.0,4.0,0.0,0.0,6.0,1.0,2.0,2.0,4.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,4.0,0.0,0.0,5.0,1.0,11.0,4.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,11.0,1.0,5.0,0.0,0.0,2.0,0.0,1.0,1.0,76.0,0.0,0.0
Library_ISO,ch_pulea_1966_20150320154109_0_ocn122983602___eng.xml,1.0,7.0,0.0,0.0,7.0,1.0,1.0,1.0,0.0,1.0,3.0,0.0,1.0,0.0,1.0,1.0,2.0,4.0,1.0,0.0,8.0,1.0,2.0,2.0,4.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,4.0,1.0,0.0,5.0,1.0,11.0,4.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11.0,1.0,5.0,1.0,1.0,2.0,0.0,1.0,1.0,78.0,0.0,1.0
Library_ISO,dcu_mxf_1956_20150320114638_0_ocm34124669___eng.xml,1.0,6.0,0.0,0.0,6.0,1.0,1.0,0.0,0.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,2.0,4.0,0.0,0.0,7.0,1.0,2.0,2.0,4.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,4.0,0.0,0.0,5.0,1.0,11.0,4.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,11.0,1.0,5.0,0.0,0.0,2.0,0.0,1.0,1.0,76.0,0.0,0.0
Library_ISO,dcu_udi_1958_20150320113628_0_ocm01332775___eng.xml,1.0,7.0,0.0,0.0,7.0,1.0,1.0,0.0,0.0,1.0,3.0,1.0,2.0,0.0,1.0,0.0,2.0,4.0,0.0,1.0,8.0,1.0,2.0,2.0,4.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,4.0,0.0,0.0,6.0,1.0,12.0,4.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,13.0,1.0,6.0,0.0,0.0,2.0,0.0,1.0,1.0,81.0,0.0,0.0
Library_ISO,ke_dlc_19uu_20150320112153_0_ocm01791199___eng.xml,1.0,5.0,0.0,0.0,5.0,1.0,1.0,1.0,0.0,1.0,3.0,1.0,1.0,1.0,0.0,1.0,2.0,4.0,1.0,0.0,6.0,1.0,2.0,2.0,4.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,4.0,1.0,0.0,6.0,1.0,12.0,4.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,11.0,1.0,5.0,1.0,1.0,2.0,1.0,1.0,1.0,81.0,0.0,1.0
