XPath,PAL_2007_EML,PAL_2011_EML,PAL_2015_EML,PAL_2016_EML,PAL_2017_EML
/eml:eml/@packageId,1.0,1.0,1.0,1.0,1.0
/eml:eml/@scope,1.0,1.0,1.0,1.0,1.0
/eml:eml/@system,1.0,1.0,1.0,1.0,1.0
/eml:eml/@xsi:schemaLocation,1.0,1.0,1.0,1.0,1.0
/eml:eml/access/@authSystem,0.0,1.0,1.0,1.0,1.0
/eml:eml/access/@order,0.0,1.0,1.0,1.0,1.0
/eml:eml/access/@scope,0.0,1.0,1.0,1.0,1.0
/eml:eml/access/@system,0.0,0.0,1.0,1.0,1.0
/eml:eml/access/allow/permission,0.0,2.0,2.0,2.0,2.0
/eml:eml/access/allow/principal,0.0,2.0,2.0,2.0,2.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/@convention,0.0,1.0,0.0,0.0,0.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/@xsi:schemaLocation,0.0,1.0,0.98,0.89,0.91
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@abbreviation,0.0,5.24,6.44,5.86,5.54
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@constantToSI,0.0,5.24,2.75,2.45,2.33
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@id,0.0,5.24,6.44,5.86,5.54
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@multiplierToSI,0.0,5.24,2.75,2.45,2.33
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@name,0.0,5.24,6.44,5.86,5.54
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@parentSI,0.0,2.24,2.75,2.45,2.33
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@unitType,0.0,5.24,6.44,5.86,5.54
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/stmml:description,0.0,5.24,6.4,5.76,5.48
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unitType/@id,0.0,3.03,3.68,4.65,3.21
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unitType/@name,0.0,3.03,3.68,4.65,3.21
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unitType/stmml:dimension/@name,0.0,3.94,4.86,7.27,4.28
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unitType/stmml:dimension/@power,0.0,3.94,1.28,2.98,1.12
/eml:eml/dataset/@scope,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/abstract,0.0,0.0,0.0,0.65,0.77
/eml:eml/dataset/abstract/section/para,0.0,0.0,0.4,0.0,0.0
/eml:eml/dataset/access/@authSystem,1.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/access/@order,1.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/access/@scope,1.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/access/allow/permission,2.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/access/allow/principal,2.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/alternateIdentifier,0.0,0.0,0.0,1.0,2.0
/eml:eml/dataset/alternateIdentifier/@system,0.0,0.0,0.0,0.0,1.0
/eml:eml/dataset/associatedParty/electronicMailAddress,0.0,0.0,0.0,0.03,0.0
/eml:eml/dataset/associatedParty/individualName/givenName,0.0,0.0,0.0,0.03,0.0
/eml:eml/dataset/associatedParty/individualName/surName,0.0,0.0,0.0,0.03,0.0
/eml:eml/dataset/associatedParty/organizationName,0.0,0.0,0.0,0.03,0.0
/eml:eml/dataset/associatedParty/role,0.0,0.0,0.0,0.03,0.0
/eml:eml/dataset/contact/@scope,1.0,1.0,0.0,0.0,0.0
/eml:eml/dataset/contact/address/@scope,1.0,1.0,0.0,0.0,0.0
/eml:eml/dataset/contact/address/administrativeArea,1.0,1.0,2.0,1.0,0.0
/eml:eml/dataset/contact/address/city,1.0,1.0,2.0,1.0,0.0
/eml:eml/dataset/contact/address/country,1.0,1.0,2.0,1.0,0.0
/eml:eml/dataset/contact/address/deliveryPoint,4.0,4.0,3.0,2.0,0.0
/eml:eml/dataset/contact/address/postalCode,1.0,1.0,2.0,1.0,0.0
/eml:eml/dataset/contact/electronicMailAddress,0.0,0.0,1.0,2.0,1.0
/eml:eml/dataset/contact/individualName/givenName,0.0,1.0,0.0,0.0,0.0
/eml:eml/dataset/contact/individualName/surName,0.0,1.0,0.0,0.0,0.0
/eml:eml/dataset/contact/onlineUrl,0.0,0.0,1.0,1.0,0.0
/eml:eml/dataset/contact/organizationName,1.0,0.0,1.0,2.0,1.0
/eml:eml/dataset/contact/phone,0.0,0.0,2.0,2.0,0.0
/eml:eml/dataset/contact/phone/@phonetype,0.0,0.0,2.0,2.0,0.0
/eml:eml/dataset/contact/positionName,1.0,1.0,2.0,2.0,1.0
/eml:eml/dataset/coverage/temporalCoverage/rangeOfDates/beginDate/calendarDate,0.0,0.0,0.0,0.0,0.99
/eml:eml/dataset/coverage/temporalCoverage/rangeOfDates/endDate/calendarDate,0.0,0.0,0.0,0.0,0.99
/eml:eml/dataset/creator/@scope,1.0,1.0,0.0,0.0,0.0
/eml:eml/dataset/creator/address/@scope,0.0,0.0,1.0,0.0,0.0
/eml:eml/dataset/creator/address/administrativeArea,0.0,0.0,2.0,0.98,1.0
/eml:eml/dataset/creator/address/city,0.0,0.0,2.0,0.98,1.0
/eml:eml/dataset/creator/address/country,0.0,0.0,2.0,0.98,1.0
/eml:eml/dataset/creator/address/deliveryPoint,0.0,0.0,5.0,2.95,1.0
/eml:eml/dataset/creator/address/postalCode,0.0,0.0,2.0,0.98,1.0
/eml:eml/dataset/creator/electronicMailAddress,0.0,0.0,1.0,1.33,1.37
/eml:eml/dataset/creator/individualName/givenName,0.0,1.0,0.95,1.35,1.4
/eml:eml/dataset/creator/individualName/surName,0.0,1.0,0.95,1.35,1.4
/eml:eml/dataset/creator/onlineUrl,0.0,0.0,1.0,0.0,0.0
/eml:eml/dataset/creator/organizationName,1.0,1.0,1.0,2.17,2.24
/eml:eml/dataset/creator/positionName,1.0,1.0,0.05,0.0,0.0
/eml:eml/dataset/dataTable/@id,0.0,0.0,0.0,0.91,0.94
/eml:eml/dataset/dataTable/@scope,1.0,1.0,0.0,0.0,0.0
/eml:eml/dataset/dataTable/attributeList/attribute/@id,0.0,0.0,0.0,16.85,16.77
/eml:eml/dataset/dataTable/attributeList/attribute/@scope,19.0,11.85,0.0,0.0,0.0
/eml:eml/dataset/dataTable/attributeList/attribute/attributeDefinition,19.0,11.85,19.37,16.85,16.77
/eml:eml/dataset/dataTable/attributeList/attribute/attributeLabel,0.0,11.85,19.37,0.0,0.0
/eml:eml/dataset/dataTable/attributeList/attribute/attributeName,19.0,11.85,19.37,16.85,16.77
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/dateTime/formatString,0.0,1.39,1.21,0.68,0.78
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/datetime/formatString,2.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/interval/numericDomain/numberType,3.0,1.58,2.18,1.61,1.61
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/interval/unit/customUnit,0.0,1.58,2.18,1.61,1.61
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/interval/unit/standardUnit,3.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/nominal/nonNumericDomain/enumeratedDomain/@enforced,0.0,2.21,0.0,0.0,0.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/nominal/nonNumericDomain/enumeratedDomain/codeDefinition/code,0.0,0.0,0.0,15.2,11.06
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/nominal/nonNumericDomain/enumeratedDomain/codeDefinition/definition,0.0,0.0,0.0,15.2,11.06
