Concept,PAL_2007_EML,PAL_2011_EML,PAL_2015_EML,PAL_2016_EML,PAL_2017_EML
Resource Identifier,1.0,1.0,1.0,1.0,1.0
Resource Title,1.0,1.0,1.0,1.0,1.0
Author / Originator,1.0,1.0,2.0,2.33,2.4
Metadata Contact,0.0,0.0,0.0,1.0,1.0
Contributor Name,0.0,0.0,0.0,0.03,0.0
Publisher,0.0,1.0,1.0,1.0,1.0
Publication Date,0.0,0.0,1.0,1.0,1.0
Resource Contact,1.0,1.0,2.0,2.0,1.0
Abstract,0.0,0.0,0.4,1.0,1.0
Keyword,4.0,15.7,6.35,6.71,7.84
Resource Distribution,1.0,1.0,1.0,1.0,1.0
Spatial Extent,0.0,0.0,0.0,0.0,0.0
Taxonomic Extent,0.0,0.0,0.0,0.0,0.0
Temporal Extent,0.0,0.0,0.0,0.0,0.99
Maintenance,0.0,0.0,0.0,0.0,0.0
Resource Use Constraints,0.0,1.0,1.0,1.0,1.0
Process Step,1.0,1.0,0.65,0.71,0.73
Project Description,1.0,1.0,0.0,0.0,0.0
Entity Type Definition,0.0,0.0,1.0,0.91,0.94
Attribute Definition,19.0,11.85,19.37,16.85,16.77
Resource Access Constraints,0.0,1.0,1.0,1.0,1.0
Resource Format,0.0,0.0,1.0,0.91,0.94
Attribute List,1.0,1.0,1.0,0.91,0.94
Attribute Constraints,0.0,0.0,0.0,0.0,0.0
Resource Quality Description,0.0,0.0,0.0,0.0,0.0
