Concept,PAL_2007_EML,PAL_2011_EML,PAL_2015_EML,PAL_2016_EML,PAL_2017_EML
Resource Identifier,1.0,1.0,1.0,1.0,1.0
Resource Title,1.0,1.0,1.0,1.0,1.0
Author / Originator,1.0,1.0,1.0,1.0,1.0
Metadata Contact,0.0,0.0,0.0,1.0,1.0
Contributor Name,0.0,0.0,0.0,0.015151515151515154,0.0
Publisher,0.0,1.0,1.0,1.0,1.0
Publication Date,0.0,0.0,1.0,1.0,1.0
Resource Contact,1.0,1.0,1.0,1.0,1.0
Abstract,0.0,0.0,0.4035087719298245,1.0,1.0
Keyword,1.0,1.0,1.0,0.9696969696969696,0.9856115107913668
Resource Distribution,1.0,1.0,1.0,1.0,1.0
Spatial Extent,0.0,0.0,0.0,0.0,0.0
Taxonomic Extent,0.0,0.0,0.0,0.0,0.0
Temporal Extent,0.0,0.0,0.0,0.0,0.9856115107913668
Maintenance,0.0,0.0,0.0,0.0,0.0
Resource Use Constraints,0.0,1.0,1.0,1.0,1.0
Process Step,1.0,1.0,0.6491228070175439,0.7121212121212122,0.7266187050359713
Project Description,1.0,1.0,0.0,0.0,0.0
Entity Type Definition,0.0,0.0,1.0,0.9090909090909092,0.9352517985611508
Attribute Definition,1.0,1.0,1.0,0.9090909090909092,0.9352517985611508
Resource Access Constraints,0.0,1.0,1.0,1.0,1.0
Resource Format,0.0,0.0,1.0,0.9090909090909092,0.9352517985611508
Attribute List,1.0,1.0,1.0,0.9090909090909092,0.9352517985611508
Attribute Constraints,0.0,0.0,0.0,0.0,0.0
Resource Quality Description,0.0,0.0,0.0,0.0,0.0
