Concept,HFR_2006_EML,HFR_2007_EML,HFR_2008_EML,HFR_2009_EML,HFR_2010_EML,HFR_2011_EML,HFR_2012_EML,HFR_2013_EML,HFR_2014_EML,HFR_2015_EML,HFR_2016_EML,HFR_2017_EML,HFR_2018_EML
Resource Identifier,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Resource Title,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Author / Originator,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Metadata Contact,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Contributor Name,0.6166982922201139,0.7586206896551724,0.43333333333333335,0.6919831223628692,0.6551724137931034,0.5542168674698795,0.8717948717948718,0.9629629629629628,0.2,0.6645865834633385,0.753731343283582,0.6785714285714286,0.6516129032258065
Publisher,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Publication Date,0.9563567362428842,1.0,0.9333333333333332,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Resource Contact,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Abstract,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Keyword,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Resource Distribution,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Spatial Extent,0.9658444022770398,1.0,1.0,1.0,1.0,1.0,1.0,0.9629629629629628,1.0,0.9875195007800311,0.9925373134328358,1.0,0.9838709677419356
Taxonomic Extent,0.5218216318785579,0.7241379310344828,0.6666666666666666,0.5611814345991561,0.7586206896551724,0.6987951807228916,0.6666666666666666,0.7777777777777778,0.4,0.5881435257410297,0.5895522388059702,0.5535714285714286,0.5838709677419355
Temporal Extent,0.9544592030360532,1.0,1.0,1.0,1.0,1.0,1.0,0.9629629629629628,1.0,0.9859594383775352,0.9925373134328358,1.0,0.9806451612903224
Maintenance,0.413662239089184,0.5172413793103449,0.3,0.4008438818565401,0.8620689655172413,0.21686746987951808,0.2564102564102564,0.1111111111111111,0.2,0.4165366614664587,0.6417910447761194,0.625,0.022580645161290318
Resource Use Constraints,0.9563567362428842,1.0,0.9333333333333332,0.9915611814345991,1.0,1.0,1.0,1.0,1.0,0.998439937597504,1.0,1.0,1.0
Process Step,0.8159392789373814,0.8965517241379308,1.0,1.0,1.0,0.8313253012048193,1.0,1.0,1.0,0.984399375975039,1.0,1.0,1.0
Project Description,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Entity Type Definition,0.8140417457305503,0.9655172413793104,0.8333333333333334,0.9535864978902954,0.8620689655172413,0.9759036144578314,1.0,0.9629629629629628,1.0,0.9609984399375976,0.9925373134328358,0.9107142857142856,0.9258064516129032
Attribute Definition,0.8140417457305503,0.9655172413793104,0.8333333333333334,0.9535864978902954,0.8620689655172413,0.9759036144578314,1.0,0.9629629629629628,1.0,0.9609984399375976,0.9925373134328358,0.9107142857142856,0.9258064516129032
Resource Access Constraints,0.7419354838709677,0.7586206896551724,0.5666666666666667,0.8481012658227848,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Resource Format,0.8140417457305503,0.9655172413793104,0.8333333333333334,0.9535864978902954,0.8620689655172413,0.9759036144578314,1.0,0.9629629629629628,1.0,0.9609984399375976,0.9925373134328358,0.9107142857142856,0.9258064516129032
Attribute List,0.8140417457305503,0.9655172413793104,0.8333333333333334,0.9535864978902954,0.8620689655172413,0.9759036144578314,1.0,0.9629629629629628,1.0,0.9609984399375976,0.9925373134328358,0.9107142857142856,0.9258064516129032
Attribute Constraints,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Resource Quality Description,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
