Concept,HFR_2006_EML,HFR_2007_EML,HFR_2008_EML,HFR_2009_EML,HFR_2010_EML,HFR_2011_EML,HFR_2012_EML,HFR_2013_EML,HFR_2014_EML,HFR_2015_EML,HFR_2016_EML,HFR_2017_EML,HFR_2018_EML
Resource Identifier,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Resource Title,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Author / Originator,2.0,1.48,1.87,2.0,1.17,2.13,2.79,1.96,2.2,1.97,2.04,2.25,2.1
Metadata Contact,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Contributor Name,1.57,1.24,1.2,1.95,1.97,1.1,3.23,1.59,4.4,1.88,1.95,2.27,1.64
Publisher,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Publication Date,0.96,1.0,0.93,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Resource Contact,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.96,1.0,1.0
Abstract,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Keyword,8.31,7.45,8.33,8.36,10.41,9.59,9.41,9.07,9.2,10.51,10.86,11.59,10.69
Resource Distribution,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Spatial Extent,0.97,1.0,1.0,1.0,1.0,1.0,1.0,0.96,1.0,0.99,0.99,1.0,0.98
Taxonomic Extent,0.52,0.72,0.67,0.62,0.76,0.7,0.67,0.78,0.4,0.6,0.59,0.55,0.6
Temporal Extent,0.95,1.0,1.0,1.0,1.0,1.0,1.0,0.96,1.0,0.99,0.99,1.0,0.98
Maintenance,0.41,0.52,0.3,0.4,0.86,0.22,0.26,0.11,0.2,0.42,0.64,0.62,0.02
Resource Use Constraints,0.96,1.0,0.93,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Process Step,0.82,0.9,1.0,1.0,1.0,0.83,1.0,1.0,1.0,0.98,1.0,1.0,1.0
Project Description,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Entity Type Definition,3.01,1.9,1.8,4.87,4.1,2.61,4.69,2.89,1.6,3.68,4.57,4.64,3.2
Attribute Definition,48.18,41.55,35.4,69.33,58.34,19.0,32.95,60.07,16.8,53.75,89.12,84.2,52.18
Resource Access Constraints,0.74,0.76,0.57,0.85,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Resource Format,3.01,1.9,1.8,4.87,4.1,2.61,4.69,2.89,1.6,3.68,4.57,4.64,3.2
Attribute List,3.01,1.9,1.8,4.87,4.1,2.61,4.69,2.89,1.6,3.68,4.57,4.64,3.2
Attribute Constraints,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Resource Quality Description,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
