Concept,KBS_2005_EML,KBS_2006_EML,KBS_2010_EML,KBS_2011_EML,KBS_2012_EML,KBS_2013_EML,KBS_2014_EML,KBS_2015_EML,KBS_2016_EML,KBS_2017_EML,KBS_2018_EML
Resource Identifier,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Resource Title,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Author / Originator,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Metadata Contact,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Contributor Name,0.918819188191882,1.0,0.934131736526946,0.9285714285714286,0.6666666666666666,0.8947368421052632,0.5,1.0,0.9850746268656716,1.0,0.875
Publisher,0.3210332103321033,0.4375,0.5568862275449101,0.5714285714285714,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Publication Date,0.3210332103321033,0.4375,0.5568862275449101,0.5714285714285714,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Resource Contact,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Abstract,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,0.5,1.0,1.0,0.5,1.0
Keyword,0.8118081180811808,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Resource Distribution,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spatial Extent,0.1014760147601476,0.125,0.20359281437125748,0.35714285714285715,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Taxonomic Extent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Temporal Extent,0.4280442804428044,0.875,0.6407185628742516,0.21428571428571427,0.3333333333333333,0.21052631578947367,0.5,0.8571428571428571,0.8656716417910447,0.0,0.8333333333333334
Maintenance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Resource Use Constraints,0.07195571955719557,0.0625,0.1317365269461078,0.2857142857142857,0.3333333333333333,0.7368421052631579,1.0,0.8571428571428571,1.0,1.0,1.0
Process Step,0.2970479704797048,0.8125,0.2934131736526946,0.07142857142857142,0.6666666666666666,0.15789473684210525,0.0,0.5306122448979592,0.5970149253731343,0.0,0.5833333333333334
Project Description,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Entity Type Definition,0.7785977859778598,1.0,0.8263473053892215,0.9285714285714286,0.6666666666666666,0.631578947368421,0.5,1.0,0.9552238805970148,0.5,0.9583333333333334
Attribute Definition,0.7785977859778598,1.0,0.8263473053892215,0.9285714285714286,0.6666666666666666,0.6842105263157895,0.5,1.0,1.0,1.0,1.0
Resource Access Constraints,0.5793357933579336,0.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Resource Format,0.7785977859778598,1.0,0.8263473053892215,0.9285714285714286,0.6666666666666666,0.6842105263157895,0.5,1.0,1.0,1.0,1.0
Attribute List,0.7785977859778598,1.0,0.8263473053892215,0.9285714285714286,0.6666666666666666,0.6842105263157895,0.5,1.0,1.0,1.0,1.0
Attribute Constraints,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Resource Quality Description,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
