Concept,KBS_2005_EML,KBS_2006_EML,KBS_2010_EML,KBS_2011_EML,KBS_2012_EML,KBS_2013_EML,KBS_2014_EML,KBS_2015_EML,KBS_2016_EML,KBS_2017_EML,KBS_2018_EML
Resource Identifier,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Resource Title,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Author / Originator,1.11,1.0,1.11,1.0,1.33,1.0,1.0,1.12,1.04,1.0,1.42
Metadata Contact,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Contributor Name,2.28,2.88,2.68,1.07,2.67,1.26,0.5,2.82,2.63,2.0,1.75
Publisher,0.32,0.44,0.56,0.57,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Publication Date,0.32,0.44,0.56,0.57,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Resource Contact,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0
Abstract,1.0,1.0,1.0,1.0,0.67,1.0,0.5,1.0,1.0,0.5,1.0
Keyword,7.97,13.25,13.04,9.57,8.33,7.47,6.0,20.22,18.63,7.0,14.88
Resource Distribution,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spatial Extent,0.1,0.12,0.2,0.36,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Taxonomic Extent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Temporal Extent,0.43,0.88,0.64,0.21,0.33,0.21,0.5,0.86,0.87,0.0,0.83
Maintenance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Resource Use Constraints,0.07,0.06,0.13,0.29,0.33,0.74,1.0,0.86,1.0,1.0,1.0
Process Step,0.3,0.81,0.29,0.07,0.67,0.16,0.0,0.53,0.6,0.0,0.58
Project Description,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Entity Type Definition,2.52,3.0,2.02,1.21,0.67,1.58,0.5,3.14,3.16,0.5,3.38
Attribute Definition,22.37,20.12,14.99,5.14,9.0,17.63,3.0,27.82,30.58,10.0,25.42
Resource Access Constraints,0.58,0.88,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Resource Format,2.6,3.0,2.05,1.21,0.67,1.63,0.5,3.18,3.33,1.0,3.5
Attribute List,2.6,3.0,2.05,1.21,0.67,1.63,0.5,3.18,3.33,1.0,3.5
Attribute Constraints,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Resource Quality Description,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
