Concept,CCE_2007_EML,CCE_2010_EML,CCE_2015_EML,CCE_2016_EML,CCE_2017_EML,CCE_2018_EML
Resource Identifier,1.0,1.0,1.0,1.0,1.0,1.0
Resource Title,1.0,1.0,1.0,1.0,1.0,1.0
Author / Originator,1.0,1.0,2.17,2.07,2.03,2.0
Metadata Contact,0.0,0.0,0.0,1.0,1.0,1.0
Contributor Name,0.0,0.75,0.0,0.04,0.0,0.0
Publisher,0.5,1.0,1.0,1.0,1.0,1.0
Publication Date,0.0,0.0,1.0,1.0,1.0,1.0
Resource Contact,1.0,1.0,2.0,2.0,1.0,1.0
Abstract,0.5,0.62,1.0,1.0,1.0,1.0
Keyword,6.0,8.38,5.1,5.71,6.52,5.0
Resource Distribution,1.0,1.0,1.0,1.0,1.0,1.0
Spatial Extent,0.0,0.0,0.0,0.0,0.0,0.0
Taxonomic Extent,0.0,0.0,0.0,0.0,0.0,0.0
Temporal Extent,0.0,0.0,0.0,0.0,0.94,1.0
Maintenance,0.0,0.0,0.0,0.0,0.0,0.0
Resource Use Constraints,0.5,0.88,1.0,1.0,1.0,1.0
Process Step,1.0,1.0,0.97,0.91,0.89,1.0
Project Description,1.0,1.0,0.0,0.0,0.0,0.0
Entity Type Definition,0.0,0.0,1.0,1.1,1.06,1.0
Attribute Definition,6.0,7.38,20.9,19.43,18.88,15.75
Resource Access Constraints,0.5,0.75,1.0,1.0,1.0,1.0
Resource Format,0.0,0.0,1.0,1.1,1.06,1.0
Attribute List,1.0,1.0,1.0,1.1,1.06,1.0
Attribute Constraints,0.0,0.0,0.0,0.0,0.0,0.0
Resource Quality Description,0.0,0.0,0.0,0.0,0.0,0.0
