XPath,149.3.xml,15.2.xml,152.2.xml,162.1.xml,164.2.xml,17.1.xml,17.2.xml,170.3.xml
/eml:eml/@packageId,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
/eml:eml/@scope,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/@system,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
/eml:eml/@xsi:schemaLocation,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/access,5.0,5.0,5.0,0.0,5.0,0.0,5.0,5.0
/eml:eml/access/@authSystem,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
/eml:eml/access/@order,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
/eml:eml/access/@scope,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
/eml:eml/access/allow/permission,2.0,2.0,2.0,0.0,2.0,0.0,2.0,2.0
/eml:eml/access/allow/principal,2.0,2.0,2.0,0.0,2.0,0.0,2.0,2.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/@convention,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/@xsi:schemaLocation,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@abbreviation,2.0,2.0,2.0,0.0,1.0,0.0,10.0,2.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@constantToSI,2.0,2.0,1.0,0.0,2.0,0.0,3.0,2.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@id,2.0,2.0,2.0,0.0,2.0,0.0,13.0,2.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@multiplierToSI,2.0,2.0,1.0,0.0,2.0,0.0,5.0,2.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@name,2.0,2.0,2.0,0.0,2.0,0.0,13.0,2.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@parentSI,1.0,1.0,0.0,0.0,1.0,0.0,6.0,1.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@unitType,1.0,1.0,2.0,0.0,1.0,0.0,7.0,1.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/stmml:description,2.0,2.0,2.0,0.0,2.0,0.0,13.0,2.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unitType/@id,1.0,1.0,2.0,0.0,1.0,0.0,7.0,1.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unitType/@name,1.0,1.0,2.0,0.0,1.0,0.0,7.0,1.0
