XPath,13.2.xml,13.5.xml
/eml:eml/@packageId,0.0,1.0
/eml:eml/@scope,1.0,1.0
/eml:eml/@system,0.0,1.0
/eml:eml/@xsi:schemaLocation,1.0,1.0
/eml:eml/access,0.0,5.0
/eml:eml/access/@authSystem,0.0,1.0
/eml:eml/access/@order,0.0,1.0
/eml:eml/access/@scope,0.0,1.0
/eml:eml/access/allow/permission,0.0,2.0
/eml:eml/access/allow/principal,0.0,2.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/@convention,0.0,1.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/@xsi:schemaLocation,0.0,1.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@abbreviation,0.0,6.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@constantToSI,0.0,3.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@id,0.0,6.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@multiplierToSI,0.0,4.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@name,0.0,6.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@parentSI,0.0,3.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@unitType,0.0,3.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/stmml:description,0.0,6.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unitType/@id,0.0,3.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unitType/@name,0.0,3.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unitType/stmml:dimension/@name,0.0,3.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unitType/stmml:dimension/@power,0.0,2.0
/eml:eml/dataset/@scope,1.0,1.0
/eml:eml/dataset/abstract,0.0,1.0
/eml:eml/dataset/contact,0.0,1.0
/eml:eml/dataset/contact/@scope,1.0,1.0
/eml:eml/dataset/contact/address/@scope,1.0,1.0
/eml:eml/dataset/contact/address/administrativeArea,1.0,1.0
/eml:eml/dataset/contact/address/city,1.0,1.0
/eml:eml/dataset/contact/address/country,1.0,1.0
/eml:eml/dataset/contact/address/deliveryPoint,4.0,4.0
/eml:eml/dataset/contact/address/postalCode,1.0,1.0
/eml:eml/dataset/contact/individualName/givenName,0.0,1.0
/eml:eml/dataset/contact/individualName/surName,0.0,1.0
/eml:eml/dataset/contact/organizationName,1.0,0.0
/eml:eml/dataset/contact/positionName,1.0,1.0
/eml:eml/dataset/creator,0.0,2.0
/eml:eml/dataset/creator/@scope,1.0,1.0
/eml:eml/dataset/creator/individualName/surName,0.0,1.0
/eml:eml/dataset/creator/organizationName,0.0,2.0
/eml:eml/dataset/creator/positionName,1.0,1.0
/eml:eml/dataset/dataTable/@scope,1.0,1.0
/eml:eml/dataset/dataTable/attributeList,0.0,1.0
/eml:eml/dataset/dataTable/attributeList/attribute/@id,0.0,6.0
/eml:eml/dataset/dataTable/attributeList/attribute/@scope,1.0,1.0
/eml:eml/dataset/dataTable/attributeList/attribute/@system,0.0,1.0
/eml:eml/dataset/dataTable/attributeList/attribute/attributeDefinition,0.0,4.0
/eml:eml/dataset/dataTable/attributeList/attribute/attributeName,4.0,6.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/dateTime/formatString,0.0,1.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/datetime/formatString,1.0,0.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ratio/numericDomain/numberType,1.0,1.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ratio/unit/customUnit,0.0,3.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ratio/unit/standardUnit,3.0,0.0
/eml:eml/dataset/dataTable/attributeList/attribute/method/methodStep/description/section/para,9.0,0.0
/eml:eml/dataset/dataTable/attributeList/attribute/method/methodStep/description/section/title,3.0,0.0
/eml:eml/dataset/dataTable/attributeList/attribute/missingValueCode/code,2.0,3.0
/eml:eml/dataset/dataTable/attributeList/attribute/missingValueCode/codeExplanation,1.0,2.0
/eml:eml/dataset/dataTable/attributeList/attribute/storageType,2.0,0.0
/eml:eml/dataset/dataTable/attributeList/attribute/storageType/@typeSystem,1.0,1.0
/eml:eml/dataset/dataTable/entityName,1.0,1.0
/eml:eml/dataset/distribution,0.0,1.0
/eml:eml/dataset/distribution/@scope,1.0,1.0
/eml:eml/dataset/distribution/online/url,0.0,1.0
/eml:eml/dataset/distribution/online/url/@function,1.0,1.0
/eml:eml/dataset/intellectualRights,0.0,2.0
/eml:eml/dataset/intellectualRights/para,0.0,1.0
/eml:eml/dataset/keywordSet/keyword,0.0,11.0
/eml:eml/dataset/methods,0.0,2.0
/eml:eml/dataset/methods/methodStep/description/para,2.0,0.0
/eml:eml/dataset/methods/sampling/studyExtent/coverage/@scope,0.0,1.0
/eml:eml/dataset/methods/sampling/studyExtent/coverage/geographicCoverage/@scope,0.0,1.0
/eml:eml/dataset/methods/sampling/studyExtent/coverage/geographicCoverage/boundingCoordinates/eastBoundingCoordinate,0.0,1.0
/eml:eml/dataset/methods/sampling/studyExtent/coverage/geographicCoverage/boundingCoordinates/northBoundingCoordinate,0.0,1.0
/eml:eml/dataset/methods/sampling/studyExtent/coverage/geographicCoverage/boundingCoordinates/southBoundingCoordinate,0.0,1.0
/eml:eml/dataset/methods/sampling/studyExtent/coverage/geographicCoverage/boundingCoordinates/westBoundingCoordinate,0.0,1.0
/eml:eml/dataset/methods/sampling/studyExtent/coverage/geographicCoverage/datasetGPolygon/datasetGPolygonOuterGRing/gRingPoint/gRingLatitude,0.0,2.0
/eml:eml/dataset/methods/sampling/studyExtent/coverage/geographicCoverage/datasetGPolygon/datasetGPolygonOuterGRing/gRingPoint/gRingLongitude,0.0,2.0
/eml:eml/dataset/methods/sampling/studyExtent/coverage/geographicCoverage/geographicDescription,0.0,1.0
/eml:eml/dataset/project,0.0,2.0
/eml:eml/dataset/project/@scope,1.0,1.0
/eml:eml/dataset/project/abstract/para,1.0,1.0
/eml:eml/dataset/project/funding/para,1.0,1.0
/eml:eml/dataset/project/personnel/@scope,1.0,1.0
/eml:eml/dataset/project/personnel/address/@scope,0.0,1.0
/eml:eml/dataset/project/personnel/address/administrativeArea,0.0,1.0
/eml:eml/dataset/project/personnel/address/city,0.0,1.0
/eml:eml/dataset/project/personnel/address/country,0.0,1.0
/eml:eml/dataset/project/personnel/address/deliveryPoint,0.0,4.0
/eml:eml/dataset/project/personnel/address/postalCode,0.0,1.0
/eml:eml/dataset/project/personnel/individualName/givenName,0.0,2.0
/eml:eml/dataset/project/personnel/individualName/surName,0.0,2.0
/eml:eml/dataset/project/personnel/positionName,1.0,0.0
/eml:eml/dataset/project/personnel/role,1.0,2.0
/eml:eml/dataset/project/relatedProject/@scope,1.0,0.0
/eml:eml/dataset/project/relatedProject/abstract/para,1.0,0.0
/eml:eml/dataset/project/relatedProject/funding/para,1.0,0.0
/eml:eml/dataset/project/relatedProject/personnel/@scope,1.0,0.0
/eml:eml/dataset/project/relatedProject/personnel/positionName,1.0,0.0
/eml:eml/dataset/project/relatedProject/personnel/role,1.0,0.0
/eml:eml/dataset/project/relatedProject/title,1.0,0.0
/eml:eml/dataset/project/title,1.0,1.0
/eml:eml/dataset/publisher,0.0,1.0
/eml:eml/dataset/publisher/@scope,0.0,1.0
/eml:eml/dataset/publisher/onlineUrl,0.0,1.0
/eml:eml/dataset/publisher/organizationName,0.0,1.0
/eml:eml/dataset/shortName,1.0,1.0
/eml:eml/dataset/title,0.0,2.0
