Concept,CCE_2007_EML,CCE_2010_EML,CCE_2015_EML,CCE_2016_EML,CCE_2017_EML,CCE_2018_EML
Resource Identifier,1.0,1.0,1.0,1.0,1.0,1.0
Resource Title,1.0,1.0,1.0,1.0,1.0,1.0
Author / Originator,1.0,1.0,1.0,1.0,1.0,1.0
Metadata Contact,0.0,0.0,0.0,1.0,1.0,1.0
Contributor Name,0.0,0.375,0.0,0.029411764705882363,0.0,0.0
Publisher,0.5,1.0,1.0,1.0,1.0,1.0
Publication Date,0.0,0.0,1.0,1.0,1.0,1.0
Resource Contact,1.0,1.0,1.0,1.0,1.0,1.0
Abstract,0.5,0.625,1.0,1.0,1.0,1.0
Keyword,0.5,1.0,1.0,1.0,1.0,1.0
Resource Distribution,1.0,1.0,1.0,1.0,1.0,1.0
Spatial Extent,0.0,0.0,0.0,0.0,0.0,0.0
Taxonomic Extent,0.0,0.0,0.0,0.0,0.0,0.0
Temporal Extent,0.0,0.0,0.0,0.0,0.9431818181818182,1.0
Maintenance,0.0,0.0,0.0,0.0,0.0,0.0
Resource Use Constraints,0.5,0.875,1.0,1.0,1.0,1.0
Process Step,1.0,1.0,0.975,0.9117647058823528,0.8863636363636364,1.0
Project Description,1.0,1.0,0.0,0.0,0.0,0.0
Entity Type Definition,0.0,0.0,1.0,1.0,0.9772727272727272,1.0
Attribute Definition,1.0,1.0,1.0,1.0,0.9772727272727272,1.0
Resource Access Constraints,0.5,0.75,1.0,1.0,1.0,1.0
Resource Format,0.0,0.0,1.0,1.0,0.9772727272727272,1.0
Attribute List,1.0,1.0,1.0,1.0,0.9772727272727272,1.0
Attribute Constraints,0.0,0.0,0.0,0.0,0.0,0.0
Resource Quality Description,0.0,0.0,0.0,0.0,0.0,0.0
