XPath,SGS_2011_EML,SGS_2012_EML,SGS_2013_EML,SGS_2015_EML
/eml:eml/@packageId,1.0,1.0,1.0,1.0
/eml:eml/@scope,1.0,1.0,1.0,1.0
/eml:eml/@system,1.0,1.0,1.0,1.0
/eml:eml/@xsi:schemaLocation,1.0,1.0,1.0,1.0
/eml:eml/access/@authSystem,0.92,1.0,1.0,1.0
/eml:eml/access/@order,0.92,1.0,1.0,1.0
/eml:eml/access/@scope,0.92,1.0,1.0,1.0
/eml:eml/access/@system,0.0,0.0,0.0,1.0
/eml:eml/access/allow/permission,1.85,2.0,2.0,2.0
/eml:eml/access/allow/principal,1.85,2.0,2.0,2.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/@xsi:schemaLocation,0.46,0.65,1.0,0.83
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@abbreviation,68.65,97.17,160.0,134.84
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@constantToSI,43.65,61.79,102.0,85.16
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@id,68.65,97.17,160.0,134.84
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@multiplierToSI,43.65,61.79,102.0,85.16
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@name,68.65,97.17,160.0,134.84
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@parentSI,43.65,61.79,102.0,85.16
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@unitType,68.65,97.17,160.0,134.84
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/stmml:description,66.66,94.35,155.0,129.79
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unitType/@id,20.73,29.33,48.0,40.07
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unitType/@name,20.73,29.33,48.0,40.07
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unitType/stmml:dimension/@name,44.2,62.54,102.0,85.16
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unitType/stmml:dimension/@power,26.83,37.96,62.0,51.76
/eml:eml/additionalMetadata/metadata/unitList/unit/@abbreviation,0.0,0.02,0.0,0.0
/eml:eml/additionalMetadata/metadata/unitList/unit/@id,0.0,0.02,0.0,0.0
/eml:eml/additionalMetadata/metadata/unitList/unit/@unitType,0.0,0.02,0.0,0.0
/eml:eml/additionalMetadata/metadata/unitList/unit/description,0.0,0.02,0.0,0.0
/eml:eml/dataset/@scope,0.34,0.17,0.0,0.0
/eml:eml/dataset/abstract/para,0.0,0.0,0.0,0.02
/eml:eml/dataset/abstract/para/literalLayout,0.98,1.0,1.0,0.0
/eml:eml/dataset/abstract/section/para,0.0,0.0,0.0,1.96
/eml:eml/dataset/access/@authSystem,0.08,0.0,0.0,0.0
/eml:eml/dataset/access/@order,0.08,0.0,0.0,0.0
/eml:eml/dataset/access/@scope,0.08,0.0,0.0,0.0
/eml:eml/dataset/access/allow/permission,0.15,0.0,0.0,0.0
/eml:eml/dataset/access/allow/principal,0.15,0.0,0.0,0.0
/eml:eml/dataset/additionalInfo/section/para,0.0,0.0,0.0,0.01
/eml:eml/dataset/additionalInfo/section/para/literalLayout,0.12,0.0,0.0,0.0
/eml:eml/dataset/additionalInfo/section/title,0.12,0.0,0.0,0.01
/eml:eml/dataset/alternateIdentifier,1.0,1.0,1.0,1.0
/eml:eml/dataset/contact/@scope,0.34,0.17,0.0,0.0
/eml:eml/dataset/contact/address/@scope,0.34,0.17,0.0,0.0
/eml:eml/dataset/contact/address/administrativeArea,1.0,1.0,1.0,2.01
/eml:eml/dataset/contact/address/city,1.0,1.0,1.0,2.01
/eml:eml/dataset/contact/address/country,1.0,1.0,1.0,2.01
/eml:eml/dataset/contact/address/deliveryPoint,1.0,1.0,1.0,3.01
/eml:eml/dataset/contact/address/postalCode,1.0,1.0,1.0,2.01
/eml:eml/dataset/contact/electronicMailAddress,1.0,1.0,1.0,2.01
/eml:eml/dataset/contact/individualName/givenName,1.0,1.0,1.0,1.01
/eml:eml/dataset/contact/individualName/surName,1.0,1.0,1.0,1.01
/eml:eml/dataset/contact/onlineUrl,0.37,0.4,0.67,1.41
/eml:eml/dataset/contact/organizationName,1.0,1.0,1.0,2.01
/eml:eml/dataset/contact/phone,1.0,1.0,1.0,3.01
/eml:eml/dataset/contact/phone/@phonetype,1.0,1.0,1.0,3.01
/eml:eml/dataset/contact/positionName,0.85,0.96,1.0,1.79
/eml:eml/dataset/coverage/@scope,0.34,0.17,0.0,0.0
/eml:eml/dataset/coverage/geographicCoverage/@scope,0.34,0.17,0.0,0.0
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/eastBoundingCoordinate,1.0,1.0,1.0,1.0
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/northBoundingCoordinate,1.0,1.0,1.0,1.0
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/southBoundingCoordinate,1.0,1.0,1.0,1.0
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/westBoundingCoordinate,1.0,1.0,1.0,1.0
/eml:eml/dataset/coverage/geographicCoverage/geographicDescription,1.0,1.0,1.0,1.0
