XPath,105.16.xml,116.14.xml,178.2.xml
/eml:eml/@packageId,1.0,1.0,1.0
/eml:eml/@scope,1.0,1.0,1.0
/eml:eml/@system,1.0,1.0,1.0
/eml:eml/@xsi:schemaLocation,1.0,1.0,1.0
/eml:eml/access,5.0,5.0,5.0
/eml:eml/access/@authSystem,1.0,1.0,1.0
/eml:eml/access/@order,1.0,1.0,1.0
/eml:eml/access/@scope,1.0,1.0,1.0
/eml:eml/access/allow/permission,2.0,2.0,2.0
/eml:eml/access/allow/principal,2.0,2.0,2.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/@xsi:schemaLocation,1.0,1.0,1.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@abbreviation,114.0,114.0,114.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@constantToSI,3.0,3.0,3.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@id,160.0,160.0,160.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@multiplierToSI,53.0,53.0,53.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@name,160.0,160.0,160.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@parentSI,27.0,27.0,27.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@unitType,49.0,49.0,49.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/stmml:description,149.0,149.0,149.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unitType/@id,48.0,48.0,48.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unitType/@name,48.0,48.0,48.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unitType/stmml:dimension/@name,9.0,9.0,9.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unitType/stmml:dimension/@power,5.0,5.0,5.0
/eml:eml/dataset/abstract,1.0,1.0,1.0
/eml:eml/dataset/abstract/para/literalLayout,1.0,1.0,1.0
/eml:eml/dataset/alternateIdentifier,1.0,1.0,1.0
/eml:eml/dataset/contact,1.0,1.0,1.0
/eml:eml/dataset/contact/address/administrativeArea,1.0,1.0,1.0
/eml:eml/dataset/contact/address/city,1.0,1.0,1.0
/eml:eml/dataset/contact/address/country,1.0,1.0,1.0
/eml:eml/dataset/contact/address/deliveryPoint,1.0,1.0,1.0
/eml:eml/dataset/contact/address/postalCode,1.0,1.0,1.0
/eml:eml/dataset/contact/electronicMailAddress,1.0,1.0,1.0
/eml:eml/dataset/contact/individualName/givenName,1.0,1.0,1.0
/eml:eml/dataset/contact/individualName/surName,1.0,1.0,1.0
/eml:eml/dataset/contact/onlineUrl,1.0,1.0,0.0
/eml:eml/dataset/contact/organizationName,1.0,1.0,1.0
/eml:eml/dataset/contact/phone,1.0,1.0,1.0
/eml:eml/dataset/contact/phone/@phonetype,1.0,1.0,1.0
/eml:eml/dataset/contact/positionName,1.0,1.0,1.0
/eml:eml/dataset/coverage/geographicCoverage,1.0,1.0,1.0
