Concept,SGS_2011_EML,SGS_2012_EML,SGS_2013_EML,SGS_2015_EML
Resource Identifier,1.0,1.0,1.0,1.0
Resource Title,1.0,1.0,1.0,1.0
Author / Originator,1.0,1.0,1.0,1.0
Metadata Contact,1.0,1.0,1.0,1.0
Contributor Name,0.0,0.0,0.0,0.0
Publisher,1.0,1.0,1.0,1.0
Publication Date,1.0,1.0,1.0,1.0
Resource Contact,1.0,1.0,1.0,1.0
Abstract,0.9825581395348836,1.0,1.0,1.0
Keyword,1.0,1.0,1.0,1.0
Resource Distribution,1.0,1.0,1.0,1.0
Spatial Extent,1.0,1.0,1.0,1.0
Taxonomic Extent,0.0,0.0,0.0,0.0
Temporal Extent,1.0,1.0,1.0,1.0
Maintenance,0.0,0.0,0.0,0.0
Resource Use Constraints,1.0,1.0,1.0,1.0
Process Step,0.7994186046511628,0.875,1.0,0.9174311926605504
Project Description,0.0,0.0,0.0,1.0
Entity Type Definition,0.0,0.0,0.0,0.0
Attribute Definition,0.7529069767441859,0.9791666666666666,1.0,0.8348623853211009
Resource Access Constraints,0.9244186046511628,1.0,1.0,1.0
Resource Format,0.6947674418604651,0.9791666666666666,1.0,0.8348623853211009
Attribute List,0.7529069767441859,0.9791666666666666,1.0,0.8348623853211009
Attribute Constraints,0.0,0.0,0.0,0.0
Resource Quality Description,0.0,0.0,0.0,0.0
