Concept,MCR_2006_EML,MCR_2007_EML,MCR_2010_EML,MCR_2011_EML,MCR_2012_EML,MCR_2013_EML,MCR_2014_EML,MCR_2015_EML,MCR_2016_EML,MCR_2017_EML
Resource Identifier,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Resource Title,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Author / Originator,2.0,2.19,2.0,2.17,2.51,2.4,2.44,2.27,2.12,3.33
Metadata Contact,0.0,0.0,0.0,0.0,0.05,0.4,0.0,0.12,0.0,0.0
Contributor Name,0.0,1.57,0.0,1.96,1.49,1.4,0.78,1.7,1.96,0.67
Publisher,0.12,0.18,0.67,0.29,0.97,0.8,1.0,0.88,0.88,1.0
Publication Date,0.38,0.49,1.0,0.88,1.0,1.0,1.0,1.0,1.0,1.0
Resource Contact,1.0,1.0,1.0,1.0,1.11,1.0,1.0,1.94,2.02,1.0
Abstract,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Keyword,13.62,21.82,26.67,25.04,26.95,21.0,28.89,25.0,28.67,23.33
Resource Distribution,0.12,0.32,0.33,0.42,0.19,0.8,0.89,0.91,0.67,1.0
Spatial Extent,1.12,2.09,1.67,3.54,3.16,3.0,2.44,2.97,3.69,3.44
Taxonomic Extent,0.0,0.51,1.0,0.38,0.57,0.2,1.11,0.64,0.52,1.44
Temporal Extent,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.12,1.0,1.22
Maintenance,0.88,0.81,0.67,1.0,0.95,1.0,0.56,0.76,0.94,0.44
Resource Use Constraints,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Process Step,0.5,0.94,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Project Description,1.0,1.0,1.0,1.0,0.97,0.7,1.0,0.97,1.0,1.0
Entity Type Definition,3.0,1.92,3.33,3.17,2.38,4.6,4.44,3.67,2.6,2.11
Attribute Definition,29.38,78.94,150.33,32.71,26.95,60.4,35.22,91.7,77.08,20.67
Resource Access Constraints,0.75,0.82,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Resource Format,3.0,1.94,3.33,3.17,2.38,4.6,4.44,3.67,2.6,2.11
Attribute List,3.0,1.94,3.33,3.17,2.38,4.6,4.44,3.67,2.6,2.11
Attribute Constraints,0.0,0.2,0.0,1.46,1.11,1.2,0.11,0.73,0.71,0.11
Resource Quality Description,0.0,0.22,0.0,0.17,0.0,0.0,0.0,0.36,0.23,0.0
