Concept,NTL_2005_EML,NTL_2006_EML,NTL_2007_EML,NTL_2008_EML,NTL_2009_EML,NTL_2010_EML,NTL_2012_EML,NTL_2013_EML,NTL_2014_EML,NTL_2015_EML,NTL_2016_EML,NTL_2017_EML,NTL_2018_EML
Resource Identifier,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Resource Title,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Author / Originator,2.27,1.88,3.55,3.17,1.32,3.12,3.51,2.89,2.2,3.08,2.95,4.11,4.0
Metadata Contact,0.35,0.72,0.5,0.57,0.5,0.65,1.0,1.0,1.0,0.99,0.71,0.47,1.0
Contributor Name,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.11,0.1,0.23,0.17,0.35,0.0
Publisher,0.98,0.84,0.82,1.0,1.0,1.0,1.0,1.0,1.0,0.99,0.66,0.0,0.0
Publication Date,0.35,0.91,0.47,0.57,0.5,0.65,1.0,0.79,0.9,0.98,1.0,1.0,1.0
Resource Contact,1.96,1.89,2.0,1.92,2.0,1.65,1.89,1.63,2.8,2.92,2.9,2.12,2.0
Abstract,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Keyword,5.78,8.8,4.26,11.82,7.12,6.18,7.7,18.21,37.5,12.96,9.93,14.01,16.0
Resource Distribution,0.35,0.77,0.5,0.57,0.5,0.65,1.0,1.0,1.0,0.99,1.0,1.0,1.0
Spatial Extent,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.39,6.28,4.29
Taxonomic Extent,0.19,0.01,0.13,0.12,0.12,0.06,0.0,0.0,0.0,0.0,0.0,0.01,0.0
Temporal Extent,1.0,1.37,0.97,1.0,1.0,1.0,1.0,1.0,1.0,1.13,1.0,1.0,1.0
Maintenance,0.34,0.72,0.5,0.56,0.5,0.65,0.89,1.0,1.0,0.94,0.73,0.6,0.86
Resource Use Constraints,0.35,0.72,0.5,0.57,0.5,0.65,1.0,1.0,1.0,0.99,1.0,1.0,1.0
Process Step,0.34,0.72,0.5,0.53,0.5,0.65,0.97,1.0,1.0,0.98,0.95,0.97,1.0
Project Description,0.35,0.03,0.5,0.5,0.47,0.65,0.7,0.84,0.5,0.72,0.63,0.4,0.0
Entity Type Definition,1.36,0.28,3.05,1.47,1.03,6.0,1.16,1.11,0.7,1.39,1.98,2.06,2.86
Attribute Definition,27.73,4.26,48.74,21.24,14.85,69.18,12.95,42.26,5.8,23.15,36.05,24.56,51.57
Resource Access Constraints,0.35,0.72,0.5,0.57,0.5,0.65,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Resource Format,1.37,0.28,3.11,1.48,1.03,6.12,1.19,1.68,0.7,1.43,1.98,2.06,2.86
Attribute List,1.37,0.28,3.11,1.48,1.03,6.12,1.19,1.68,0.7,1.43,1.98,2.06,2.86
Attribute Constraints,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Resource Quality Description,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0
