Concept,ARC_2005_EML,ARC_2006_EML,ARC_2007_EML,ARC_2008_EML,ARC_2009_EML,ARC_2010_EML,ARC_2011_EML,ARC_2012_EML,ARC_2013_EML,ARC_2014_EML,ARC_2015_EML,ARC_2016_EML,ARC_2017_EML,ARC_2018_EML
Resource Identifier,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Resource Title,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Author / Originator,1.1,1.03,2.42,37.29,1.1,1.63,1.94,1.13,1.5,2.47,1.49,1.46,1.5,1.72
Metadata Contact,0.46,0.47,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.89,0.92
Contributor Name,1.91,7.78,2.28,1.0,2.33,1.56,0.29,3.36,2.3,2.18,2.33,2.26,2.22,1.96
Publisher,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.89,0.9
Publication Date,0.46,0.42,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Resource Contact,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0
Abstract,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Keyword,5.91,5.55,9.1,4.71,6.5,17.13,5.89,7.97,7.61,7.65,8.63,5.32,9.28,9.04
Resource Distribution,1.0,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Spatial Extent,1.42,3.31,5.95,1.0,1.14,13.31,1.32,4.45,7.06,2.59,6.92,3.99,2.0,15.37
Taxonomic Extent,0.1,0.02,0.07,0.0,0.31,0.21,0.13,0.71,0.14,0.28,0.2,0.01,0.67,0.32
Temporal Extent,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Maintenance,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,0.94,1.0
Resource Use Constraints,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Process Step,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Project Description,0.46,0.47,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06,0.61,0.99
Entity Type Definition,0.49,0.63,1.0,1.0,1.0,1.0,1.0,1.0,1.01,1.0,1.01,1.05,1.0,1.07
Attribute Definition,11.16,16.11,14.81,28.71,27.5,13.35,47.95,28.84,17.14,70.63,24.97,37.66,29.72,22.66
Resource Access Constraints,0.33,0.33,0.46,0.43,0.62,0.77,0.92,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Resource Format,0.49,0.63,1.0,1.0,1.0,1.0,1.0,1.0,1.01,1.0,1.01,1.05,1.0,1.07
Attribute List,0.49,0.63,1.0,1.0,1.0,1.0,1.0,1.0,1.01,1.0,1.01,1.05,1.0,1.07
Attribute Constraints,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Resource Quality Description,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0
