Concept,AND_2005_EML,AND_2006_EML,AND_2007_EML,AND_2008_EML,AND_2009_EML,AND_2010_EML,AND_2011_EML,AND_2012_EML,AND_2013_EML,AND_2014_EML,AND_2015_EML,AND_2016_EML,AND_2017_EML,AND_2018_EML
Resource Identifier,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Resource Title,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Author / Originator,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Metadata Contact,0.2391304347826087,1.0,0.7368421052631579,1.0,1.0,0.0,1.0,1.0,0.3333333333333333,0.08333333333333333,0.5121951219512195,0.3636363636363637,0.3333333333333333,1.0
Contributor Name,0.9565217391304348,1.0,0.8947368421052632,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Publisher,0.48369565217391297,0.5714285714285714,0.6842105263157895,0.3333333333333333,0.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Publication Date,0.9456521739130436,1.0,0.8947368421052632,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Resource Contact,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Abstract,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9166666666666666,1.0,1.0,1.0,1.0
Keyword,1.0,1.0,0.8421052631578947,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.9918699186991872,1.0,1.0,1.0
Resource Distribution,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Spatial Extent,0.8260869565217391,0.7142857142857143,0.9473684210526316,1.0,1.0,0.0,0.6666666666666666,1.0,0.5555555555555556,0.8333333333333334,0.8861788617886179,0.9090909090909092,0.8666666666666667,1.0
Taxonomic Extent,0.2554347826086957,0.0,0.3684210526315789,0.3333333333333333,0.0,0.0,0.0,1.0,0.3333333333333333,0.08333333333333333,0.4227642276422765,0.42424242424242425,0.4,1.0
Temporal Extent,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Maintenance,0.48369565217391297,0.5714285714285714,0.6842105263157895,0.3333333333333333,0.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Resource Use Constraints,0.9728260869565216,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8888888888888888,0.4166666666666667,0.902439024390244,0.8484848484848485,0.8666666666666667,1.0
Process Step,0.8315217391304348,0.8571428571428571,0.6842105263157895,1.0,1.0,0.0,1.0,1.0,1.0,0.9166666666666666,0.9918699186991872,1.0,1.0,1.0
Project Description,0.8423913043478259,0.7142857142857143,0.7368421052631579,1.0,1.0,1.0,0.3333333333333333,1.0,0.7777777777777778,0.9166666666666666,0.934959349593496,1.0,0.9333333333333332,1.0
Entity Type Definition,0.7934782608695652,0.9285714285714286,0.631578947368421,1.0,1.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.4166666666666667,0.6422764227642277,0.9696969696969696,1.0,1.0
Attribute Definition,0.9239130434782608,0.9285714285714286,0.6842105263157895,1.0,1.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.4166666666666667,0.6422764227642277,0.9696969696969696,1.0,1.0
Resource Access Constraints,0.48369565217391297,0.5714285714285714,0.6842105263157895,0.3333333333333333,0.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Resource Format,0.44565217391304346,0.5,0.4736842105263158,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.4166666666666667,0.6422764227642277,0.9696969696969696,1.0,1.0
Attribute List,0.9239130434782608,0.9285714285714286,0.6842105263157895,1.0,1.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.4166666666666667,0.6422764227642277,0.9696969696969696,1.0,1.0
Attribute Constraints,0.29347826086956524,0.35714285714285715,0.3157894736842105,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.4166666666666667,0.6422764227642277,0.9696969696969696,1.0,1.0
Resource Quality Description,0.02717391304347826,0.07142857142857142,0.10526315789473684,0.0,0.0,0.0,0.0,1.0,0.1111111111111111,0.0,0.05691056910569105,0.12121212121212124,0.26666666666666666,1.0
