XPath,2742.10.xml,3113.7.xml,3140.9.xml,3162.7.xml,3176.8.xml,3178.10.xml,3178.8.xml,3178.9.xml,3194.7.xml,3222.26.xml,3238.6.xml,3254.8.xml,3980.14.xml,4020.22.xml,4021.20.xml,4021.21.xml,4022.18.xml,4022.19.xml,4027.12.xml,4028.6.xml,4030.7.xml,4032.10.xml,4041.11.xml,4053.9.xml,4055.12.xml,4057.9.xml,4341.25.xml,4528.10.xml,4550.4.xml,5034.4.xml,5178.3.xml,5276.4.xml,5357.3.xml
/eml:eml/@packageId,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/@system,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/@xsi:schemaLocation,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/access,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
/eml:eml/access/@authSystem,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/access/@order,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/access/@scope,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/access/@system,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/access/allow/permission,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
/eml:eml/access/allow/principal,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@abbreviation,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@id,20.0,13.0,9.0,3.0,1.0,4.0,3.0,4.0,6.0,15.0,0.0,3.0,6.0,3.0,7.0,7.0,8.0,7.0,4.0,5.0,4.0,11.0,12.0,17.0,7.0,9.0,8.0,6.0,3.0,2.0,3.0,5.0,3.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@multiplierToSI,11.0,10.0,7.0,2.0,1.0,3.0,3.0,3.0,3.0,7.0,0.0,2.0,4.0,3.0,5.0,5.0,6.0,5.0,2.0,3.0,3.0,8.0,5.0,9.0,6.0,6.0,7.0,4.0,3.0,2.0,2.0,3.0,3.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@name,20.0,12.0,9.0,3.0,1.0,4.0,3.0,4.0,6.0,15.0,0.0,3.0,6.0,3.0,7.0,7.0,8.0,7.0,4.0,5.0,4.0,11.0,12.0,17.0,7.0,9.0,8.0,6.0,3.0,2.0,3.0,5.0,3.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@parentSI,12.0,9.0,6.0,3.0,1.0,4.0,3.0,4.0,6.0,10.0,0.0,3.0,5.0,3.0,7.0,7.0,7.0,7.0,3.0,5.0,3.0,7.0,8.0,9.0,5.0,6.0,6.0,5.0,2.0,2.0,3.0,5.0,3.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@unitType,12.0,9.0,6.0,3.0,1.0,4.0,3.0,4.0,6.0,10.0,0.0,3.0,5.0,3.0,7.0,7.0,7.0,7.0,3.0,5.0,3.0,7.0,8.0,9.0,5.0,6.0,6.0,5.0,2.0,2.0,3.0,5.0,3.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/stmml:description,20.0,13.0,9.0,3.0,1.0,4.0,3.0,4.0,6.0,15.0,0.0,3.0,6.0,3.0,7.0,7.0,8.0,7.0,4.0,5.0,4.0,11.0,12.0,17.0,7.0,9.0,8.0,6.0,3.0,2.0,3.0,5.0,3.0
/eml:eml/dataset/abstract,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/abstract/para,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0
