XPath,3254.9.xml,3976.1.xml,4019.14.xml,4543.4.xml,4780.3.xml,4781.2.xml,4792.3.xml,5216.2.xml,5216.4.xml,5275.3.xml,5370.3.xml,5453.2.xml,5482.2.xml,5482.3.xml,5513.2.xml
/eml:eml/@packageId,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/@system,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/@xsi:schemaLocation,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/access,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
/eml:eml/access/@authSystem,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/access/@order,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/access/@scope,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/access/@system,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/access/allow/permission,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
/eml:eml/access/allow/principal,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@abbreviation,3.0,5.0,3.0,2.0,4.0,1.0,2.0,3.0,3.0,5.0,2.0,8.0,5.0,5.0,5.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@id,3.0,5.0,3.0,2.0,4.0,1.0,2.0,3.0,3.0,5.0,2.0,8.0,5.0,5.0,5.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@multiplierToSI,2.0,4.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,8.0,4.0,4.0,2.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@name,3.0,4.0,2.0,2.0,4.0,1.0,2.0,3.0,3.0,5.0,2.0,8.0,5.0,5.0,5.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@parentSI,3.0,3.0,2.0,2.0,4.0,1.0,2.0,3.0,3.0,4.0,2.0,6.0,4.0,4.0,5.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@unitType,3.0,3.0,2.0,2.0,4.0,1.0,2.0,3.0,3.0,4.0,2.0,6.0,4.0,4.0,5.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/stmml:description,3.0,5.0,3.0,2.0,4.0,1.0,2.0,3.0,3.0,5.0,2.0,8.0,5.0,5.0,5.0
/eml:eml/dataset/abstract,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/abstract/para,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/additionalInfo,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/additionalInfo/para,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/additionalInfo/para/emphasis,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/alternateIdentifier,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0
/eml:eml/dataset/alternateIdentifier/@system,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
/eml:eml/dataset/associatedParty,6.0,3.0,9.0,6.0,3.0,1.0,5.0,5.0,5.0,2.0,3.0,4.0,7.0,7.0,4.0
/eml:eml/dataset/associatedParty/address/administrativeArea,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
/eml:eml/dataset/associatedParty/address/city,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0
/eml:eml/dataset/associatedParty/address/country,1.0,2.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/associatedParty/address/deliveryPoint,4.0,2.0,7.0,3.0,1.0,1.0,4.0,4.0,4.0,2.0,3.0,1.0,6.0,6.0,2.0
/eml:eml/dataset/associatedParty/address/postalCode,3.0,2.0,5.0,2.0,2.0,1.0,3.0,3.0,3.0,1.0,2.0,1.0,3.0,3.0,1.0
/eml:eml/dataset/associatedParty/electronicMailAddress,4.0,3.0,10.0,4.0,3.0,1.0,8.0,6.0,6.0,2.0,4.0,3.0,8.0,8.0,3.0
/eml:eml/dataset/associatedParty/individualName/givenName,7.0,6.0,14.0,7.0,5.0,2.0,7.0,9.0,9.0,3.0,6.0,8.0,10.0,10.0,5.0
/eml:eml/dataset/associatedParty/individualName/surName,4.0,3.0,9.0,5.0,3.0,1.0,5.0,5.0,5.0,2.0,3.0,4.0,7.0,7.0,4.0
/eml:eml/dataset/associatedParty/onlineUrl,2.0,0.0,2.0,1.0,0.0,1.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/associatedParty/phone,4.0,1.0,8.0,3.0,2.0,1.0,5.0,4.0,4.0,2.0,3.0,1.0,7.0,7.0,1.0
/eml:eml/dataset/associatedParty/role,5.0,2.0,6.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0
/eml:eml/dataset/associatedParty/userId,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
/eml:eml/dataset/associatedParty/userId/@directory,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
/eml:eml/dataset/contact,2.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/contact/address/administrativeArea,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/contact/address/city,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/contact/address/country,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/contact/address/deliveryPoint,4.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
