XPath,4789.6.xml,5028.1.xml,5215.11.xml,5215.5.xml,5316.3.xml,5316.4.xml,5319.3.xml,5328.1.xml,5328.2.xml,5329.1.xml,5331.1.xml,5345.2.xml
/eml:eml/@packageId,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/@system,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/@xsi:schemaLocation,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/access,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
/eml:eml/access/@authSystem,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/access/@order,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/access/@scope,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/access/allow/permission,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
/eml:eml/access/allow/principal,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@id,6.0,0.0,15.0,15.0,0.0,0.0,2.0,0.0,0.0,2.0,8.0,0.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@multiplierToSI,3.0,0.0,7.0,7.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,0.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@name,6.0,0.0,15.0,15.0,0.0,0.0,2.0,0.0,0.0,2.0,8.0,0.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@parentSI,6.0,0.0,9.0,9.0,0.0,0.0,2.0,0.0,0.0,2.0,7.0,0.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@unitType,6.0,0.0,10.0,10.0,0.0,0.0,2.0,0.0,0.0,2.0,7.0,0.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/stmml:description,6.0,0.0,15.0,15.0,0.0,0.0,2.0,0.0,0.0,2.0,8.0,0.0
/eml:eml/dataset/abstract,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
/eml:eml/dataset/abstract/para,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0
/eml:eml/dataset/additionalInfo,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
/eml:eml/dataset/additionalInfo/para,2.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,8.0,0.0
/eml:eml/dataset/additionalInfo/para/emphasis,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0
/eml:eml/dataset/alternateIdentifier,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/associatedParty,2.0,1.0,17.0,17.0,1.0,2.0,3.0,1.0,1.0,3.0,3.0,2.0
/eml:eml/dataset/associatedParty/address/administrativeArea,1.0,1.0,3.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0
/eml:eml/dataset/associatedParty/address/city,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0
