Concept,Collection,ConceptCount,RecordCount,AverageOccurrencePerRecord,CollectionOccurrence%
Number of Records,2012_EML,3,3,1.00,100.00%
Abstract,2012_EML,3,3,1.00,100.00%
Attribute Constraints,2012_EML,8,2,2.67,66.67%
Attribute Definition,2012_EML,50,2,16.67,66.67%
Attribute List,2012_EML,4,2,1.33,66.67%
Author,2012_EML,6,3,2.00,100.00%
Author / Originator,2012_EML,6,3,2.00,100.00%
Author / Originator Email Address,2012_EML,3,3,1.00,100.00%
Author / Originator World Wide Web Address,2012_EML,5,3,1.67,100.00%
Bounding Box,2012_EML,3,3,1.00,100.00%
Contributor Name,2012_EML,12,3,4.00,100.00%
Contributor Role,2012_EML,6,3,2.00,100.00%
Distribution Format,2012_EML,2,2,0.67,66.67%
Easternmost Longitude,2012_EML,3,3,1.00,100.00%
End Time,2012_EML,3,3,1.00,100.00%
Entity Type Definition,2012_EML,4,2,1.33,66.67%
Entity and Attribute Information,2012_EML,4,2,1.33,66.67%
Instrument,2012_EML,3,3,1.00,100.00%
Keyword,2012_EML,63,3,21.00,100.00%
Keyword Type,2012_EML,6,3,2.00,100.00%
Keyword Vocabulary,2012_EML,3,3,1.00,100.00%
Maintenance,2012_EML,3,3,1.00,100.00%
Metadata Access Constraints,2012_EML,3,3,1.00,100.00%
Metadata Contact,2012_EML,4,3,1.33,100.00%
Metadata Modified Date,2012_EML,5,3,1.67,100.00%
Metadata Use Constraints,2012_EML,3,3,1.00,100.00%
Northernmost Latitude,2012_EML,3,3,1.00,100.00%
Organization Name,2012_EML,6,3,2.00,100.00%
Originating Organization,2012_EML,3,3,1.00,100.00%
Process Step,2012_EML,3,3,1.00,100.00%
Project Description,2012_EML,3,3,1.00,100.00%
Project Name,2012_EML,5,3,1.67,100.00%
Publication Date,2012_EML,3,3,1.00,100.00%
Publisher,2012_EML,3,3,1.00,100.00%
Publisher E-Mail,2012_EML,3,3,1.00,100.00%
Publisher URL,2012_EML,3,3,1.00,100.00%
Purpose,2012_EML,3,3,1.00,100.00%
Related Resource Citation,2012_EML,3,3,1.00,100.00%
Resource Access Constraints,2012_EML,3,3,1.00,100.00%
Resource Contact,2012_EML,4,3,1.33,100.00%
Resource Creation/Revision Date,2012_EML,8,3,2.67,100.00%
Resource Distribution,2012_EML,3,3,1.00,100.00%
Resource Format,2012_EML,2,2,0.67,66.67%
Resource Identifier,2012_EML,3,3,1.00,100.00%
Resource Identifier Type,2012_EML,3,3,1.00,100.00%
Resource Lineage,2012_EML,3,3,1.00,100.00%
Resource Long Name,2012_EML,3,3,1.00,100.00%
Resource Quality Description,2012_EML,3,3,1.00,100.00%
Resource Revision Date,2012_EML,5,3,1.67,100.00%
Resource Status,2012_EML,3,3,1.00,100.00%
Resource Title,2012_EML,3,3,1.00,100.00%
Resource Update Frequency,2012_EML,3,3,1.00,100.00%
Resource Use Constraints,2012_EML,3,3,1.00,100.00%
Resource on-line Link,2012_EML,3,3,1.00,100.00%
Rights,2012_EML,3,3,1.00,100.00%
Security Constraints,2012_EML,3,3,1.00,100.00%
Southernmost Latitude,2012_EML,3,3,1.00,100.00%
Spatial Extent,2012_EML,3,3,1.00,100.00%
Start Time,2012_EML,3,3,1.00,100.00%
Supplemental Information,2012_EML,3,3,1.00,100.00%
Taxonomic Extent,2012_EML,3,3,1.00,100.00%
Temporal Extent,2012_EML,3,3,1.00,100.00%
Unknown,2012_EML,1392,3,464.00,100.00%
Vertical Maximum,2012_EML,3,3,1.00,100.00%
Vertical Minimum,2012_EML,3,3,1.00,100.00%
Vertical Resolution,2012_EML,3,3,1.00,100.00%
Westernmost Longitude,2012_EML,3,3,1.00,100.00%
