Concept,PIE_2005_EML,PIE_2007_EML,PIE_2009_EML,PIE_2010_EML,PIE_2011_EML,PIE_2012_EML,PIE_2013_EML,PIE_2014_EML,PIE_2015_EML,PIE_2016_EML,PIE_2017_EML,PIE_2018_EML
Resource Identifier,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Resource Title,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Author / Originator,1.34,1.74,1.4,1.0,1.67,1.43,1.14,1.03,1.33,1.39,1.55,2.37
Metadata Contact,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Contributor Name,3.09,1.11,2.2,0.81,1.33,1.92,1.77,0.12,1.2,2.87,1.42,0.53
Publisher,1.0,1.0,1.0,1.0,1.0,1.0,0.98,1.0,1.0,1.0,1.0,1.0
Publication Date,0.81,0.97,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Resource Contact,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.99,1.0,1.05
Abstract,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Keyword,10.8,11.52,11.2,9.62,12.0,9.52,10.58,10.23,10.66,10.91,11.82,11.05
Resource Distribution,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Spatial Extent,2.98,1.38,1.0,1.62,2.0,2.04,1.92,1.0,2.1,3.26,1.76,1.42
Taxonomic Extent,0.09,0.53,1.0,0.12,0.33,0.55,0.2,0.0,0.34,0.39,0.67,0.05
Temporal Extent,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Maintenance,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Resource Use Constraints,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Process Step,0.98,1.0,1.0,1.0,1.0,1.0,1.0,0.13,0.77,1.0,1.0,1.0
Project Description,0.82,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05
Entity Type Definition,0.82,1.0,1.0,1.0,1.0,1.0,0.38,0.13,0.68,1.0,1.0,0.95
Attribute Definition,11.45,9.53,8.8,9.44,11.0,11.71,6.98,1.5,7.96,13.29,15.61,22.05
Resource Access Constraints,0.52,0.67,0.8,0.75,0.67,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Resource Format,0.82,1.0,1.0,1.0,1.0,1.0,0.38,0.13,0.68,1.0,1.0,0.95
Attribute List,0.82,1.0,1.0,1.0,1.0,1.0,0.38,0.13,0.68,1.0,1.0,0.95
Attribute Constraints,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Resource Quality Description,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
