Concept,PIE_2005_EML,PIE_2007_EML,PIE_2009_EML,PIE_2010_EML,PIE_2011_EML,PIE_2012_EML,PIE_2013_EML,PIE_2014_EML,PIE_2015_EML,PIE_2016_EML,PIE_2017_EML,PIE_2018_EML
Resource Identifier,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Resource Title,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Author / Originator,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Metadata Contact,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Contributor Name,0.968944099378882,0.8924731182795699,1.0,0.625,1.0,0.9333333333333332,0.9076923076923076,0.11666666666666667,0.6800947867298578,0.9285714285714286,0.8939393939393939,0.42105263157894735
Publisher,1.0,1.0,1.0,1.0,1.0,1.0,0.9846153846153848,1.0,0.9976303317535544,1.0,1.0,1.0
Publication Date,0.8136645962732919,0.967741935483871,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Resource Contact,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Abstract,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Keyword,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Resource Distribution,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Spatial Extent,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Taxonomic Extent,0.09316770186335403,0.5268817204301075,1.0,0.125,0.3333333333333333,0.5466666666666666,0.2,0.0,0.3412322274881517,0.3928571428571429,0.6666666666666666,0.05263157894736842
Temporal Extent,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Maintenance,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Resource Use Constraints,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Process Step,0.9751552795031057,1.0,1.0,1.0,1.0,1.0,1.0,0.13333333333333333,0.7725118483412322,1.0,1.0,1.0
Project Description,0.8198757763975155,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05263157894736842
Entity Type Definition,0.8198757763975155,1.0,1.0,1.0,1.0,1.0,0.38461538461538464,0.13333333333333333,0.6777251184834123,1.0,1.0,0.9473684210526316
Attribute Definition,0.8198757763975155,1.0,1.0,1.0,1.0,1.0,0.38461538461538464,0.13333333333333333,0.6777251184834123,1.0,1.0,0.9473684210526316
Resource Access Constraints,0.5217391304347826,0.6666666666666666,0.8,0.75,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Resource Format,0.8198757763975155,1.0,1.0,1.0,1.0,1.0,0.38461538461538464,0.13333333333333333,0.6777251184834123,1.0,1.0,0.9473684210526316
Attribute List,0.8198757763975155,1.0,1.0,1.0,1.0,1.0,0.38461538461538464,0.13333333333333333,0.6777251184834123,1.0,1.0,0.9473684210526316
Attribute Constraints,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Resource Quality Description,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
