XPath,179.1.xml,179.2.xml,179.3.xml
/eml:eml/@packageId,0.0,1.0,1.0
/eml:eml/@scope,1.0,0.0,0.0
/eml:eml/@system,0.0,1.0,1.0
/eml:eml/@xsi:schemaLocation,1.0,1.0,1.0
/eml:eml/access,0.0,5.0,5.0
/eml:eml/access/@authSystem,0.0,1.0,1.0
/eml:eml/access/@order,0.0,1.0,1.0
/eml:eml/access/@scope,0.0,1.0,1.0
/eml:eml/access/allow/permission,0.0,2.0,2.0
/eml:eml/access/allow/principal,0.0,2.0,2.0
/eml:eml/additionalMetadata/metadata/unitList/unit/@id,0.0,4.0,4.0
/eml:eml/additionalMetadata/metadata/unitList/unit/@multiplierToSI,0.0,2.0,2.0
/eml:eml/additionalMetadata/metadata/unitList/unit/@name,0.0,4.0,4.0
/eml:eml/additionalMetadata/metadata/unitList/unit/@parentSI,0.0,1.0,1.0
/eml:eml/additionalMetadata/metadata/unitList/unit/@unitType,0.0,4.0,4.0
/eml:eml/additionalMetadata/metadata/unitList/unit/description,0.0,4.0,4.0
/eml:eml/additionalMetadata/unitList/unit/@id,1.0,0.0,0.0
/eml:eml/additionalMetadata/unitList/unit/@multiplierToSI,1.0,0.0,0.0
/eml:eml/additionalMetadata/unitList/unit/@name,1.0,0.0,0.0
/eml:eml/additionalMetadata/unitList/unit/@parentSI,1.0,0.0,0.0
/eml:eml/additionalMetadata/unitList/unit/@unitType,1.0,0.0,0.0
/eml:eml/additionalMetadata/unitList/unit/description,1.0,0.0,0.0
/eml:eml/dataset/@scope,1.0,0.0,0.0
/eml:eml/dataset/abstract,0.0,1.0,1.0
/eml:eml/dataset/abstract/para,1.0,1.0,1.0
/eml:eml/dataset/access/@authSystem,1.0,0.0,0.0
/eml:eml/dataset/access/@order,1.0,0.0,0.0
/eml:eml/dataset/access/@scope,1.0,0.0,0.0
/eml:eml/dataset/access/allow/permission,2.0,0.0,0.0
/eml:eml/dataset/access/allow/principal,2.0,0.0,0.0
/eml:eml/dataset/alternateIdentifier,1.0,1.0,1.0
/eml:eml/dataset/associatedParty,0.0,1.0,1.0
/eml:eml/dataset/associatedParty/@scope,1.0,0.0,0.0
/eml:eml/dataset/associatedParty/individualName/givenName,2.0,1.0,1.0
/eml:eml/dataset/associatedParty/individualName/surName,2.0,1.0,1.0
/eml:eml/dataset/associatedParty/role,0.0,1.0,1.0
/eml:eml/dataset/contact,0.0,1.0,1.0
/eml:eml/dataset/contact/@id,1.0,1.0,1.0
/eml:eml/dataset/contact/@scope,1.0,0.0,0.0
/eml:eml/dataset/contact/@system,1.0,1.0,1.0
/eml:eml/dataset/contact/address/@scope,1.0,0.0,0.0
/eml:eml/dataset/contact/address/administrativeArea,1.0,1.0,1.0
/eml:eml/dataset/contact/address/city,1.0,1.0,1.0
/eml:eml/dataset/contact/address/country,1.0,1.0,1.0
/eml:eml/dataset/contact/address/deliveryPoint,3.0,3.0,3.0
/eml:eml/dataset/contact/address/postalCode,1.0,1.0,1.0
/eml:eml/dataset/contact/electronicMailAddress,1.0,1.0,1.0
/eml:eml/dataset/contact/onlineUrl,1.0,1.0,1.0
/eml:eml/dataset/contact/phone,1.0,1.0,1.0
/eml:eml/dataset/contact/phone/@phonetype,1.0,1.0,1.0
/eml:eml/dataset/contact/positionName,1.0,1.0,1.0
/eml:eml/dataset/coverage/@scope,1.0,0.0,0.0
/eml:eml/dataset/coverage/geographicCoverage,0.0,1.0,1.0
/eml:eml/dataset/coverage/geographicCoverage/@id,4.0,1.0,1.0
/eml:eml/dataset/coverage/geographicCoverage/@scope,1.0,0.0,0.0
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates,0.0,1.0,1.0
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/eastBoundingCoordinate,0.0,1.0,1.0
