XPath,159.5.xml,159.6.xml,160.3.xml,161.1.xml,161.3.xml
/eml:eml/@packageId,1.0,1.0,1.0,0.0,1.0
/eml:eml/@scope,0.0,0.0,0.0,1.0,0.0
/eml:eml/@system,1.0,1.0,1.0,0.0,1.0
/eml:eml/@xsi:schemaLocation,1.0,1.0,1.0,1.0,1.0
/eml:eml/access,5.0,5.0,5.0,0.0,5.0
/eml:eml/access/@authSystem,1.0,1.0,1.0,0.0,1.0
/eml:eml/access/@order,1.0,1.0,1.0,0.0,1.0
/eml:eml/access/@scope,1.0,1.0,1.0,0.0,1.0
/eml:eml/access/allow/permission,2.0,2.0,2.0,0.0,2.0
/eml:eml/access/allow/principal,2.0,2.0,2.0,0.0,2.0
/eml:eml/additionalMetadata/metadata/unitList/unit/@id,1.0,1.0,0.0,0.0,0.0
/eml:eml/additionalMetadata/metadata/unitList/unit/@multiplierToSI,1.0,1.0,0.0,0.0,0.0
/eml:eml/additionalMetadata/metadata/unitList/unit/@name,1.0,1.0,0.0,0.0,0.0
/eml:eml/additionalMetadata/metadata/unitList/unit/@parentSI,1.0,1.0,0.0,0.0,0.0
/eml:eml/additionalMetadata/metadata/unitList/unit/@unitType,1.0,1.0,0.0,0.0,0.0
/eml:eml/additionalMetadata/metadata/unitList/unit/description,1.0,1.0,0.0,0.0,0.0
/eml:eml/dataset/@scope,0.0,0.0,0.0,1.0,0.0
/eml:eml/dataset/abstract,1.0,1.0,1.0,0.0,1.0
/eml:eml/dataset/abstract/para,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/access/@authSystem,0.0,0.0,0.0,1.0,0.0
/eml:eml/dataset/access/@order,0.0,0.0,0.0,1.0,0.0
/eml:eml/dataset/access/@scope,0.0,0.0,0.0,1.0,0.0
/eml:eml/dataset/access/allow/permission,0.0,0.0,0.0,2.0,0.0
/eml:eml/dataset/access/allow/principal,0.0,0.0,0.0,2.0,0.0
/eml:eml/dataset/alternateIdentifier,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/associatedParty,3.0,3.0,2.0,0.0,2.0
/eml:eml/dataset/associatedParty/@scope,0.0,0.0,0.0,1.0,0.0
/eml:eml/dataset/associatedParty/individualName/givenName,3.0,3.0,2.0,1.0,2.0
/eml:eml/dataset/associatedParty/individualName/surName,3.0,3.0,2.0,1.0,2.0
/eml:eml/dataset/associatedParty/role,1.0,1.0,1.0,0.0,1.0
/eml:eml/dataset/contact,1.0,1.0,1.0,0.0,1.0
/eml:eml/dataset/contact/@id,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/contact/@scope,0.0,0.0,0.0,1.0,0.0
/eml:eml/dataset/contact/@system,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/contact/address/@scope,0.0,0.0,0.0,1.0,0.0
/eml:eml/dataset/contact/address/administrativeArea,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/contact/address/city,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/contact/address/country,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/contact/address/deliveryPoint,3.0,3.0,3.0,3.0,3.0
/eml:eml/dataset/contact/address/postalCode,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/contact/electronicMailAddress,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/contact/onlineUrl,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/contact/phone,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/contact/phone/@phonetype,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/contact/positionName,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/coverage/@scope,0.0,0.0,0.0,1.0,0.0
/eml:eml/dataset/coverage/geographicCoverage,1.0,1.0,1.0,0.0,1.0
/eml:eml/dataset/coverage/geographicCoverage/@id,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/coverage/geographicCoverage/@scope,0.0,0.0,0.0,1.0,0.0
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates,1.0,1.0,1.0,0.0,1.0
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/eastBoundingCoordinate,1.0,1.0,1.0,0.0,1.0
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/northBoundingCoordinate,1.0,1.0,1.0,0.0,1.0
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/southBoundingCoordinate,1.0,1.0,1.0,0.0,1.0
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/westBoundingCoordinate,1.0,1.0,1.0,0.0,1.0
/eml:eml/dataset/coverage/geographicCoverage/geographicDescription,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/coverage/taxonomicCoverage,1.0,1.0,1.0,0.0,1.0
/eml:eml/dataset/coverage/taxonomicCoverage/@scope,0.0,0.0,0.0,1.0,0.0
/eml:eml/dataset/coverage/taxonomicCoverage/generalTaxonomicCoverage,1.0,1.0,1.0,0.0,1.0
/eml:eml/dataset/coverage/taxonomicCoverage/taxonomicClassification/taxonRankName,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/coverage/taxonomicCoverage/taxonomicClassification/taxonRankValue,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/coverage/taxonomicCoverage/taxonomicClassification/taxonomicClassification/taxonRankName,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/coverage/taxonomicCoverage/taxonomicClassification/taxonomicClassification/taxonRankValue,1.0,1.0,1.0,2.0,2.0
/eml:eml/dataset/coverage/temporalCoverage,1.0,1.0,1.0,0.0,1.0
/eml:eml/dataset/coverage/temporalCoverage/@scope,0.0,0.0,0.0,1.0,0.0
/eml:eml/dataset/coverage/temporalCoverage/rangeOfDates/beginDate/calendarDate,1.0,1.0,1.0,0.0,1.0
/eml:eml/dataset/coverage/temporalCoverage/rangeOfDates/endDate,1.0,1.0,1.0,0.0,1.0
/eml:eml/dataset/coverage/temporalCoverage/rangeOfDates/endDate/calendarDate,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/creator,4.0,4.0,2.0,0.0,2.0
/eml:eml/dataset/creator/@id,2.0,2.0,1.0,0.0,1.0
/eml:eml/dataset/creator/@scope,0.0,0.0,0.0,1.0,0.0
/eml:eml/dataset/creator/address/@scope,0.0,0.0,0.0,1.0,0.0
/eml:eml/dataset/creator/address/administrativeArea,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/creator/address/city,2.0,2.0,1.0,1.0,1.0
/eml:eml/dataset/creator/address/country,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/creator/address/deliveryPoint,4.0,4.0,3.0,3.0,3.0
/eml:eml/dataset/creator/address/postalCode,2.0,2.0,1.0,1.0,1.0
/eml:eml/dataset/creator/individualName/givenName,2.0,2.0,1.0,1.0,1.0
/eml:eml/dataset/creator/individualName/surName,2.0,2.0,1.0,1.0,1.0
/eml:eml/dataset/creator/organizationName,2.0,2.0,2.0,0.0,2.0
/eml:eml/dataset/dataTable/@scope,0.0,0.0,0.0,1.0,0.0
/eml:eml/dataset/dataTable/attributeList,1.0,1.0,1.0,0.0,1.0
/eml:eml/dataset/dataTable/attributeList/attribute/@id,5.0,5.0,13.0,8.0,13.0
/eml:eml/dataset/dataTable/attributeList/attribute/@scope,0.0,0.0,0.0,1.0,0.0
/eml:eml/dataset/dataTable/attributeList/attribute/attributeDefinition,5.0,5.0,8.0,0.0,8.0
/eml:eml/dataset/dataTable/attributeList/attribute/attributeLabel,5.0,5.0,13.0,8.0,13.0
/eml:eml/dataset/dataTable/attributeList/attribute/attributeName,5.0,5.0,13.0,8.0,13.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/dateTime/formatString,1.0,1.0,1.0,0.0,1.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/datetime/formatString,0.0,0.0,0.0,1.0,0.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/nominal/nonNumericDomain/enumeratedDomain/codeDefinition/code,4.0,4.0,0.0,0.0,0.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/nominal/nonNumericDomain/enumeratedDomain/codeDefinition/definition,4.0,4.0,0.0,0.0,0.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/nominal/nonNumericDomain/textDomain/definition,1.0,1.0,0.0,1.0,0.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ratio/numericDomain/numberType,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ratio/unit/customUnit,1.0,1.0,0.0,0.0,0.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ratio/unit/standardUnit,0.0,0.0,1.0,1.0,1.0
/eml:eml/dataset/dataTable/attributeList/attribute/missingValueCode/code,1.0,1.0,1.0,0.0,1.0
/eml:eml/dataset/dataTable/attributeList/attribute/missingValueCode/codeExplanation,1.0,1.0,1.0,0.0,1.0
/eml:eml/dataset/dataTable/entityDescription,2.0,2.0,2.0,0.0,2.0
