XPath,116.4.xml,116.5.xml,117.3.xml,118.1.xml,121.2.xml,122.1.xml,123.3.xml,124.2.xml,125.2.xml
/eml:eml/@packageId,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/@scope,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/@system,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/@xsi:schemaLocation,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/additionalMetadata/unitList/unit/@abbreviation,3.0,3.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0
/eml:eml/additionalMetadata/unitList/unit/@id,3.0,3.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0
/eml:eml/additionalMetadata/unitList/unit/@name,3.0,3.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0
/eml:eml/additionalMetadata/unitList/unit/@unitType,1.0,1.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0
/eml:eml/additionalMetadata/unitList/unit/description,3.0,3.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0
/eml:eml/dataset/@scope,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/access/@authSystem,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/access/@order,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/access/@scope,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/access/allow/permission,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
/eml:eml/dataset/access/allow/principal,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
/eml:eml/dataset/associatedParty/@scope,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/associatedParty/individualName/givenName,7.0,7.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0
/eml:eml/dataset/associatedParty/individualName/surName,7.0,7.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0
/eml:eml/dataset/associatedParty/role,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/contact/@scope,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/contact/address/@scope,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/contact/address/administrativeArea,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/contact/address/city,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/contact/address/country,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/contact/address/deliveryPoint,1.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0
/eml:eml/dataset/contact/address/postalCode,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/contact/electronicMailAddress,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/contact/individualName/givenName,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/contact/individualName/surName,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/contact/organizationName,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/contact/phone,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/contact/phone/@phonetype,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/coverage/@scope,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
