Concept,HBR_2005_EML,HBR_2007_EML,HBR_2008_EML,HBR_2010_EML,HBR_2015_EML,HBR_2016_EML,HBR_2017_EML,HBR_2018_EML
Resource Identifier,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Resource Title,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Author / Originator,1.78,2.11,1.0,1.0,2.31,1.66,2.56,1.0
Metadata Contact,0.52,1.0,1.0,1.0,1.0,0.86,1.0,1.0
Contributor Name,2.22,2.89,2.0,0.0,2.38,0.77,0.78,14.0
Publisher,0.48,0.89,1.0,1.0,1.0,1.0,1.0,1.0
Publication Date,0.12,0.0,0.0,0.0,1.0,0.96,1.0,1.0
Resource Contact,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0
Abstract,0.12,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Keyword,5.44,6.89,5.0,20.0,14.48,14.66,11.22,17.0
Resource Distribution,0.91,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Spatial Extent,3.14,3.11,2.0,11.0,6.04,3.46,1.89,2.0
Taxonomic Extent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Temporal Extent,0.97,1.0,1.0,1.0,1.0,0.98,1.0,1.0
Maintenance,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0
Resource Use Constraints,0.99,0.89,1.0,1.0,1.0,1.0,1.0,1.0
Process Step,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0
Project Description,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Entity Type Definition,1.37,1.0,1.0,1.0,1.1,1.07,2.89,1.0
Attribute Definition,16.36,16.56,6.0,21.0,17.65,15.39,20.78,17.0
Resource Access Constraints,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Resource Format,1.38,1.0,1.0,1.0,1.1,1.07,2.89,1.0
Attribute List,1.38,1.0,1.0,1.0,1.1,1.07,2.89,1.0
Attribute Constraints,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Resource Quality Description,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
