XPath,1.8.xml,187.2.xml,189.1.xml,190.1.xml,191.1.xml,192.1.xml,193.1.xml,194.1.xml,195.1.xml
/eml:eml/@packageId,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/@scope,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/@system,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/@xsi:schemaLocation,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/access,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
/eml:eml/access/@authSystem,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/access/@order,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/access/@scope,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/access/@system,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/access/allow/permission,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
/eml:eml/access/allow/principal,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
/eml:eml/additionalMetadata/metadata/unitList/stmml:unitList/stmml:unit/@abbreviation,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
/eml:eml/additionalMetadata/metadata/unitList/stmml:unitList/stmml:unit/@id,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
/eml:eml/additionalMetadata/metadata/unitList/stmml:unitList/stmml:unit/@name,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
/eml:eml/additionalMetadata/metadata/unitList/stmml:unitList/stmml:unit/@parentSI,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/additionalMetadata/metadata/unitList/stmml:unitList/stmml:unit/@unitType,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/additionalMetadata/metadata/unitList/stmml:unitList/stmml:unit/stmml:description,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
/eml:eml/dataset/@scope,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/abstract,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/abstract/para,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/alternateIdentifier,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
/eml:eml/dataset/alternateIdentifier/@system,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/associatedParty,2.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0
/eml:eml/dataset/associatedParty/address/administrativeArea,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/associatedParty/address/city,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/associatedParty/address/country,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/associatedParty/address/deliveryPoint,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/associatedParty/address/postalCode,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/associatedParty/individualName/givenName,2.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0
/eml:eml/dataset/associatedParty/individualName/surName,2.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0
/eml:eml/dataset/associatedParty/organizationName,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
