Concept,HBR_2005_EML,HBR_2007_EML,HBR_2008_EML,HBR_2010_EML,HBR_2015_EML,HBR_2016_EML,HBR_2017_EML,HBR_2018_EML
Resource Identifier,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Resource Title,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Author / Originator,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Metadata Contact,0.5176470588235295,1.0,1.0,1.0,1.0,0.8618421052631579,1.0,1.0
Contributor Name,0.5882352941176471,0.8888888888888888,1.0,0.0,0.6923076923076923,0.34868421052631576,0.4444444444444444,1.0
Publisher,0.4764705882352941,0.8888888888888888,1.0,1.0,1.0,1.0,1.0,1.0
Publication Date,0.12352941176470587,0.0,0.0,0.0,1.0,0.9605263157894736,1.0,1.0
Resource Contact,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Abstract,0.12352941176470587,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Keyword,0.6176470588235294,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Resource Distribution,0.9058823529411764,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Spatial Extent,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Taxonomic Extent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Temporal Extent,0.9705882352941176,1.0,1.0,1.0,1.0,0.9802631578947368,1.0,1.0
Maintenance,0.0,0.0,0.0,0.0,0.0,0.01973684210526316,0.0,0.0
Resource Use Constraints,0.9882352941176472,0.8888888888888888,1.0,1.0,1.0,1.0,1.0,1.0
Process Step,1.0,1.0,1.0,1.0,1.0,0.9934210526315792,1.0,1.0
Project Description,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Entity Type Definition,0.8588235294117647,1.0,1.0,1.0,1.0,0.8289473684210527,1.0,1.0
Attribute Definition,0.8705882352941177,1.0,1.0,1.0,1.0,0.8355263157894737,1.0,1.0
Resource Access Constraints,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Resource Format,0.8705882352941177,1.0,1.0,1.0,1.0,0.8355263157894737,1.0,1.0
Attribute List,0.8705882352941177,1.0,1.0,1.0,1.0,0.8355263157894737,1.0,1.0
Attribute Constraints,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Resource Quality Description,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
