Concept,BES_2005_EML,BES_2006_EML,BES_2008_EML,BES_2009_EML,BES_2010_EML,BES_2011_EML,BES_2012_EML,BES_2013_EML,BES_2015_EML,BES_2016_EML,BES_2017_EML,BES_2018_EML
Resource Identifier,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Resource Title,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Author / Originator,1.04,1.08,2.0,1.07,1.15,1.03,1.2,1.98,2.0,2.08,2.29,2.35
Metadata Contact,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Contributor Name,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Publisher,0.96,0.92,0.0,0.93,0.85,0.97,0.8,0.02,0.0,0.0,0.0,0.0
Publication Date,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Resource Contact,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.73,1.97,1.0,1.0
Abstract,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Keyword,2.0,2.0,2.0,2.1,2.24,2.27,4.45,14.63,14.76,10.6,5.71,6.75
Resource Distribution,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Spatial Extent,0.92,0.95,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Taxonomic Extent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Temporal Extent,0.04,0.08,1.0,0.07,0.15,0.03,0.2,0.98,1.0,1.0,1.0,1.0
Maintenance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Resource Use Constraints,0.04,0.08,1.0,0.07,0.15,0.03,0.2,0.98,1.0,1.0,1.0,1.0
Process Step,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.93,0.3,0.08,0.13
Project Description,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Entity Type Definition,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.98,0.36,0.2,0.26
Attribute Definition,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.06,9.35,3.76,2.72,6.58
Resource Access Constraints,0.04,0.08,1.0,0.07,0.15,0.03,0.2,0.98,1.0,1.0,1.0,1.0
Resource Format,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.98,0.36,0.2,0.26
Attribute List,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.98,0.36,0.2,0.26
Attribute Constraints,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Resource Quality Description,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
