Concept,BES_2005_EML,BES_2006_EML,BES_2008_EML,BES_2009_EML,BES_2010_EML,BES_2011_EML,BES_2012_EML,BES_2013_EML,BES_2015_EML,BES_2016_EML,BES_2017_EML,BES_2018_EML
Resource Identifier,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Resource Title,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Author / Originator,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Metadata Contact,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Contributor Name,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Publisher,0.9615384615384616,0.9247237569060772,0.0,0.9319899244332494,0.8499635833940277,0.972972972972973,0.7971014492753623,0.018867924528301886,0.0,0.0,0.0,0.0
Publication Date,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Resource Contact,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Abstract,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Keyword,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Resource Distribution,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Spatial Extent,0.9230769230769232,0.9482044198895028,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Taxonomic Extent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Temporal Extent,0.038461538461538464,0.07527624309392265,1.0,0.06801007556675064,0.15003641660597233,0.027027027027027032,0.2028985507246377,0.981132075471698,1.0,1.0,1.0,1.0
Maintenance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Resource Use Constraints,0.038461538461538464,0.07527624309392265,1.0,0.06801007556675064,0.15003641660597233,0.027027027027027032,0.2028985507246377,0.981132075471698,1.0,1.0,1.0,1.0
Process Step,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9528301886792452,0.9322033898305084,0.2994350282485876,0.08074534161490682,0.13043478260869565
Project Description,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Entity Type Definition,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9528301886792452,0.9322033898305084,0.2994350282485876,0.08074534161490682,0.13043478260869565
Attribute Definition,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9528301886792452,0.9322033898305084,0.2994350282485876,0.08074534161490682,0.13043478260869565
Resource Access Constraints,0.038461538461538464,0.07527624309392265,1.0,0.06801007556675064,0.15003641660597233,0.027027027027027032,0.2028985507246377,0.981132075471698,1.0,1.0,1.0,1.0
Resource Format,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9528301886792452,0.9322033898305084,0.2994350282485876,0.08074534161490682,0.13043478260869565
Attribute List,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9528301886792452,0.9322033898305084,0.2994350282485876,0.08074534161490682,0.13043478260869565
Attribute Constraints,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Resource Quality Description,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
