Concept,KNZ_2005_EML,KNZ_2006_EML,KNZ_2008_EML,KNZ_2012_EML,KNZ_2015_EML,KNZ_2016_EML,KNZ_2017_EML,KNZ_2018_EML
Resource Identifier,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Resource Title,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Author / Originator,1.0,1.0,1.0,1.0,1.01,1.08,1.16,1.0
Metadata Contact,0.0,0.0,0.0,0.0,0.01,0.19,1.0,1.0
Contributor Name,0.0,0.0,0.0,0.0,0.01,0.0,0.07,0.0
Publisher,0.0,0.0,0.0,0.0,0.01,0.01,0.99,1.0
Publication Date,0.0,0.0,0.0,0.0,0.24,1.0,1.0,1.0
Resource Contact,1.0,1.0,1.0,1.0,2.15,2.0,1.04,1.0
Abstract,1.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0
Keyword,6.5,3.0,5.5,0.0,13.09,12.84,12.53,16.4
Resource Distribution,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Spatial Extent,0.0,0.0,0.0,0.0,0.25,1.13,3.29,12.2
Taxonomic Extent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Temporal Extent,1.0,1.0,1.0,1.0,0.97,0.97,1.0,1.0
Maintenance,0.0,0.0,0.0,0.0,0.06,0.07,0.04,0.0
Resource Use Constraints,0.0,0.0,0.0,0.0,0.08,0.09,0.99,1.0
Process Step,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Project Description,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Entity Type Definition,1.68,1.0,1.0,2.0,1.26,1.28,1.32,2.6
Attribute Definition,32.09,7.0,15.5,30.0,20.71,20.89,22.23,44.0
Resource Access Constraints,0.18,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Resource Format,0.64,1.0,0.0,2.0,1.26,1.28,1.34,2.6
Attribute List,1.91,1.0,1.0,2.0,1.26,1.28,1.34,2.6
Attribute Constraints,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Resource Quality Description,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0
