Concept,KNZ_2005_EML,KNZ_2006_EML,KNZ_2008_EML,KNZ_2012_EML,KNZ_2015_EML,KNZ_2016_EML,KNZ_2017_EML,KNZ_2018_EML
Resource Identifier,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Resource Title,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Author / Originator,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Metadata Contact,0.0,0.0,0.0,0.0,0.013986013986013986,0.19,1.0,1.0
Contributor Name,0.0,0.0,0.0,0.0,0.006993006993006993,0.0,0.031746031746031744,0.0
Publisher,0.0,0.0,0.0,0.0,0.006993006993006993,0.01,0.992063492063492,1.0
Publication Date,0.0,0.0,0.0,0.0,0.23776223776223776,1.0,1.0,1.0
Resource Contact,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Abstract,1.0,1.0,1.0,1.0,1.0,1.0,0.992063492063492,1.0
Keyword,1.0,1.0,1.0,0.0,1.0,0.99,1.0,1.0
Resource Distribution,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Spatial Extent,0.0,0.0,0.0,0.0,0.2517482517482518,0.94,0.7936507936507936,1.0
Taxonomic Extent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Temporal Extent,1.0,1.0,1.0,1.0,0.9720279720279721,0.97,1.0,1.0
Maintenance,0.0,0.0,0.0,0.0,0.06293706293706294,0.07,0.03968253968253968,0.0
Resource Use Constraints,0.0,0.0,0.0,0.0,0.08391608391608392,0.09,0.992063492063492,1.0
Process Step,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Project Description,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Entity Type Definition,0.7727272727272727,1.0,1.0,1.0,0.7482517482517482,0.8,0.8253968253968254,1.0
Attribute Definition,1.0,1.0,1.0,1.0,0.7482517482517482,0.8,0.8492063492063492,1.0
Resource Access Constraints,0.18181818181818185,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Resource Format,0.3636363636363637,1.0,0.0,1.0,0.7482517482517482,0.8,0.8492063492063492,1.0
Attribute List,1.0,1.0,1.0,1.0,0.7482517482517482,0.8,0.8492063492063492,1.0
Attribute Constraints,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Resource Quality Description,0.0,0.0,0.0,0.0,0.0,0.0,0.007936507936507936,0.0
