XPath,124.2.xml,138.2.xml,139.3.xml,153.2.xml,38.2.xml
/eml:eml/@packageId,1.0,1.0,1.0,1.0,1.0
/eml:eml/@scope,1.0,1.0,1.0,1.0,1.0
/eml:eml/@system,1.0,1.0,1.0,1.0,1.0
/eml:eml/@xsi:schemaLocation,1.0,1.0,1.0,1.0,1.0
/eml:eml/additionalMetadata/unitList/unit/@id,0.0,0.0,3.0,1.0,0.0
/eml:eml/dataset/@scope,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/abstract/para/literalLayout,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/access/@authSystem,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/access/@order,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/access/@scope,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/access/allow/permission,2.0,2.0,2.0,2.0,2.0
/eml:eml/dataset/access/allow/principal,2.0,2.0,2.0,2.0,2.0
/eml:eml/dataset/contact/@scope,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/contact/address/@scope,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/contact/address/administrativeArea,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/contact/address/city,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/contact/address/country,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/contact/address/deliveryPoint,2.0,1.0,1.0,1.0,3.0
/eml:eml/dataset/contact/address/postalCode,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/contact/electronicMailAddress,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/contact/individualName/givenName,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/contact/individualName/surName,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/contact/organizationName,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/contact/phone,2.0,2.0,2.0,2.0,2.0
/eml:eml/dataset/contact/phone/@phonetype,2.0,2.0,2.0,2.0,2.0
/eml:eml/dataset/contact/positionName,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/coverage/@scope,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/coverage/geographicCoverage/@id,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/coverage/geographicCoverage/@scope,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/boundingAltitudes/altitudeMaximum,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/boundingAltitudes/altitudeMinimum,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/boundingAltitudes/altitudeUnits,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/eastBoundingCoordinate,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/northBoundingCoordinate,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/southBoundingCoordinate,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/westBoundingCoordinate,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/coverage/geographicCoverage/geographicDescription,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/creator/@scope,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/creator/address/@scope,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/creator/address/administrativeArea,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/creator/address/city,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/creator/address/country,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/creator/address/deliveryPoint,2.0,1.0,1.0,1.0,2.0
/eml:eml/dataset/creator/address/postalCode,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/creator/electronicMailAddress,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/creator/individualName/givenName,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/creator/individualName/surName,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/creator/organizationName,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/creator/phone,2.0,2.0,2.0,2.0,2.0
/eml:eml/dataset/creator/phone/@phonetype,2.0,2.0,2.0,2.0,2.0
/eml:eml/dataset/creator/positionName,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/dataTable/@scope,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/dataTable/attributeList/attribute/@scope,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/dataTable/attributeList/attribute/attributeDefinition,7.0,4.0,101.0,19.0,7.0
/eml:eml/dataset/dataTable/attributeList/attribute/attributeLabel,7.0,4.0,104.0,20.0,7.0
/eml:eml/dataset/dataTable/attributeList/attribute/attributeName,7.0,4.0,100.0,19.0,7.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/datetime/formatString,0.0,0.0,0.0,1.0,1.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/nominal/nonNumericDomain/enumeratedDomain/@enforced,1.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/nominal/nonNumericDomain/enumeratedDomain/codeDefinition/code,5.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/nominal/nonNumericDomain/enumeratedDomain/codeDefinition/definition,5.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/nominal/nonNumericDomain/textDomain/definition,1.0,3.0,5.0,6.0,4.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ratio/numericDomain/numberType,2.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ratio/precision,0.0,0.0,4.0,4.0,0.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ratio/unit/customUnit,0.0,0.0,3.0,1.0,0.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ratio/unit/standardUnit,2.0,1.0,16.0,5.0,1.0
/eml:eml/dataset/dataTable/attributeList/attribute/missingValueCode/code,1.0,2.0,3.0,1.0,0.0
/eml:eml/dataset/dataTable/attributeList/attribute/missingValueCode/codeExplanation,1.0,1.0,1.0,1.0,0.0
/eml:eml/dataset/dataTable/coverage/@scope,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/dataTable/coverage/geographicCoverage/@scope,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/dataTable/coverage/geographicCoverage/references,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/dataTable/coverage/temporalCoverage/@id,4.0,0.0,7.0,3.0,1.0
/eml:eml/dataset/dataTable/coverage/temporalCoverage/@scope,1.0,0.0,1.0,1.0,1.0
/eml:eml/dataset/dataTable/coverage/temporalCoverage/rangeOfDates/beginDate/calendarDate,2.0,0.0,2.0,2.0,1.0
/eml:eml/dataset/dataTable/coverage/temporalCoverage/rangeOfDates/endDate/calendarDate,3.0,0.0,2.0,3.0,1.0
/eml:eml/dataset/dataTable/entityDescription,4.0,1.0,9.0,3.0,1.0
/eml:eml/dataset/dataTable/entityName,4.0,1.0,9.0,3.0,1.0
/eml:eml/dataset/dataTable/method/methodStep/description/para/literalLayout,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/dataTable/method/sampling/samplingDescription/section/para/literalLayout,3.0,1.0,1.0,2.0,1.0
/eml:eml/dataset/dataTable/method/sampling/studyExtent/coverage/@scope,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/dataTable/method/sampling/studyExtent/coverage/geographicCoverage/@scope,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/dataTable/method/sampling/studyExtent/coverage/geographicCoverage/references,1.0,1.0,1.0,1.0,1.0
