XPath,143.100.xml,144.100.xml,148.102.xml,154.101.xml,163.101.xml,169.102.xml,175.102.xml
/eml:eml/@packageId,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/@scope,0.0,0.0,1.0,0.0,0.0,1.0,1.0
/eml:eml/@system,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/@xsi:schemaLocation,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/@scope,0.0,0.0,1.0,0.0,0.0,1.0,1.0
/eml:eml/dataset/abstract/para/literalLayout,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/access/@authSystem,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/access/@order,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/access/@scope,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/access/allow/permission,2.0,2.0,2.0,2.0,2.0,2.0,2.0
/eml:eml/dataset/access/allow/principal,2.0,2.0,2.0,2.0,2.0,2.0,2.0
/eml:eml/dataset/additionalInfo/para/literalLayout,0.0,0.0,0.0,0.0,0.0,0.0,1.0
/eml:eml/dataset/associatedParty/@scope,0.0,0.0,1.0,0.0,0.0,0.0,1.0
/eml:eml/dataset/associatedParty/address/@scope,0.0,0.0,1.0,0.0,0.0,0.0,1.0
/eml:eml/dataset/associatedParty/address/administrativeArea,2.0,2.0,2.0,1.0,0.0,0.0,1.0
/eml:eml/dataset/associatedParty/address/city,3.0,3.0,2.0,1.0,0.0,0.0,1.0
/eml:eml/dataset/associatedParty/address/country,1.0,1.0,1.0,1.0,0.0,0.0,1.0
/eml:eml/dataset/associatedParty/address/deliveryPoint,3.0,3.0,4.0,1.0,0.0,0.0,1.0
/eml:eml/dataset/associatedParty/address/postalCode,3.0,3.0,2.0,1.0,0.0,0.0,1.0
/eml:eml/dataset/associatedParty/electronicMailAddress,3.0,3.0,4.0,3.0,0.0,0.0,1.0
/eml:eml/dataset/associatedParty/individualName/givenName,3.0,3.0,4.0,3.0,0.0,0.0,1.0
/eml:eml/dataset/associatedParty/individualName/surName,3.0,3.0,4.0,3.0,0.0,0.0,1.0
/eml:eml/dataset/associatedParty/organizationName,2.0,2.0,2.0,1.0,0.0,0.0,0.0
