XPath,LUQ_2005_EML,LUQ_2009_EML,LUQ_2012_EML,LUQ_2015_EML,LUQ_2016_EML,LUQ_2017_EML,LUQ_2018_EML
/eml:eml/@packageId,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/@scope,1.0,1.0,0.43,0.0,0.0,0.0,0.0
/eml:eml/@system,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/@xsi:schemaLocation,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/access/@authSystem,0.0,0.0,0.0,1.0,1.0,1.0,1.0
/eml:eml/access/@order,0.0,0.0,0.0,1.0,1.0,1.0,1.0
/eml:eml/access/@scope,0.0,0.0,0.0,1.0,1.0,1.0,1.0
/eml:eml/access/@system,0.0,0.0,0.0,1.0,1.0,1.0,1.0
/eml:eml/access/allow/permission,0.0,0.0,0.0,2.0,2.0,2.0,2.0
/eml:eml/access/allow/principal,0.0,0.0,0.0,2.0,2.0,2.0,2.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/@xsi:schemaLocation,0.0,0.0,0.0,0.56,0.75,0.51,0.5
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@abbreviation,0.0,0.0,0.0,0.77,1.12,0.47,0.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@constantToSI,0.0,0.0,0.0,0.44,1.12,0.4,0.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@id,0.0,0.0,0.0,1.5,2.0,0.91,0.5
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@multiplierToSI,0.0,0.0,0.0,0.44,1.12,0.4,0.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@name,0.0,0.0,0.0,0.77,1.12,0.47,0.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@parentSI,0.0,0.0,0.0,0.44,1.12,0.4,0.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@unitType,0.0,0.0,0.0,0.77,1.12,0.47,0.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/stmml:description,0.0,0.0,0.0,0.49,1.0,0.36,0.0
/eml:eml/additionalMetadata/unitList/unit/@id,0.1,0.8,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/@scope,1.0,1.0,0.43,0.0,0.0,0.0,0.0
