Concept,LUQ_2005_EML,LUQ_2009_EML,LUQ_2012_EML,LUQ_2015_EML,LUQ_2016_EML,LUQ_2017_EML,LUQ_2018_EML
Resource Identifier,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Resource Title,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Author / Originator,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Metadata Contact,1.0,1.0,0.0,0.7048346055979644,0.625,0.3272727272727273,0.0
Contributor Name,0.0,0.0,0.7142857142857143,0.9567430025445292,1.0,0.8727272727272727,1.0
Publisher,1.0,1.0,0.0,0.6183206106870229,0.125,0.0,0.0
Publication Date,0.0,0.0,0.0,0.4173027989821883,1.0,1.0,1.0
Resource Contact,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Abstract,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Keyword,1.0,1.0,0.0,1.0,1.0,1.0,1.0
Resource Distribution,1.0,1.0,0.5714285714285714,1.0,1.0,1.0,1.0
Spatial Extent,1.0,1.0,0.14285714285714285,0.8651399491094147,0.875,0.9636363636363636,1.0
Taxonomic Extent,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Temporal Extent,0.0,0.0,1.0,1.0,1.0,1.0,1.0
Maintenance,0.0,0.0,0.0,0.010178117048346057,0.0,0.0,0.0
Resource Use Constraints,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Process Step,1.0,1.0,0.0,0.9720101781170484,1.0,1.0,1.0
Project Description,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Entity Type Definition,0.5714285714285714,1.0,0.7142857142857143,0.9974554707379136,1.0,1.0,1.0
Attribute Definition,0.5714285714285714,1.0,0.7142857142857143,1.0,1.0,1.0,1.0
Resource Access Constraints,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Resource Format,0.5714285714285714,1.0,0.7142857142857143,1.0,1.0,1.0,1.0
Attribute List,0.5714285714285714,1.0,0.7142857142857143,1.0,1.0,1.0,1.0
Attribute Constraints,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Resource Quality Description,0.0,0.0,0.0,0.012722646310432573,0.0,0.0,0.0
