Concept,FCE_2005_EML,FCE_2006_EML,FCE_2007_EML,FCE_2008_EML,FCE_2009_EML,FCE_2010_EML,FCE_2011_EML,FCE_2012_EML,FCE_2013_EML,FCE_2014_EML,FCE_2015_EML,FCE_2016_EML,FCE_2017_EML,FCE_2018_EML
Resource Identifier,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Resource Title,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Author / Originator,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Metadata Contact,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Contributor Name,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Publisher,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Publication Date,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Resource Contact,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Abstract,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Keyword,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Resource Distribution,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9548133595284872,0.44,0.9977578475336324,1.0,1.0,1.0
Spatial Extent,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Taxonomic Extent,0.0,0.0,0.0,0.0,0.03333333333333333,0.03389830508474576,0.0,0.0196078431372549,0.16306483300589392,0.48,0.17488789237668162,0.060606060606060615,0.22916666666666666,0.2857142857142857
Temporal Extent,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9803921568627452,1.0,0.96,0.9977578475336324,1.0,1.0,1.0
Maintenance,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Resource Use Constraints,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Process Step,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Project Description,1.0,1.0,0.8823529411764706,1.0,1.0,1.0,0.9740259740259741,1.0,0.9980353634577604,1.0,1.0,1.0,0.9791666666666666,1.0
Entity Type Definition,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7647058823529411,0.9980353634577604,0.6,0.9708520179372198,1.0,1.0,1.0
Attribute Definition,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7647058823529411,1.0,0.6,0.9730941704035876,1.0,1.0,1.0
Resource Access Constraints,0.0,0.0,0.0,0.0,0.0,0.0,0.025974025974025976,0.05882352941176471,1.0,1.0,1.0,1.0,1.0,1.0
Resource Format,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7647058823529411,1.0,0.6,0.9730941704035876,1.0,1.0,1.0
Attribute List,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7647058823529411,1.0,0.6,0.9730941704035876,1.0,1.0,1.0
Attribute Constraints,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Resource Quality Description,0.9732620320855616,0.9620253164556962,1.0,0.9310344827586208,0.9166666666666666,0.7288135593220338,0.9610389610389608,0.7450980392156863,1.0,1.0,1.0,1.0,1.0,1.0
