Concept,FCE_2005_EML,FCE_2006_EML,FCE_2007_EML,FCE_2008_EML,FCE_2009_EML,FCE_2010_EML,FCE_2011_EML,FCE_2012_EML,FCE_2013_EML,FCE_2014_EML,FCE_2015_EML,FCE_2016_EML,FCE_2017_EML,FCE_2018_EML
Resource Identifier,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Resource Title,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Author / Originator,1.05,1.1,1.0,1.28,1.27,1.1,1.3,1.41,1.53,1.56,1.55,1.27,1.46,1.57
Metadata Contact,1.0,1.0,1.0,1.03,1.0,1.02,1.05,1.0,1.03,1.0,1.01,1.0,1.02,1.07
Contributor Name,8.05,6.43,2.06,6.0,4.08,4.49,6.73,6.41,4.81,2.96,5.17,4.15,8.02,4.0
Publisher,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Publication Date,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Resource Contact,2.0,2.0,2.0,2.0,1.97,1.92,2.0,1.98,2.0,2.0,3.0,3.03,2.02,2.0
Abstract,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Keyword,11.96,12.32,11.56,12.0,12.47,12.78,13.97,13.27,16.23,12.08,16.64,15.36,18.79,20.5
Resource Distribution,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.95,0.44,1.0,1.0,1.0,1.0
Spatial Extent,2.0,2.0,1.88,2.0,2.0,2.34,2.0,2.0,2.08,1.52,2.16,2.0,1.98,2.0
Taxonomic Extent,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.02,0.16,0.48,0.17,0.06,0.23,0.29
Temporal Extent,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98,1.0,0.96,1.0,1.0,1.0,1.0
Maintenance,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Resource Use Constraints,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Process Step,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Project Description,1.0,1.0,0.88,1.0,1.0,1.0,0.97,1.0,1.0,1.0,1.0,1.0,0.98,1.0
Entity Type Definition,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.76,1.0,0.6,0.97,1.0,1.0,1.0
Attribute Definition,6.66,11.53,10.82,9.03,18.32,22.51,11.51,10.57,14.63,14.52,13.6,10.67,13.15,13.86
Resource Access Constraints,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.06,1.0,1.0,1.0,1.0,1.0,1.0
Resource Format,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.76,1.0,0.6,0.97,1.0,1.0,1.0
Attribute List,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.76,1.0,0.6,0.97,1.0,1.0,1.0
Attribute Constraints,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Resource Quality Description,0.97,0.96,1.0,0.93,0.92,0.73,0.96,0.75,1.0,1.0,1.0,1.0,1.0,1.0
